address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
洪山北路99号附15-17号,成华区,[],[],[],成都市,[],B0FFG2YRF6,[],"104.094820,30.706543",中国农业银行(成都仙湖支行),[],[],四川省,[],[],2,028-83240341,金融保险服务;银行;中国农业银行,160107
文井街384-392号,崇州市,[],[],[],成都市,[],B0FFF0071N,[],"103.661404,30.638889",中国农业银行24小时自助银行(崇阳分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
物流大道富森·美家居汽配城MALL19-02,新都区,[],[],[],成都市,[],B0FFFWNVB9,[],"104.142387,30.793925",中国农业银行(新都城南分理处),[],[],四川省,[],[],2,028-83974409,金融保险服务;银行;中国农业银行,160107
西安路63号附2号,金牛区,[],[],[],成都市,[],B001C8O5Y7,[],"104.046509,30.664925",中国农业银行(西安路支行),[],[],四川省,[],[],2,028-87739406,金融保险服务;银行;中国农业银行,160107
蛟龙大道101-103号,双流区,[],[],[],成都市,[],B0H6PAN2K3,[],"103.910444,30.606034",中国农业银行(双流蛟龙港支行),[],[],四川省,[],[],2,028-85802248,金融保险服务;银行;中国农业银行,160107
成华西街293号,金牛区,[],[],[],成都市,[],B0G36YK544,[],"104.071349,30.682846",中国农业银行(成都锦北支行),[],[],四川省,[],[],2,028-63930439;95599,金融保险服务;银行;中国农业银行,160107
四川省成都市简阳市-草池街道裕民街354号,简阳市,[],[],[],成都市,[],B0FFMGB5G3,[],"104.403579,30.325709",中国农业银行(草池分理处),[],[],四川省,[],[],2,028-27871334,金融保险服务;银行;中国农业银行,160107
九天路196-199号,彭州市,[],[],[],成都市,[],B0FFLHIYUX,[],"104.037087,30.996374",中国农业银行(九尺分理处),[],[],四川省,[],[],2,028-83800271;95599,金融保险服务;银行;中国农业银行,160107
天彭镇东大街星火巷56、60、64、68号,彭州市,[],[],[],成都市,[],B001C7YP0M,[],"103.944673,30.984031",中国农业银行(彭州城南分理处),[],[],四川省,[],[],2,028-83873681,金融保险服务;银行;中国农业银行,160107
金航街112号,金堂县,[],[],[],成都市,[],B0FFHGE11O,[],"104.415331,30.858551",中国农业银行(金堂县支行),[],[],四川省,[],[],2,028-84930710,金融保险服务;银行;中国农业银行,160107
云龙镇云西街170-186号,简阳市,[],[],[],成都市,[],B034000BHW,[],"104.807742,30.419042",中国农业银行(云龙营业所),[],[],四川省,[],[],2,028-27761056,金融保险服务;银行;中国农业银行,160107
敖兴街49号,彭州市,[],[],[],成都市,[],B001C8OD9M,[],"103.988164,31.092313",中国农业银行24小时自助银行(敖平分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
光华北三路98号17栋附120、121、204号,青羊区,[],[],[],成都市,[],B0FFI0DFPS,[],"103.963548,30.670543",中国农业银行(光华逸家支行),[],[],四川省,[],[],2,028-83330235,金融保险服务;银行;中国农业银行,160107
紫荆东路66号,武侯区,[],[],[],成都市,[],B001C7UT7C,[],"104.053156,30.614682",中国农业银行(紫荆支行),[],[],四川省,[],[],2,028-69280366;028-85179698,金融保险服务;银行;中国农业银行,160107
武侯祠大街83号,武侯区,[],[],[],成都市,[],B001C06IXG,[],"104.053424,30.646327",中国农业银行(成都锦南支行),[],[],四川省,[],[],2,028-85561908;028-85590430,金融保险服务;银行;中国农业银行,160107
永丰路20号之13-附14,武侯区,[],[],[],成都市,[],B001C05XNP,[],"104.049260,30.630304",中国农业银行(新蓉支行),[],[],四川省,[],[],2,028-85124477,金融保险服务;银行;中国农业银行,160107
龙腾中路26号,武侯区,[],[],[],成都市,[],B001C80ROY,[],"104.014335,30.652472",中国农业银行(成都龙腾支行),[],[],四川省,[],[],2,028-61355012,金融保险服务;银行;中国农业银行,160107
二环路西二段19号仁和春天广场A座1层,青羊区,[],[],202,成都市,[],B001C7YQ0R,[],"104.019736,30.662597",中国农业银行(锦西支行),B001C8TY45,[],四川省,[],[],2,028-61500872;028-61500825,金融保险服务;银行;中国农业银行,160107
二环路南一段11号,武侯区,[],[],3,成都市,[],B001C7XDT8,[],"104.079928,30.620978",中国农业银行(成都桂溪支行),B001C7VFCU,[],四川省,[],[],2,028-85213494,金融保险服务;银行;中国农业银行,160107
滨江东路136号国际商务大厦B座1层,锦江区,[],[],202,成都市,[],B001C068UG,[],"104.082820,30.643729",中国农业银行(锦江支行),B001C8UA65,[],四川省,[],[],2,028-86651117;028-86659489,金融保险服务;银行;中国农业银行,160107
新民镇新河街48号,新都区,[],[],[],成都市,[],B001C7U22Z,[],"104.098396,30.893327",中国农业银行(新民分理处),[],[],四川省,[],[],2,028-83075213,金融保险服务;银行;中国农业银行,160107
赵镇顺安街83、85号,金堂县,[],[],[],成都市,[],B001C80777,[],"104.416465,30.857889",中国农业发展银行(金堂县支行),[],[],四川省,[],[],2,[],金融保险服务;银行;中国农业银行,160107
五津西路128号,新津区,[],[],[],成都市,[],B001C05I5B,[],"103.807619,30.414762",中国农业银行(新津顺江分理处),[],[],四川省,[],[],2,028-82522283,金融保险服务;银行;中国农业银行,160107
洛带镇子华中街1号,龙泉驿区,[],[],3,成都市,[],B001C8N24B,[],"104.326374,30.639855",中国农业银行24小时自助银行(洛带支行),B001C804KY,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
大塘镇南街28号附1号,蒲江县,[],[],[],成都市,[],B001C8MT6L,[],"103.374511,30.288062",中国农业银行(大塘分理处),[],[],四川省,[],[],2,028-88633159,金融保险服务;银行;中国农业银行,160107
科华街1号附9号,武侯区,[],[],[],成都市,[],B001C0AGSE,[],"104.079541,30.623488",中国农业银行(成都川大花园支行),[],[],四川省,[],[],2,028-85463799;028-85408788,金融保险服务;银行;中国农业银行,160107
桐梓林路4号附11-14号,武侯区,[],[],[],成都市,[],B001C80O8O,[],"104.060778,30.610900",中国农业银行(成都欧城分理处),[],[],四川省,[],[],2,028-85158252,金融保险服务;银行;中国农业银行,160107
长寿路10号附21号,武侯区,[],[],[],成都市,[],B001C0AGPM,[],"104.071927,30.612166",中国农业银行(长寿路支行),[],[],四川省,[],[],2,028-61675307,金融保险服务;银行;中国农业银行,160107
建设路与彭白路交叉口南100米,彭州市,[],[],[],成都市,[],B0FFIMP8I5,[],"103.851630,31.073447",中国农业银行(九陇分理处),[],[],四川省,[],[],2,028-83836046,金融保险服务;银行;中国农业银行,160107
禾丰镇裕民街198-200号,简阳市,[],[],[],成都市,[],B034000BHQ,[],"104.714459,30.416986",中国农业银行(禾丰营业所),[],[],四川省,[],[],2,028-27661131,金融保险服务;银行;中国农业银行,160107
王泗镇营经大道212-222号,大邑县,[],[],[],成都市,[],B001C7ZZJ3,[],"103.476037,30.518395",中国农业银行(王泗分理处),[],[],四川省,[],[],2,028-88344197,金融保险服务;银行;中国农业银行,160107
政府街57-75号,简阳市,[],[],[],成都市,[],B034000125,[],"104.550324,30.391148",中国农业银行(政府街支行),[],[],四川省,[],[],2,028-27222479,金融保险服务;银行;中国农业银行,160107
成都市锦江区天仙桥北路5号,锦江区,[],[],[],成都市,[],B0GUYC1U6K,[],"104.086125,30.651673",中国农业银行(成都东大街支行),[],[],四川省,[],[],2,028-86663249;028-86650256;95599,金融保险服务;银行;中国农业银行,160107
成都国际商贸城中药材市场6-1-12-1,金牛区,[],[],[],成都市,[],B0GRU18666,[],"104.088476,30.791537",中国农业银行(成都国际商贸城支行),[],[],四川省,[],[],2,028-62825786,金融保险服务;银行;中国农业银行,160107
[],都江堰市,[],[],[],成都市,[],B0GDDX097Y,[],"103.659648,31.010909",中国农业银行,[],[],四川省,[],[],2,[],金融保险服务;银行;中国农业银行,160107
锦里东路8号宏达大厦9楼,青羊区,[],[],[],成都市,[],B0G3VSCUW6,[],"104.060572,30.648384",中国农业银行,[],[],四川省,[],[],2,[],金融保险服务;银行;中国农业银行,160107
