address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
日月大道一段978号万达广场青羊金街1层,青羊区,[],[],202,成都市,[],B0FFKW5DVP,[],"103.973180,30.676796",中国农业银行24小时自助银行(万达支行),B0FFFZPMAL,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
上沙河铺街与东大街交叉口南50米,锦江区,[],[],[],成都市,[],B0FFKVZT4P,[],"104.122081,30.623863",中国农业银行24小时自助银行(沙河堡支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
东秀一路与杉板桥南一路交叉口东南50米,成华区,[],[],[],成都市,[],B0FFKVZJ05,[],"104.117741,30.660928",中国农业银行24小时自助银行(杉板桥分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
[],成华区,[],[],[],成都市,[],B0FFKSDFVH,[],"104.155104,30.627031",中国农业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
成都工业学院长虹会堂后1层,郫都区,[],[],[],成都市,[],B0FFILF448,[],"103.886984,30.789097",中国农业银行24小时自助银行(不对外),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
天府大道639号附1号,都江堰市,[],[],[],成都市,[],B0FFF0KBNN,[],"103.646165,30.955369",中国农业银行ATM(社保分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
剑南大道中段761、767号,武侯区,[],[],[],成都市,[],B0FFF9ULJU,[],"104.046694,30.556806",中国农业银行24小时自助银行(新南支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
南大街160号,郫都区,[],[],3,成都市,[],B001C0AGPI,[],"103.883716,30.807398",中国农业银行24小时自助银行(成都西区支行营业部),B001C0AGRT,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
芙蓉路118附近,温江区,[],[],[],成都市,[],B001C8P70X,[],"103.917223,30.703130",中国农业银行24小时自助银行(芙蓉路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
S106(桥楼街),蒲江县,[],[],[],成都市,[],B0FFFWL426,[],"103.509984,30.298762",中国农业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
川橡路249号附近,简阳市,[],[],[],成都市,[],B0FFFS71NC,[],"104.504080,30.500969",中国农业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
华府大道一段926号附近,双流区,[],[],[],成都市,[],B0FFFOD9UJ,[],"104.050292,30.526766",中国农业银行24小时自助银行(成都华府支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
东升路与金融街交叉口东50米,简阳市,[],[],[],成都市,[],B0FFHKEGHI,[],"104.545285,30.407228",中国农业银行24小时自助银行(东升路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
双林中横路16-24号,成华区,[],[],3,成都市,[],B001C0AGRY,[],"104.109926,30.651519",中国农业银行24小时自助银行(新华小区自助银行),B001C06KU6,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
菁华路128号,青白江区,[],[],3,成都市,[],B001C8R73C,[],"104.269940,30.885524",中国农业银行24小时自助银行(青白江凤凰湖分理处),B001C8O3GK,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
兆景路504号,武侯区,[],[],[],成都市,[],B0FFFE0EFH,[],"103.988369,30.621477",中国农业银行24小时自助银行(武科支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
元通镇通锦下街12号,崇州市,[],[],[],成都市,[],B0FFGBI3HZ,[],"103.624224,30.734227",中国农业银行24小时自助银行(崇州元通分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
二环路北三段北站东二路,金牛区,[],[],202,成都市,[],B001C06VVG,[],"104.079753,30.693879",中国农业银行(成都北站东路支行),B001C03D32,[],四川省,[],[],2,028-83314891;028-83398410,金融保险服务;银行;中国农业银行,160107
天府三街69号新希望国际,武侯区,[],[],202,成都市,[],B001C95DTC,[],"104.066521,30.546049",中国农业银行24小时自助银行(成都新希望国际支行),B0FFHOL8UW,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
迎宾大道与渠山路交叉路口东侧(鹤翔山庄),都江堰市,[],[],[],成都市,[],B001C8ODGY,[],"103.589768,30.895837",中国农业银行24小时自助银行(成都分行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
市场路228号,彭州市,[],[],3,成都市,[],B001C80KMU,[],"103.829808,31.160135",中国农业银行24小时自助银行(通济分理处),B001C80KMT,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
简城镇红建路175-179号,简阳市,[],[],[],成都市,[],B0FFF5YAI0,[],"104.551128,30.393938",中国农业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
新创路6成都中医药大学高新校区,郫都区,[],[],[],成都市,[],B0FFF2OVDD,[],"103.953630,30.740904",中国农业银行ATM(新创路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
三岔街道三岔街200号,简阳市,[],[],[],成都市,[],B0FFF3UEMV,[],"104.300827,30.297728",中国农业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
蜀蓉路2号,金牛区,[],[],3,成都市,[],B001C7WBVF,[],"104.024985,30.686683",中国农业银行24小时自助银行(蜀汉路支行),B001C7WBVG,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
文井中路139号,崇州市,[],[],3,成都市,[],B001C8OF2E,[],"103.525796,30.742780",中国农业银行24小时自助银行(崇州怀远分理处),B001C8MCGH,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
新华大道双林路119号,成华区,[],[],3,成都市,[],B001C0AGQA,[],"104.100256,30.657750",中国农业银行24小时自助银行(成都锦东支行),B001C06FMV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
红旗大道南段328号,郫都区,[],[],[],成都市,[],B001C8VF3Y,[],"103.854108,30.773524",中国农业银行24小时自助银行(德源支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国农业银行ATM,160304
