address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
高升桥16号,武侯区,[],[],[],成都市,[],B0FFFOX4D0,[],"104.036575,30.639964",平安银行(成都高升桥支行),[],[],四川省,[],[],2,028-61960820,金融保险服务;银行;平安银行,160117
成飞大道1号青羊工业总部基地A9栋,青羊区,[],[],[],成都市,[],B001C8MVE0,[],"103.960938,30.680441",平安银行(成都青羊支行),[],[],四川省,[],[],2,028-87300391,金融保险服务;银行;平安银行,160117
建设南路83号,成华区,[],[],[],成都市,[],B001C8OQHR,[],"104.121065,30.669510",中国银行(音乐公园支行),[],[],四川省,[],[],2,028-84397276;95566,金融保险服务;银行;中国银行,160104
西华门街17号天府中心,青羊区,[],[],202,成都市,[],B001C7WF0K,[],"104.062295,30.661922",平安银行(成都天府支行),B001C7X7IJ,[],四川省,[],[],2,028-86637101,金融保险服务;银行;平安银行,160117
新光路1号,武侯区,[],[],[],成都市,[],B001C80RJ1,[],"104.057658,30.617527",成都银行(银都支行),[],[],四川省,[],[],2,028-85972571;028-85972572,金融保险服务;银行;银行,160100
蜀西路35号,金牛区,[],[],[],成都市,[],B001C09IC6,[],"103.999523,30.707121",成都农商银行(金泉支行),[],[],四川省,[],[],2,028-87508702;028-87510229,金融保险服务;银行;农村商业银行,160121
双林路102-116号,成华区,[],[],[],成都市,[],B001C7Y8DZ,[],"104.109429,30.653037",成都农商银行(成华支行),[],[],四川省,[],[],2,028-84330523;028-84330295,金融保险服务;银行;农村商业银行,160121
春熙路北段50号,锦江区,[],[],[],成都市,[],B001C7WQWD,[],"104.078265,30.657074",中国工商银行(春熙路步行街支行),[],[],四川省,[],[],2,028-86663907,金融保险服务;银行;中国工商银行,160105
人民中路三段2号附1-3,青羊区,[],[],[],成都市,[],B001C02EB3,[],"104.067794,30.672937",成都银行(华兴支行),[],[],四川省,[],[],2,028-86267691;028-86243459;4006896511,金融保险服务;银行;银行,160100
北京路57号,龙泉驿区,[],[],[],成都市,[],B0FFF1Z3WH,[],"104.244097,30.568718",成都银行(龙泉驿支行),[],[],四川省,[],[],2,028-84868178;028-84879851,金融保险服务;银行;银行,160100
东大街下东大街段42-46,锦江区,[],[],[],成都市,[],B001C8OPI4,[],"104.080759,30.650971",成都农商银行(东大街支行),[],[],四川省,[],[],2,028-85951503,金融保险服务;银行;农村商业银行,160121
东大街下东大街段258号,锦江区,[],[],[],成都市,[],B0FFHPFCKU,[],"104.084116,30.649275",四川天府银行(成都锦江支行),[],[],四川省,[],[],2,028-86660303;028-86661515,金融保险服务;银行;银行,160100
滨江西路12号,锦江区,[],[],[],成都市,[],B001C7WQW2,[],"104.061862,30.647638",中国工商银行(滨江支行),[],[],四川省,[],[],2,028-86110182;028-86113536,金融保险服务;银行;中国工商银行,160105
中和新下街242号锦华市场,双流区,[],[],[],成都市,[],B0FFFE8VYJ,[],"104.087701,30.549251",交通银行(成都中和支行),[],[],四川省,[],[],2,028-64469911,金融保险服务;银行;交通银行,160108
顺城大街206号,青羊区,[],[],[],成都市,[],B001C7WA5O,[],"104.071151,30.660556",平安银行(成都顺城支行),[],[],四川省,[],[],2,028-60160891,金融保险服务;银行;平安银行,160117
花圃路2号附1-附4、附13号,金牛区,[],[],[],成都市,[],B001C8N4K9,[],"104.080079,30.678976",中国邮政储蓄银行(簸箕街支行),[],[],四川省,[],[],2,[],金融保险服务;银行;中国邮政储蓄银行,160139
机场东二路与机场南四路交叉口北150米,双流区,[],[],[],成都市,[],B001C8MQKB,[],"103.965892,30.568047",交通银行(双流机场支行),[],[],四川省,[],[],2,028-85208065;028-85208066,金融保险服务;银行;交通银行,160108
科华中路88号附1号成都市农商银行大厦,武侯区,[],[],202,成都市,[],B001C80OUW,[],"104.076805,30.614706",成都农商银行(总行营业部),B001C80SKW,[],四川省,[],[],2,028-85351200;028-85357369,金融保险服务;银行;农村商业银行,160121
马超西路金荷大厦1单元1层,新都区,[],[],202,成都市,[],B001C7ZY2F,[],"104.165752,30.812548",成都银行(新都支行),B001C7XQSY,[],四川省,[],[],2,028-83969970,金融保险服务;银行;银行,160100
淳化街86号-90,双流区,[],[],[],成都市,[],B001C0856M,[],"103.923332,30.572037",交通银行(双流支行),[],[],四川省,[],[],2,028-85822391;028-85815466,金融保险服务;银行;交通银行,160108
高新孵化园天府大道北段1480号德商国际B座103-104号德商国际1层,武侯区,[],[],202,成都市,[],B001C80F4V,[],"104.060363,30.575066",中国建设银行(益州支行),B0FFF2MB5C,[],四川省,[],[],2,028-85325387;028-85111496,金融保险服务;银行;中国建设银行,160106
清江东路39号附18-19号,青羊区,[],[],[],成都市,[],B001C7V8EQ,[],"104.030138,30.668581",交通银行(草堂支行),[],[],四川省,[],[],2,028-87330937;028-87332510,金融保险服务;银行;交通银行,160108
华阳大道一段28号,双流区,[],[],[],成都市,[],B001C8MOFT,[],"104.042575,30.511132",成都银行(华阳支行),[],[],四川省,[],[],2,028-85625393,金融保险服务;银行;银行,160100
蜀西路20号附8号,金牛区,[],[],[],成都市,[],B001C8RA2J,[],"104.003305,30.705223",华夏银行(成都蜀汉支行),[],[],四川省,[],[],2,028-62066325;028-62066367,金融保险服务;银行;华夏银行,160110
犀浦街道犀浦下街360-366号,郫都区,[],[],[],成都市,[],B001C808UA,[],"103.973439,30.752114",中国农业银行(犀浦一分理处),[],[],四川省,[],[],2,028-87851025,金融保险服务;银行;中国农业银行,160107
大慈寺路79号,锦江区,[],[],[],成都市,[],B0FFF9ZXDD,[],"104.082586,30.655826",中国光大银行(成都分行),[],[],四川省,[],[],2,028-86716845;028-86665566,金融保险服务;银行;中国光大银行,160113
西南航空港经济开发区西航港大道二段12号,双流区,[],[],[],成都市,[],B001C8MRA2,[],"103.973131,30.533892",中国建设银行(双流西航港支行),[],[],四川省,[],[],2,028-62142256,金融保险服务;银行;中国建设银行,160106
高新西区科新路8号,郫都区,[],[],[],成都市,[],B001C0AFUL,[],"103.917562,30.772082",中国工商银行(高新综合保税区支行),[],[],四川省,[],[],2,028-87955666,金融保险服务;银行;中国工商银行,160105
晋阳路41号,武侯区,[],[],[],成都市,[],B001C80PYQ,[],"104.006309,30.651413",成都农商银行(机投支行),[],[],四川省,[],[],2,028-87431987;028-87433333,金融保险服务;银行;农村商业银行,160121
一环路西三段184号,金牛区,[],[],[],成都市,[],B001C7UFFK,[],"104.043346,30.679006",成都农商银行(金牛支行营业部),[],[],四川省,[],[],2,028-87779520;028-87769721,金融保险服务;银行;农村商业银行,160121
柳城街道光华大道三段1403号,温江区,[],[],[],成都市,[],B0FFFVUEMU,[],"103.864592,30.681907",中国农业银行(光华大道支行),[],[],四川省,[],[],2,028-82726375,金融保险服务;银行;中国农业银行,160107
