address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
新军路283号(近中国燃气涡轮研究院新都职工医院),新都区,[],[],[],成都市,[],B0FFG354P8,[],"104.157407,30.835100",交通银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
小天东街5号附13-19号,武侯区,[],[],3,成都市,[],B001C7WLB2,[],"104.058569,30.635196",交通银行24小时自助银行(华西支行),B001C7WLB1,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
北泉路229号,龙泉驿区,[],[],3,成都市,[],B001C8NOPE,[],"104.252774,30.567075",交通银行24小时自助银行(龙鑫支行),B001C8NNVP,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
东大街城守东大街段6号附1号,锦江区,[],[],202,成都市,[],B001C7SE74,[],"104.076103,30.653256",交通银行(成都东大街支行),B001C05065,[],四川省,[],[],2,028-86711883;028-86711884,金融保险服务;银行;交通银行,160108
三槐树路3号附30-32号,锦江区,[],[],[],成都市,[],B001C033D5,[],"104.089965,30.662644",交通银行(成都新华支行),[],[],四川省,[],[],2,028-86920612,金融保险服务;银行;交通银行,160108
都江堰大道96号,都江堰市,[],[],[],成都市,[],B001C022D1,[],"103.631517,30.991082",交通银行(都江堰大道支行),[],[],四川省,[],[],2,028-87282176;028-61922829,金融保险服务;银行;交通银行,160108
武侯大道铁佛段1号附2号,武侯区,[],[],3,成都市,[],B001C8O8FL,[],"103.984633,30.622414",交通银行24小时自助银行(成都新城支行),B001C8O8SU,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
广场路35号,双流区,[],[],[],成都市,[],B001C80QTK,[],"103.927042,30.576149",交通银行ATM(广场路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
华阳大道三段206号(近地税局中和地税所),双流区,[],[],[],成都市,[],B001C8OAYT,[],"104.062216,30.506186",交通银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
石油大学校园区内学生宿舍10幢102室,新都区,[],[],[],成都市,[],B0FFFEJLA7,[],"104.186257,30.825165",交通银行ATM(博学路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
天乡路二段871号,温江区,[],[],[],成都市,[],B0FFFGYEBK,[],"103.820597,30.714719",交通银行24小时自助银行(生态大道踏水段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
康安路与广履路交叉路口西南侧,双流区,[],[],[],成都市,[],B0HAHBG5C6,[],"103.946399,30.593201",交通银行(ATM),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
外南街56-62号,新都区,[],[],3,成都市,[],B001C8NR0P,[],"104.162427,30.820188",交通银行24小时自助银行(下南街支行),B001C7V8F5,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
农平路与来龙村交叉口东北100米,龙泉驿区,[],[],[],成都市,[],B001C8R7BO,[],"104.168784,30.662077",交通银行ATM(农平路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
华新中街263号,双流区,[],[],[],成都市,[],B001C094FN,[],"104.053611,30.511222",交通银行24小时自助银行(华兴街分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
新园大道54-56,武侯区,[],[],[],成都市,[],B001C8MR3Q,[],"104.035283,30.584232",交通银行ATM(惠风和苑西南),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
团结中路与团结北路交叉口东北50米,青白江区,[],[],[],成都市,[],B0FFJ8JNZI,[],"104.245500,30.875826",交通银行24小时自助银行(团结中路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
长安路186号,温江区,[],[],[],成都市,[],B001C7U587,[],"103.853221,30.698992",交通银行24小时自助银行(长安路分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
星辉中路16号,金牛区,[],[],[],成都市,[],B001C7WBM5,[],"104.082087,30.674793",交通银行ATM(星辉中路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
东升镇广巍路2号,双流区,[],[],[],成都市,[],B001C8O2JW,[],"103.945464,30.590878",交通银行ATM(广巍路一段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
蓉台大道与骑士大道交叉口东北50米,温江区,[],[],[],成都市,[],B001C8R9OR,[],"103.814813,30.645891",交通银行24小时自助银行(蓉台大道),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
物流大道西延线301,新都区,[],[],[],成都市,[],B001C8O1KH,[],"104.121772,30.798653",交通银行24小时自助银行(燕塘村卫生站北),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
迎春路三段156号,双流区,[],[],[],成都市,[],B001C8VK3J,[],"103.916668,30.577228",交通银行ATM(吴家坝南街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
兴城大道957附近,新都区,[],[],[],成都市,[],B001C8O1WH,[],"104.142548,30.798653",交通银行ATM(锦水苑社区东),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
迎春路三段140号,双流区,[],[],[],成都市,[],B001C92BYS,[],"103.919392,30.579621",交通银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
光华大道一段866号元益花园6栋1层25号,青羊区,[],[],202,成都市,[],B001C953YP,[],"103.975354,30.669501",交通银行24小时自助银行(光华大道一段),B0FFGU4EZC,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
阳光林森路278号附近,新都区,[],[],[],成都市,[],B0FFFAD1A9,[],"104.023439,30.840340",交通银行ATM(永安街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
观景路416号国税局家属院附近,都江堰市,[],[],[],成都市,[],B001C92D9U,[],"103.634415,30.996645",交通银行24小时自助银行(正泰综合楼东北),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
培风横街277号,青羊区,[],[],[],成都市,[],B001C8O8IO,[],"103.977813,30.665643",交通银行24小时自助银行(培风横街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
中和新下街242号,双流区,[],[],[],成都市,[],B0FFFGLQ90,[],"104.087617,30.549237",交通银行24小时自助银行(中和支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
成龙大道与车城东一路交叉口西南150米,龙泉驿区,[],[],[],成都市,[],B0FFHU9M0Q,[],"104.208298,30.555442",交通银行ATM(车城东一路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
金阳路69-75号,青羊区,[],[],3,成都市,[],B001C7V8EY,[],"104.008098,30.677882",交通银行24小时自助银行(金沙支行),B001C7V8EX,[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
武兴三路28号1栋附2号,武侯区,[],[],[],成都市,[],B0FFGHQ3N6,[],"103.978736,30.635461",交通银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
吴家坝北街64号,双流区,[],[],[],成都市,[],B001C92BYW,[],"103.917101,30.581589",交通银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
一环路南二段17号成都A世界电脑商城1F层,武侯区,[],[],[],成都市,[],B001C7Y28K,[],"104.067114,30.633985",交通银行ATM(成都A世界电脑商城),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
一杆旗南街一段与棠中路四段交叉口西50米,双流区,[],[],[],成都市,[],B001C92C7C,[],"103.911572,30.570149",交通银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;交通银行ATM,160305
