address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
晋康北路229-237号,崇州市,[],[],[],成都市,[],B001C8MJI9,[],"103.684527,30.638963",中国银行24小时自助银行(九龙路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
发展路38-40号附近,都江堰市,[],[],[],成都市,[],B0FFHGOOMF,[],"103.658029,31.001563",中国银行ATM(发展路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
西河街道开元南路79号滨西绿洲6栋9号,龙泉驿区,[],[],202,成都市,[],B0FFGPGIU1,[],"104.231943,30.644393",中国银行24小时自助银行(成都龙泉驿西河支行),B0FFGB5L34,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
东滨路南段458号附近,简阳市,[],[],[],成都市,[],B0FFHE3NA5,[],"104.540440,30.404618",中国银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
银杏路保利公园,新都区,[],[],[],成都市,[],B001C8O90E,[],"104.147620,30.751997",中国银行24小时自助银行(保利百合郡西北),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
滨河北街58号,龙泉驿区,[],[],[],成都市,[],B0FFGA56AZ,[],"104.278725,30.559748",中国银行24小时自助银行(滨河北街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
幸福路10成都信息工程大学龙泉驿校区,龙泉驿区,[],[],[],成都市,[],B0FFFGV616,[],"104.302662,30.605076",中国银行ATM(幸福路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
中环路与飞翔路交叉口东100米,新都区,[],[],[],成都市,[],B0FFFGNKP2,[],"104.186838,30.826455",中国银行24小时自助银行(中环路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
清江中路288号,新都区,[],[],[],成都市,[],B0FFGST3YG,[],"104.181241,30.818702",中国银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
五津镇模范街130号,新津区,[],[],[],成都市,[],B001C7VRY8,[],"103.811641,30.411491",中国银行24小时自助银行(武阳路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
川大路二段301-303,双流区,[],[],[],成都市,[],B001C8MQXJ,[],"104.001564,30.552636",中国银行24小时自助银行(双流四川大学支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
和平路65-73号,龙泉驿区,[],[],[],成都市,[],B001C055FF,[],"104.177132,30.649784",中国银行24小时自助银行(十陵支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
葛陌路与商学街交叉路口往北约50米(迎春三期),双流区,[],[],[],成都市,[],B0FFJBWEN9,[],"103.933875,30.589057",中国银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
泉颐街与鸿雁路交叉口东南50米,双流区,[],[],[],成都市,[],B0FFIKYIZT,[],"103.911893,30.619724",中国银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
安象街76号(四川省简阳市简阳简城同济医院东南),简阳市,[],[],[],成都市,[],B0FFFT7KGI,[],"104.543995,30.396410",中国银行24小时自助银行(四川省简阳市简阳简城同济医院东南),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
佳灵路3号,武侯区,[],[],3,成都市,[],B001C8O2JO,[],"104.030018,30.634501",中国银行24小时自助银行(成都红牌楼支行),B001C8O71X,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
文翁路139号之附3-5,青羊区,[],[],[],成都市,[],B001C80SD6,[],"104.060200,30.653690",中国银行24小时自助银行(成都文翁路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
西安路三段63附近,双流区,[],[],[],成都市,[],B0FFFPXBO4,[],"103.912700,30.576142",中国银行24小时自助(西安路三段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
大东街263-267号,崇州市,[],[],[],成都市,[],B0FFIPE54F,[],"103.679252,30.628726",中国银行24小时自助银行(大东街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
蜀清路236-240,青羊区,[],[],[],成都市,[],B0FFF00BAC,[],"103.985879,30.678372",中国银行24小时自助银行(蜀清路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
簇锦北路138号千盛生活广场F1层,武侯区,[],[],201,成都市,[],B001C7YQ2M,[],"103.990971,30.608032",中国银行24小时自助银行(成都簇锦支行),B001C7WN1X,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
成环路与柏华路交叉口西100米,龙泉驿区,[],[],[],成都市,[],B0FFGIIMXF,[],"104.212946,30.513197",中国银行24小时自助银行(成环路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
迎春路四段12号附近,双流区,[],[],[],成都市,[],B0FFGJ2V0E,[],"103.917863,30.579783",中国银行24小时自助银行(迎春路三段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
红佳东路2号,郫都区,[],[],[],成都市,[],B001C8MG2H,[],"103.947415,30.779347",中国银行24小时自助银行(广场路北一段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
升仙湖站A口内,成华区,[],[],[],成都市,[],B0FFFPZ6IU,[],"104.083321,30.704969",中国银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
大弯西路与步行街交叉口西北50米,青白江区,[],[],[],成都市,[],B0FFFDS768,[],"104.267683,30.877071",中国银行ATM(大弯西路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
海昌南路66号,双流区,[],[],[],成都市,[],B001C95ERK,[],"104.073256,30.490875",中国银行24小时自助银行(海昌路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
红光大道9999号(西华大学),金牛区,[],[],[],成都市,[],B001C8R8FQ,[],"103.952044,30.776567",中国银行ATM(西华街道办事处东北),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
经一路123号,青羊区,[],[],[],成都市,[],B001C8N3F5,[],"103.964630,30.694262",中国银行24小时自助银行(成都成飞支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
上南街274号,崇州市,[],[],[],成都市,[],B0FFIP7Q8Z,[],"103.672501,30.623724",中国银行24小时自助银行(学府街分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
白河路四段17,双流区,[],[],[],成都市,[],B0FFF00DZN,[],"103.909817,30.567928",中国银行24小时自助银行(白河路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
高升桥南街8号附32-35号,武侯区,[],[],3,成都市,[],B001C0AHGI,[],"104.038697,30.637251",中国银行24小时自助银行(罗浮支行),B001C0AHGH,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
华逸路与同金街交叉口北100米,青白江区,[],[],[],成都市,[],B0FFHLSFIQ,[],"104.244126,30.888022",中国银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
天久街19-21号,武侯区,[],[],3,成都市,[],B001C8MZOW,[],"104.071814,30.593024",中国银行24小时自助银行(海关大厦支行),B001C8MR1K,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
贝森路54附近,青羊区,[],[],[],成都市,[],B0FFGCX1CQ,[],"104.003133,30.669851",中国银行24小时自助银行(贝森路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
紫杉路80号,武侯区,[],[],[],成都市,[],B001C0AHHI,[],"104.048701,30.614294",中国银行24小时自助银行(紫荆西路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
怡湖西路120-124号,青白江区,[],[],[],成都市,[],B001C7U2S5,[],"104.254179,30.881550",中国银行24小时自助银行(怡湖西路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
锦城大道1024-1030号,武侯区,[],[],[],成都市,[],B0FFGFL169,[],"104.051821,30.575601",中国银行24小时自助银行(锦城大道支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
高新西区合信路西南二期5号楼一层1-2号,郫都区,[],[],[],成都市,[],B001C8R7G3,[],"103.913870,30.753259",中国银行24小时自助银行(成都电子路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
四川农业大学成都校区内,温江区,[],[],[],成都市,[],B0FFFHJ7ID,[],"103.861085,30.706371",中国银行24小时自助银行(温江区气象局东北),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
红建路南段7-2号附近,简阳市,[],[],[],成都市,[],B0FFHDRMJ6,[],"104.556462,30.387635",中国银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国银行ATM,160301
