address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
回龙路49号附近,新都区,[],[],[],成都市,[],B0FFH23AGE,[],"104.154602,30.740655",中国建设银行24小时自助银行(回龙路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
天勤东街与尚丰路交叉口东南150米,郫都区,[],[],[],成都市,[],B0FFIPOVDZ,[],"103.923615,30.784254",中国建设银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
湖畔路北段天府菁蓉中心B区10号楼,双流区,[],[],[],成都市,[],B0GRJRNJV3,[],"104.080515,30.403518",中国建设银行(自贸试验区分行),[],[],四川省,[],[],2,028-85858601,金融保险服务;银行;中国建设银行,160106
华阳街道警校路一段23号(地铁5号线警官学院站C2入口旁),双流区,[],[],[],成都市,[],B0G2H7QBA5,[],"104.041122,30.510854",中国建设银行成都警校路支行,[],[],四川省,[],[],2,028-83207432,金融保险服务;银行;中国建设银行,160106
槐树店一路329号,成华区,[],[],[],成都市,[],B0G1BC7X3S,[],"104.134644,30.645894",中国建设银行(成都鲁能城支行),[],[],四川省,[],[],2,028-84330422,金融保险服务;银行;中国建设银行,160106
金阳路176号东北90米,青羊区,[],[],[],成都市,[],B0G17DX9HN,[],"104.003878,30.680929",中国建设银行,[],[],四川省,[],[],2,[],金融保险服务;银行;中国建设银行,160106
九江街道康家堰路二段175号,双流区,[],[],[],成都市,[],B0FFMA91IQ,[],"103.928438,30.628878",中国建设银行(双流九江支行),[],[],四川省,[],[],2,028-85710275,金融保险服务;银行;中国建设银行,160106
"应龙南一路15,17号",双流区,[],[],[],成都市,[],B0FFLH6ZXJ,[],"104.086606,30.532833",中国建设银行股份有限公司成都新川支行,[],[],四川省,[],[],2,028-85516585,金融保险服务;银行;银行,160100
国机西南大厦1层,成华区,[],[],202,成都市,[],B0FFLAKTGB,[],"104.174628,30.688329",中国建设银行(成都龙潭支行),B0FFI84VXV,[],四川省,[],[],2,028-84215067;028-84215063,金融保险服务;银行;中国建设银行,160106
江安路509号,温江区,[],[],[],成都市,[],B0FFKW0PC3,[],"103.883137,30.688084",中国建设银行(江安路支行),[],[],四川省,[],[],2,028-82722076;028-82746575;028-82745756,金融保险服务;银行;中国建设银行,160106
-新都大道西南石油大学,新都区,[],[],[],成都市,[],B0FFJ1J85X,[],"104.179592,30.813718",中国建设银行,[],[],四川省,[],[],2,028-83992382,金融保险服务;银行;中国建设银行,160106
[],武侯区,[],[],[],成都市,[],B0FFIZ13AE,[],"104.071314,30.601180",中国建设银行(成都天仁路支行),[],[],四川省,[],[],2,[],金融保险服务;银行;中国建设银行,160106
建设路35号,龙泉驿区,[],[],[],成都市,[],B001C8T5SB,[],"104.273821,30.560632",中国建设银行,[],[],四川省,[],[],2,[],金融保险服务;银行;中国建设银行,160106
金江路153号附近,武侯区,[],[],[],成都市,[],B0FFFWTNEP,[],"103.962499,30.612268",中国建设银行24小时自助银行(金江路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
牡丹西路南段137号,彭州市,[],[],[],成都市,[],B0FFFPHZD8,[],"103.956725,30.984952",中国建设银行24小时自助银行(牡丹西路南段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
一环路西二段4-10号,青羊区,[],[],[],成都市,[],B0FFFAC41D,[],"104.040470,30.660157",中国建设银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
五津南路1号,新津区,[],[],3,成都市,[],B001C7VRE2,[],"103.812167,30.411850",中国建设银行24小时自助银行,B001C7VRE1,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
东御街66号,锦江区,[],[],[],成都市,[],B001C7UQ55,[],"104.067426,30.656253",中国建设银行(金河支行),[],[],四川省,[],[],2,028-86725244;028-86725246,金融保险服务;银行;中国建设银行,160106
君平大道与西较场口交叉口北100米,邛崃市,[],[],[],成都市,[],B0FFGB9LZF,[],"103.460263,30.421976",中国建设银行(城北支行),[],[],四川省,[],[],2,028-88792302,金融保险服务;银行;中国建设银行,160106
东壕沟南段70-74号,大邑县,[],[],3,成都市,[],B001C7UHZR,[],"103.524502,30.584717",中国建设银行24小时自助银行(公园坝支行),B001C7UHZQ,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
金府路中段与金府路西段交叉口南150米,温江区,[],[],[],成都市,[],B0FFFPZN15,[],"103.793210,30.681091",中国建设银行24小时自助银行(蓉台大道北段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
十二桥路12号,青羊区,[],[],[],成都市,[],B001C7VRCW,[],"104.045031,30.663595",中国建设银行(十二桥支行),[],[],四川省,[],[],2,028-87767894,金融保险服务;银行;中国建设银行,160106
光华村街40号大地新光华广场1层,青羊区,[],[],[],成都市,[],B0FFG0Z2E2,[],"104.014560,30.661790",中国建设银行24小时自助银行(家园路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
兴乐北路94号,新都区,[],[],[],成都市,[],B0FFGE04AW,[],"104.192997,30.809942",中国建设银行24小时自助银行(兴乐北路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
玉带街185号,龙泉驿区,[],[],[],成都市,[],B0FFFODR2P,[],"104.327791,30.641676",中国建设银行24小时自助银行(玉带街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
麓镇大道二段18号14栋附103,双流区,[],[],[],成都市,[],B0FFH89UNH,[],"104.093396,30.481481",中国建设银行24小时自助银行(成都麓山国际支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
鹤山北路3号,蒲江县,[],[],[],成都市,[],B001C7UYDH,[],"103.510053,30.194647",中国建设银行(蒲江支行营业部),[],[],四川省,[],[],2,028-88522535,金融保险服务;银行;中国建设银行,160106
简阳中学附近,简阳市,[],[],[],成都市,[],B03400N8UP,[],"104.548640,30.403327",中国建设银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
柳城大道西段256号,温江区,[],[],3,成都市,[],B001C8MXB1,[],"103.828776,30.690805",中国建设银行24小时自助银行(银城花园支行),B001C8MZWN,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
龙都南路463号,龙泉驿区,[],[],[],成都市,[],B0FFFAD2TT,[],"104.272336,30.571520",中国建设银行24小时自助银行(龙都南路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
列维士路562号,新都区,[],[],[],成都市,[],B0FFF02MAS,[],"104.020631,30.854551",中国建设银行24小时自助银行(成都新都香江支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
乌江路290附近,双流区,[],[],[],成都市,[],B0FFFXIGHN,[],"103.912660,30.612534",中国建设银行24小时自助银行(乌江路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
琉璃路655号,锦江区,[],[],3,成都市,[],B001C80N55,[],"104.094261,30.613789",中国建设银行24小时自助银行(翡翠城支行),B001C80N54,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
二仙桥东三路2号成都理工大学(北门)附近,成华区,[],[],[],成都市,[],B0FFF6B9PS,[],"104.145387,30.676215",中国建设银行ATM(理工学院储蓄所),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
金桔街附近,金堂县,[],[],[],成都市,[],B0FFFACXHZ,[],"104.448876,30.851534",中国建设银行24小时自助银行(金橘街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
太康西路152号,新津区,[],[],[],成都市,[],B0FFF38L9Q,[],"103.809605,30.420158",中国建设银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
朝阳大道200号,蒲江县,[],[],[],成都市,[],B0FFG2Q92V,[],"103.521022,30.196390",中国建设银行(朝阳大道支行),[],[],四川省,[],[],2,028-88522921;95533,金融保险服务;银行;中国建设银行,160106
柳城街道东大街1-5号,温江区,[],[],3,成都市,[],B001C7VRDV,[],"103.836387,30.698753",中国建设银行24小时自助银行(温江支行),B001C7VRDU,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
蒲阳路619号,都江堰市,[],[],3,成都市,[],B001C8OLQ6,[],"103.635607,31.005582",中国建设银行24小时自助银行(蒲阳干道支行),B001C8ON5W,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
文锦街160号附近,新都区,[],[],[],成都市,[],B0FFG4WFKB,[],"104.069055,30.818126",中国建设银行24小时自助银行(文锦街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
长融街28号-9-2-101附近,成华区,[],[],[],成都市,[],B0FFG8YJCN,[],"104.143385,30.654222",中国建设银行ATM(长融街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
至善东一路与陈英路交叉口东100米,龙泉驿区,[],[],[],成都市,[],B0FFGLM2I9,[],"104.191012,30.651026",中国建设银行24小时自助银行(陈英路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
文井街7号,崇州市,[],[],3,成都市,[],B001C7ZZ0Q,[],"103.662076,30.632308",中国建设银行24小时自助银行(文井街),B001C7ZYZP,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
长顺大道一段西100米,双流区,[],[],[],成都市,[],B0FFFW9H5W,[],"104.024527,30.500767",中国建设银行24小时自助银行(双流区协和实验小学西),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
