address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
槐树店路31号附11号,成华区,[],[],[],成都市,[],B0FFFADAAQ,[],"104.140918,30.648927",中国建设银行24小时自助银行(槐树店路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
上善南路3号,都江堰市,[],[],[],成都市,[],B001C8OKVG,[],"103.659419,31.012410",中国建设银行24小时自助银行(上善南路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
通江街29,新都区,[],[],[],成都市,[],B0FFH21FIF,[],"104.026536,30.818936",中国建设银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
来龙路与西航港大道交叉口西50米,双流区,[],[],3,成都市,[],B001C8OO1M,[],"103.973109,30.533913",中国建设银行24小时自助银行(西航港支行),B001C8MRA2,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
香槟路69号附近,龙泉驿区,[],[],[],成都市,[],B0FFG7GW0J,[],"104.256867,30.535827",中国建设银行24小时自助银行(华怡科尔西南),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
三西路与货运大道交叉口西北200米,新都区,[],[],[],成都市,[],B0FFFWNBOA,[],"104.127085,30.783389",中国建设银行24小时自助银行(货运大道),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
翔凤路779号,都江堰市,[],[],[],成都市,[],B0FFF5TTOY,[],"103.643735,30.971124",中国建设银行24小时自助银行(安居路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
雄州大道南段466附近,简阳市,[],[],[],成都市,[],B0FFFTL6KB,[],"104.537449,30.410759",中国建设银行24小时自助银行(雄州大道支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
车城东四路99号,龙泉驿区,[],[],[],成都市,[],B0FFF2U21E,[],"104.226670,30.545110",中国建设银行ATM(车城东四路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
晋原街道西街49号(大邑食品药品监督管理局东侧),大邑县,[],[],[],成都市,[],B001C7VRC8,[],"103.519394,30.585190",中国建设银行(大邑支行),[],[],四川省,[],[],2,028-88291843,金融保险服务;银行;中国建设银行,160106
机场路成都双流国际机场3F层,双流区,[],[],201,成都市,[],B0FFGF9I8U,[],"103.958323,30.578421",中国建设银行ATM(成都空港大酒店西北),B001C06GIA,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
康兮路156号附近,都江堰市,[],[],[],成都市,[],B0FFGM2M1G,[],"103.625445,30.972837",中国建设银行24小时自助银行(康兮路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
西航港新街178号附1,双流区,[],[],[],成都市,[],B0FFF3AEU8,[],"104.012379,30.550234",中国建设银行24小时自助银行(金玉满堂西),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
潘家街三段72号附1号,大邑县,[],[],[],成都市,[],B0FFF3ADIK,[],"103.535903,30.575592",中国建设银行24小时自助银行(潘家街三段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
新光路5号附14号,武侯区,[],[],3,成都市,[],B001C7URNW,[],"104.057736,30.615301",中国建设银行24小时自助银行(新光路支行),B001C0AGD1,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
滨河路二段580-582,双流区,[],[],[],成都市,[],B0FFF5TQ8R,[],"104.055392,30.522926",中国建设银行24小时自助银行(华新储蓄所),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
车城西四路125号附1,龙泉驿区,[],[],[],成都市,[],B0FFF2FNBK,[],"104.175852,30.566646",中国建设银行24小时自助银行(车城支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
九里堤南路78号附5-9号,金牛区,[],[],3,成都市,[],B001C7WD8X,[],"104.057480,30.692677",中国建设银行24小时自助银行(九里堤南路支行),B001C0AGAV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
敬成路425号,新都区,[],[],[],成都市,[],B0FFJ93U10,[],"104.067713,30.772199",中国建设银行(新都北星支行),[],[],四川省,[],[],2,028-83971258,金融保险服务;银行;中国建设银行,160106
天缘路一段76-78号,新都区,[],[],[],成都市,[],B0FFFAAUPX,[],"104.152971,30.814421",中国建设银行24小时自助银行(天缘路一段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
珠江东街153-155号,郫都区,[],[],3,成都市,[],B001C0AGAB,[],"103.962211,30.760056",中国建设银行24小时自助银行(犀浦支行),B001C0AGAA,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
一环路南四段8号附2号,武侯区,[],[],3,成都市,[],B001C92BIZ,[],"104.050302,30.635606",中国建设银行24小时自助银行(衣冠庙支行),B001C7USEF,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
花园街41号万科城市花园广场,锦江区,[],[],3,成都市,[],B001C7UQBE,[],"104.114296,30.616536",中国建设银行24小时自助银行(成都万科城市花园支行),B001C7UQBD,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
火神庙北一路与火神庙路交叉口西50米,成华区,[],[],[],成都市,[],B0FFGM2L39,[],"104.170180,30.706085",中国建设银行ATM(火神庙西街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
天鹅一路33号附9,成华区,[],[],[],成都市,[],B0FFF3ADN2,[],"104.156468,30.638352",中国建设银行ATM(天鹅路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
上南街227-229号,崇州市,[],[],3,成都市,[],B001C8NP19,[],"103.673094,30.624327",中国建设银行ATM(上南街储蓄所),B001C057ZX,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
车城东一路254附近,龙泉驿区,[],[],[],成都市,[],B001C95E48,[],"104.200493,30.542197",中国建设银行ATM(经开区南三路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国建设银行ATM,160303
