address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
三道堰镇湖广馆巷38号,郫都区,[],[],[],成都市,[],B0HG15T7BU,[],"103.916737,30.867440",成都农商银行(三道堰支行),[],[],四川省,[],[],2,028-87981698,金融保险服务;银行;农村商业银行,160121
道明镇白塔路108-118号,崇州市,[],[],[],成都市,[],B0FFJ7I7LM,[],"103.602581,30.665949",成都农商银行(崇州道明分理处),[],[],四川省,[],[],2,028-82230536;028-88395108,金融保险服务;银行;农村商业银行,160121
清泉镇平安路89号,青白江区,[],[],[],成都市,[],B001C7YJR0,[],"104.392948,30.744458",成都农商银行(青白江清泉分理处),[],[],四川省,[],[],2,028-83655064;028-83655809,金融保险服务;银行;农村商业银行,160121
武阳西路314-318号,新津区,[],[],[],成都市,[],B001C804RW,[],"103.801519,30.414231",成都农商银行(新津水城支行),[],[],四川省,[],[],2,028-82596104,金融保险服务;银行;农村商业银行,160121
高埂镇桥横东街11号,邛崃市,[],[],[],成都市,[],B001C7YJR4,[],"103.624120,30.402084",成都农商银行(高埂分理处),[],[],四川省,[],[],2,028-88719063,金融保险服务;银行;农村商业银行,160121
又新镇新乐西街83号,金堂县,[],[],[],成都市,[],B001C7X8H8,[],"104.787304,30.570346",成都农商银行(又新分理处),[],[],四川省,[],[],2,028-84971365,金融保险服务;银行;农村商业银行,160121
新建街288、290号,邛崃市,[],[],[],成都市,[],B001C7VSYD,[],"103.670865,30.351714",成都农商银行(牟礼分理处),[],[],四川省,[],[],2,028-88721483,金融保险服务;银行;农村商业银行,160121
金府路777号金府五金机电城,金牛区,[],[],[],成都市,[],B001C7UCPS,[],"104.043237,30.716377",成都农商银行(机电城支行),[],[],四川省,[],[],2,028-87691251;028-87691527,金融保险服务;银行;农村商业银行,160121
敬忠街64-66号,郫都区,[],[],[],成都市,[],B001C7U1YR,[],"103.864799,30.881392",成都农商银行(郫都支行),[],[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
徐兴路69号,都江堰市,[],[],[],成都市,[],B001C7U1V1,[],"103.677376,30.851132",成都农商银行(徐渡分理处),[],[],四川省,[],[],2,028-87231391,金融保险服务;银行;农村商业银行,160121
上天街高何镇政府斜对面,邛崃市,[],[],[],成都市,[],B001C06RPX,[],"103.159010,30.322741",成都农商银行(高何分理处),[],[],四川省,[],[],2,028-88738249,金融保险服务;银行;农村商业银行,160121
锦华路三段47-51,双流区,[],[],[],成都市,[],B0FFF00E0K,[],"103.984064,30.577657",成都农商银行(双流金色校园分理处),[],[],四川省,[],[],2,028-85883818,金融保险服务;银行;农村商业银行,160121
金泉路37号,金牛区,[],[],[],成都市,[],B0FFH8VRK5,[],"104.010871,30.719652",成都农商银行(土桥分理处),[],[],四川省,[],[],2,028-87502175,金融保险服务;银行;农村商业银行,160121
悦来镇惠通街1-7号、迎宾大道278-288号,大邑县,[],[],[],成都市,[],B001C8ODEW,[],"103.447890,30.618078",成都农商银行(大邑悦来支行),[],[],四川省,[],[],2,028-88376264,金融保险服务;银行;农村商业银行,160121
武侯大道铁佛段120-122号,武侯区,[],[],[],成都市,[],B001C8O98B,[],"103.987868,30.612385",成都农商银行(铁佛分理处),[],[],四川省,[],[],2,028-85360012,金融保险服务;银行;农村商业银行,160121
小夫路附近,彭州市,[],[],[],成都市,[],B001C8MD4Q,[],"103.912037,31.189700",成都农商银行(白鹿分理处),[],[],四川省,[],[],2,028-83770238,金融保险服务;银行;农村商业银行,160121
新乐路139-143号,武侯区,[],[],[],成都市,[],B001C80RRL,[],"104.040455,30.605415",成都农商银行(和达分理处),[],[],四川省,[],[],2,028-86037263,金融保险服务;银行;农村商业银行,160121
桃蹊路76-78号,成华区,[],[],[],成都市,[],B001C80IQ7,[],"104.108349,30.681515",成都农商银行(桃蹊分理处),[],[],四川省,[],[],2,028-83252890,金融保险服务;银行;农村商业银行,160121
大林街道中山路138,双流区,[],[],[],成都市,[],B001C807T9,[],"104.122229,30.283283",成都农商银行(大林分理处),[],[],四川省,[],[],2,028-85690020,金融保险服务;银行;农村商业银行,160121
牟礼镇新街社区塔子街57号,邛崃市,[],[],[],成都市,[],B001C7YKB3,[],"103.650659,30.350202",成都农商银行(战斗分理处),[],[],四川省,[],[],2,028-88720412;028-88711199,金融保险服务;银行;农村商业银行,160121
桂花镇金桂西街51号,彭州市,[],[],[],成都市,[],B001C7YJX7,[],"103.791305,31.033640",成都农商银行(桂花分理处),[],[],四川省,[],[],2,028-83832133,金融保险服务;银行;农村商业银行,160121
人和乡人和后街19号,青白江区,[],[],[],成都市,[],B001C7VEVC,[],"104.433350,30.695352",成都农商银行(人和分理处),[],[],四川省,[],[],2,028-83644160,金融保险服务;银行;农村商业银行,160121
临济镇青华社区(石头)政府街46号,邛崃市,[],[],[],成都市,[],B001C7UY5O,[],"103.324967,30.307749",成都农商银行(石头分理处),[],[],四川省,[],[],2,028-88785190,金融保险服务;银行;农村商业银行,160121
日新东街37-39,青白江区,[],[],[],成都市,[],B001C7U4W1,[],"104.295173,30.798721",成都农商银行(日新分理处),[],[],四川省,[],[],2,028-83640463,金融保险服务;银行;农村商业银行,160121
广兴镇场镇,金堂县,[],[],[],成都市,[],B001C7UUPT,[],"104.791714,30.629110",成都农商银行(广兴分理处),[],[],四川省,[],[],2,028-84030222,金融保险服务;银行;农村商业银行,160121
物流园区物流大道199号,新都区,[],[],[],成都市,[],B001C80L5U,[],"104.133029,30.795519",成都农商银行(新都物流园区分理处),[],[],四川省,[],[],2,028-83909226,金融保险服务;银行;农村商业银行,160121
福庆路137-139号,青羊区,[],[],[],成都市,[],B001C8O4NP,[],"103.922593,30.673378",成都农商银行(非遗分理处),[],[],四川省,[],[],2,028-62320850,金融保险服务;银行;农村商业银行,160121
国槐街1000号2栋1层4-6号,锦江区,[],[],[],成都市,[],B001C8NOCB,[],"104.132213,30.610283",成都农商银行(国槐分理处),[],[],四川省,[],[],2,028-84093060;028-84792964,金融保险服务;银行;农村商业银行,160121
黄土乡康庄街17号,龙泉驿区,[],[],[],成都市,[],B001C7UGW6,[],"104.291087,30.684383",成都农商银行(黄土分理处),[],[],四川省,[],[],2,028-84897196,金融保险服务;银行;农村商业银行,160121
冯家湾路207号,金牛区,[],[],[],成都市,[],B0GRLUMT20,[],"104.097308,30.762677",成都农商银行(万圣家园分理处),[],[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
甘溪镇北街87号,蒲江县,[],[],[],成都市,[],B001C7YKCY,[],"103.351698,30.253366",成都农商银行(甘溪镇分理处),[],[],四川省,[],[],2,028-88641289,金融保险服务;银行;农村商业银行,160121
东部新区三岔街道湖滨西街69-71号,简阳市,[],[],[],成都市,[],B0HBL5CGNE,[],"104.296297,30.299132",成都农商银行(东部新区支行),[],[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
青城山镇盆景路22号,都江堰市,[],[],[],成都市,[],B0FFM7ELQR,[],"103.614511,30.786189",成都农商银行(都江堰安龙分理处),[],[],四川省,[],[],2,028-87214371,金融保险服务;银行;农村商业银行,160121
华冠路13-34,成华区,[],[],[],成都市,[],B001C8MI0O,[],"104.172641,30.693895",成都农商银行(龙潭总部城分理处),[],[],四川省,[],[],2,028-62024069,金融保险服务;银行;农村商业银行,160121
万安街622号,温江区,[],[],[],成都市,[],B001C8MCB6,[],"103.710774,30.831095",成都农商银行(温江汪家湾分理处),[],[],四川省,[],[],2,028-82658172,金融保险服务;银行;农村商业银行,160121
北街7号,彭州市,[],[],[],成都市,[],B001C7VE41,[],"103.938072,31.088037",成都农商银行(彭州葛仙山分理处),[],[],四川省,[],[],2,028-83866187,金融保险服务;银行;农村商业银行,160121
青江中路83-85号,青白江区,[],[],[],成都市,[],B001C09L4S,[],"104.254708,30.878414",成都农商银行(青白江玉带分理处),[],[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
向峨乡场镇,都江堰市,[],[],[],成都市,[],B0FFF4Z89S,[],"103.715190,31.087414",成都农商银行(向峨分理处),[],[],四川省,[],[],2,028-87263161,金融保险服务;银行;农村商业银行,160121
城厢镇大东街83号,青白江区,[],[],[],成都市,[],B001C8MDJX,[],"104.322161,30.856243",成都农商银行(玉虹分理处),[],[],四川省,[],[],2,028-83632754,金融保险服务;银行;农村商业银行,160121
石龙上街57-63,都江堰市,[],[],[],成都市,[],B001C8MBXM,[],"103.695053,30.996984",成都农商银行(都江堰胥家支行),[],[],四川省,[],[],2,028-87224598,金融保险服务;银行;农村商业银行,160121
寿安街道新蒲路中国电信东北,蒲江县,[],[],[],成都市,[],B001C7UY6B,[],"103.590968,30.247889",成都农商银行(寿民分理处),[],[],四川省,[],[],2,028-88616121,金融保险服务;银行;农村商业银行,160121
新繁街道高宁医院(高宁医院东北),新都区,[],[],[],成都市,[],B001C7U209,[],"103.962358,30.898285",成都农商银行(高宁分理处),[],[],四川省,[],[],2,028-83072030,金融保险服务;银行;农村商业银行,160121
迎祥街附近,都江堰市,[],[],[],成都市,[],B001C7U1TE,[],"103.689324,30.896938",成都农商银行(祁园分理处),[],[],四川省,[],[],2,028-87225237,金融保险服务;银行;农村商业银行,160121
临济镇新街139号,邛崃市,[],[],[],成都市,[],B001C0AJTE,[],"103.290614,30.264561",成都农商银行(临济分理处),[],[],四川省,[],[],2,028-88786105,金融保险服务;银行;农村商业银行,160121
