address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
紫荆西路6号附7号,武侯区,[],[],[],成都市,[],B0FFF2WQE4,[],"104.045082,30.617857",中国光大银行24小时自助银行(神仙树支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
荆竹中路225号,成华区,[],[],[],成都市,[],B0FFHFXEM9,[],"104.106711,30.713105",中国光大银行24小时自助银行(上东社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
高升桥路16号附1号,武侯区,[],[],[],成都市,[],B0FFF9VFD3,[],"104.036826,30.639984",中国光大银行24小时自助银行(成都武侯支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
锦东路680、684、688-690,锦江区,[],[],3,成都市,[],B001C80SIZ,[],"104.106110,30.638678",中国光大银行24小时自助银行(牛市口支行),B001C80SIV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
天久南巷163-165,武侯区,[],[],[],成都市,[],B0FFFFKP51,[],"104.074039,30.592098",中国光大银行24小时自助银行(天府长城小微支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
小天竺街7号,武侯区,[],[],3,成都市,[],B0FFGFL5B9,[],"104.067516,30.642955",中国光大银行24小时自助银行(成都小天竺支行),B001C05BFQ,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
建业路82号,成华区,[],[],[],成都市,[],B0FFFORHWS,[],"104.113019,30.671692",中国光大银行24小时自助银行(龙湖社区自助银行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
顺城大街312号附1-3号,青羊区,[],[],3,成都市,[],B001C7WQX4,[],"104.071029,30.668797",中国光大银行24小时自助银行(冠城支行),B001C068QT,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
洗面桥街30号附2号,武侯区,[],[],3,成都市,[],B001C0AG7U,[],"104.056583,30.640744",中国光大银行24小时自助银行服务(成都天府支行),B001C03BBF,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
一环路南一段24号四川大学望江校区,武侯区,[],[],[],成都市,[],B001C05KFS,[],"104.083142,30.630081",中国光大银行24小时自助银行(望江医院西南),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
大慈寺路79号,锦江区,[],[],3,成都市,[],B001C0AG7T,[],"104.082787,30.655724",中国光大银行24小时自助银行(成都分行),B001C03BBE,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
