address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
[],龙泉驿区,[],[],[],成都市,[],B0FFM1NUS6,[],"104.191355,30.576172",成都银行,[],[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
升平街与三叶街交叉路口东侧(大雁新居),双流区,[],[],[],成都市,[],B0FFMH166M,[],"103.953715,30.491976",成都银行,[],[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
玉堂镇铁军路216号,都江堰市,[],[],[],成都市,[],B0FFMH2BXF,[],"103.608800,30.961059",成都银行,[],[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
双桥路274号附12号观点理发店,成华区,[],[],[],成都市,[],B0FFKMSZGC,[],"104.098002,30.653832",成都银行,[],[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
[],成华区,[],[],[],成都市,[],B0HGPHS9RD,[],"104.124593,30.671176",成都银行,[],[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
大丰镇方营路537号,新都区,[],[],[],成都市,[],B0FFGHQRHM,[],"104.067975,30.762106",成都银行(达令港社区支行),[],[],四川省,[],[],2,028-83942243;028-83920340;4006896511,金融保险服务;银行;银行,160100
北京路57号,龙泉驿区,[],[],[],成都市,[],B0FFF1Z3WH,[],"104.244097,30.568718",成都银行(龙泉驿支行),[],[],四川省,[],[],2,028-84868178;028-84879851,金融保险服务;银行;银行,160100
西御街16号成都银行大厦,青羊区,[],[],[],成都市,[],B001C7WNJ7,[],"104.061515,30.656533",成都银行(西御支行),[],[],四川省,[],[],2,028-86160264;028-86160039,金融保险服务;银行;银行,160100
青年公苑(崇双旧线),崇州市,[],[],[],成都市,[],B0FFM1T4KN,[],"103.723634,30.585015",成都银行,[],[],四川省,[],[],2,[],金融保险服务;金融保险服务机构;金融保险机构,160000
凤凰大道790、792、794、796号,邛崃市,[],[],[],成都市,[],B0FFM6EDUS,[],"103.469622,30.400270",成都银行(邛崃凤凰大道支行),[],[],四川省,[],[],2,028-88771363,金融保险服务;银行;银行,160100
棠湖西路一段169号,双流区,[],[],[],成都市,[],B0FFJE4G5J,[],"103.917218,30.572938",成都银行(双流支行),[],[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
锦城大道541号盈创动力科技金融服务平台a座1层,武侯区,[],[],202,成都市,[],B0FFF00EHK,[],"104.061903,30.575169",成都银行(科技支行),B0FFF05LSW,[],四川省,[],[],2,028-85335068;028-85335069,金融保险服务;银行;银行,160100
尚锦路241号,郫都区,[],[],[],成都市,[],B001C8O0XK,[],"103.928967,30.780641",成都银行(红光支行),[],[],四川省,[],[],2,028-87955192,金融保险服务;银行;银行,160100
朝阳大道170号,蒲江县,[],[],[],成都市,[],B001C8MZU8,[],"103.517077,30.194293",成都银行(蒲江支行),[],[],四川省,[],[],2,028-88555588;028-88556813,金融保险服务;银行;银行,160100
