address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
通汇街114号,锦江区,[],[],[],成都市,[],B0GRD7HRFF,[],"104.116590,30.637577",兴业银行(中央城邦社区支行),[],[],四川省,[],[],2,028-86719271,金融保险服务;银行;兴业银行,160118
金枫路468号,龙泉驿区,[],[],[],成都市,[],B0G0PABX9R,[],"104.191341,30.573466",兴业银行(成都龙泉驿大面社区支行),[],[],四川省,[],[],2,[],金融保险服务;银行;兴业银行,160118
神仙树南路8号中海名城内商业街附35号,武侯区,[],[],[],成都市,[],B0FFKW5HJ8,[],"104.043903,30.614335",兴业银行(成都神仙树社区支行),[],[],四川省,[],[],2,[],金融保险服务;银行;兴业银行,160118
芙蓉西路428号,锦江区,[],[],[],成都市,[],B0FFK1YM75,[],"104.143923,30.607375",兴业银行(绿地468社区支行),[],[],四川省,[],[],2,[],金融保险服务;银行;兴业银行,160118
蜀金路131号,青羊区,[],[],[],成都市,[],B0FFFABQ8A,[],"104.005258,30.684154",兴业银行(成都金泽路社区支行),[],[],四川省,[],[],2,028-62375193;95561,金融保险服务;银行;兴业银行,160118
顺城大街206四川国际大厦4层,青羊区,[],[],3,成都市,[],B001C7VNY0,[],"104.071156,30.661045",兴业银行,B001C7WSAH,[],四川省,[],[],2,[],金融保险服务;银行;兴业银行,160118
提督街101号四川国际大厦1层,青羊区,[],[],3,成都市,[],B001C8OQUJ,[],"104.071934,30.660360",兴业银行(提督街支行),B001C7WSAH,[],四川省,[],[],2,95561,金融保险服务;银行;兴业银行,160118
青羊大道101号31栋1-2层,青羊区,[],[],[],成都市,[],B001C92DUT,[],"104.005814,30.669185",兴业银行(金沙支行),[],[],四川省,[],[],2,028-82841005;028-82841006,金融保险服务;银行;兴业银行,160118
蜀源路103号,青羊区,[],[],[],成都市,[],B0FFF5TBHB,[],"104.005581,30.679970",兴业银行(金沙云庭社区支行),[],[],四川省,[],[],2,028-81721390;95561,金融保险服务;银行;兴业银行,160118
敬业路129号,青羊区,[],[],[],成都市,[],B001C8OCGN,[],"103.958017,30.683535",兴业银行(青羊支行),[],[],四川省,[],[],2,028-61670097;028-61670030,金融保险服务;银行;兴业银行,160118
广福桥西街1号附17-附18号,武侯区,[],[],[],成都市,[],B0FFGFPM4T,[],"104.030822,30.641481",兴业银行(碧云路社区支行),[],[],四川省,[],[],2,028-85244197,金融保险服务;银行;兴业银行,160118
锦城大道1084号,武侯区,[],[],[],成都市,[],B0FFFZBTT7,[],"104.050838,30.575528",兴业银行(成都高新区支行),[],[],四川省,[],[],2,028-85321972;028-85322765,金融保险服务;银行;兴业银行,160118
灵龙路241-243号,龙泉驿区,[],[],[],成都市,[],B0FFFCOPQS,[],"104.176744,30.652150",兴业银行(龙泉十陵社区支行),[],[],四川省,[],[],2,95561,金融保险服务;银行;兴业银行,160118
菱安路335号,锦江区,[],[],[],成都市,[],B0FFFYN2NY,[],"104.117320,30.609129",兴业银行(成都狮子山街办社区支行),[],[],四川省,[],[],2,028-69264191,金融保险服务;银行;兴业银行,160118
西安路三段8号,双流区,[],[],[],成都市,[],B0FFJYGBPN,[],"103.913640,30.575531",兴业银行(双流支行),[],[],四川省,[],[],2,028-85899808,金融保险服务;银行;兴业银行,160118
纬六路与经一路交叉口东南50米,青羊区,[],[],[],成都市,[],B0FFIDY9GD,[],"103.965320,30.695093",兴业银行(盛畅园社区支行),[],[],四川省,[],[],2,95561,金融保险服务;银行;兴业银行,160118
毗河东路99附27,新都区,[],[],[],成都市,[],B0FFH9CUGQ,[],"104.149902,30.790414",兴业银行(社区支行),[],[],四川省,[],[],2,028-89399266;028-89399566,金融保险服务;银行;兴业银行,160118
顺和街10号附13号,武侯区,[],[],[],成都市,[],B0FFGCER5P,[],"104.002865,30.633346",兴业银行(中华名园社区支行),[],[],四川省,[],[],2,028-69264102;95561,金融保险服务;银行;兴业银行,160118
成都市郫都区学园路17号,郫都区,[],[],202,成都市,[],B0FFICQLES,[],"103.976207,30.757608",兴业银行(郫都区犀浦街道社区支行),B0FFJBB9M4,[],四川省,[],[],2,95561,金融保险服务;银行;兴业银行,160118
建业路44号,成华区,[],[],[],成都市,[],B0FFGDGTBK,[],"104.113407,30.671094",兴业银行(成都龙湖三千里社区支行),[],[],四川省,[],[],2,028-84376916,金融保险服务;银行;兴业银行,160118
通盈街48号,锦江区,[],[],[],成都市,[],B0FFGXB2MW,[],"104.103847,30.631728",兴业银行24小时自助银行(成都锦天府社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
蜀源路103号,青羊区,[],[],[],成都市,[],B0FFF5TBHA,[],"104.005643,30.679794",兴业银行24小时自助银行(兴业社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
小天北街39号附5-6号,武侯区,[],[],[],成都市,[],B0FFHGLFRB,[],"104.056946,30.635940",兴业银行(小天北街社区支行),[],[],四川省,[],[],2,028-85482742;95561,金融保险服务;银行;兴业银行,160118
永陵后巷8号,金牛区,[],[],[],成都市,[],B0FFFRLNLS,[],"104.049030,30.674919",兴业银行(锦城世家社区支行),[],[],四川省,[],[],2,95561,金融保险服务;银行;兴业银行,160118
提督街101号附3号,青羊区,[],[],3,成都市,[],B001C7VNXZ,[],"104.071961,30.660424",兴业银行ATM,B001C8OQUJ,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
成都市锦江区宏济新路84号,锦江区,[],[],[],成都市,[],B0HACAU7SY,[],"104.093373,30.640615",兴业银行(成都外滩社区支行),[],[],四川省,[],[],2,028-68939001;95561,金融保险服务;银行;兴业银行|金融保险服务;自动提款机;兴业银行ATM,160118|160315
通汇街114号,锦江区,[],[],[],成都市,[],B0GR3OLS10,[],"104.116590,30.637530",兴业银行ATM(中央城邦社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
金枫路472号,龙泉驿区,[],[],[],成都市,[],B0G2SSJMSW,[],"104.191355,30.573608",兴业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
西安路三段10,双流区,[],[],[],成都市,[],B0G11CF8J2,[],"103.913640,30.575531",兴业银行24小时自助银行(成都双流支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
华府大道一段,双流区,[],[],[],成都市,[],B0FFMDFRIB,[],"104.068271,30.526604",兴业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
金河路63号附15,青羊区,[],[],[],成都市,[],B0FFMANJUA,[],"104.053039,30.660528",兴业银行24小时自助银行(成都锦都社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
天府大道88号附近,郫都区,[],[],[],成都市,[],B0FFKWX1UV,[],"103.976173,30.757637",兴业银行24小时自助银行(犀浦街道社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
金泽路162号西南80米,青羊区,[],[],[],成都市,[],B0FFJKFPRK,[],"104.005191,30.684166",兴业银行24小时自助银行服务(成都金泽路社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
敬业路129号,青羊区,[],[],3,成都市,[],B001C8OA8H,[],"103.958017,30.683535",兴业银行24小时自助银行(青羊支行),B001C8OCGN,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
碧云路1号附17-附18号,武侯区,[],[],[],成都市,[],B0FFFABT65,[],"104.030858,30.641466",兴业银行24小时自助银行(成都碧云路社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
