address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
大悦路751号,武侯区,[],[],[],成都市,[],B0FFFPSWAS,[],"104.005015,30.629481",兴业银行24小时自助银行(成都置信丽都花园城社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
枫林路86-88,成华区,[],[],[],成都市,[],B0FFFCS3O1,[],"104.123259,30.671878",兴业银行ATM(红枫岭社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
阳光街34号,金牛区,[],[],[],成都市,[],B0FFFE1RQO,[],"103.980790,30.720892",兴业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
临港路三段58附8,双流区,[],[],[],成都市,[],B0FFFQ0KQL,[],"103.998318,30.569899",兴业银行24小时自助银行(双流空港晶座社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
华府大道一段864号,双流区,[],[],[],成都市,[],B0FFFODEYN,[],"104.051617,30.526902",兴业银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
建材路163、165、167号,龙泉驿区,[],[],[],成都市,[],B0FFFACW1A,[],"104.280293,30.569035",兴业银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
马超西路298号,新都区,[],[],[],成都市,[],B0FFFGUG91,[],"104.166123,30.813173",兴业银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
东升镇接待寺龙桥小区18栋,双流区,[],[],[],成都市,[],B001C8O2BG,[],"103.947142,30.593349",兴业银行ATM(龙桥小区东南),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
菱安路335号,锦江区,[],[],[],成都市,[],B0FFFGYOIC,[],"104.117293,30.609213",兴业银行ATM(菱安路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
新光路10号家乐福大世界店1楼,武侯区,[],[],[],成都市,[],B0FFF9VGVJ,[],"104.054699,30.614314",兴业银行ATM(紫竹中街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
世纪城路936烟草兴业大厦,武侯区,[],[],202,成都市,[],B001C8OAZV,[],"104.074013,30.555009",兴业银行24小时自助银行(成都分行营业部),B0FFFODS0A,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
华润路1号之附8-附9,锦江区,[],[],[],成都市,[],B0FFFABS5W,[],"104.089556,30.612297",兴业银行ATM(成都翡翠城社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
郫筒镇望东路117号,郫都区,[],[],3,成都市,[],B001C7ZXO2,[],"103.892005,30.798282",兴业银行24小时自助银行(郫都支行),B001C7ZXO1,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
青华路26号之附1-7,青羊区,[],[],3,成都市,[],B001C7UM1H,[],"104.028831,30.662853",兴业银行24小时自助银行(草堂支行),B001C7YQ8O,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
同善桥横街1号东方家园(裕金城店)附近,青羊区,[],[],[],成都市,[],B0FFF6PT22,[],"104.017550,30.680180",兴业银行ATM(成都同盛路社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
龙平路383号阳光香榭6号楼,龙泉驿区,[],[],3,成都市,[],B001C0A7JC,[],"104.262955,30.565614",兴业银行24小时自助银行(龙泉支行),B001C0A7JB,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
贝森路11号,青羊区,[],[],3,成都市,[],B001C8X7W5,[],"104.005842,30.669189",兴业银行24小时自助银行(金沙支行),B001C92DUT,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
小天北街39号附6号,武侯区,[],[],[],成都市,[],B0FFHGLGJ5,[],"104.056862,30.635992",兴业银行ATM(成都小天北街社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
群众路69号附4号,武侯区,[],[],[],成都市,[],B0FFFAAXCH,[],"104.082189,30.639124",兴业银行24小时自助银行(成都群众路社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
一环路南二段2,武侯区,[],[],3,成都市,[],B001C7WGUE,[],"104.075014,30.633404",兴业银行24小时自助银行(磨子桥支行),B001C02DA3,[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
三槐树路1号附8号,锦江区,[],[],[],成都市,[],B001C7WHY4,[],"104.092140,30.662092",兴业银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
石牛堰街35号,锦江区,[],[],[],成都市,[],B0FFFABPN4,[],"104.093149,30.625536",兴业银行24小时自助银行(成都橡树林社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
府青路一段3号附26-27,成华区,[],[],[],成都市,[],B0FFHGLUP1,[],"104.092714,30.673436",兴业银行ATM(府青路一段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
棕树东街与棕树北街交叉口西50米,武侯区,[],[],[],成都市,[],B0FFGDCK40,[],"104.075002,30.615009",兴业银行24小时自助银行(锦官秀城社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
天顺路224号,武侯区,[],[],[],成都市,[],B0FFF906VU,[],"104.071231,30.594154",兴业银行24小时自助银行(成都天府长城社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
沙湾路61号附4号,金牛区,[],[],[],成都市,[],B0FFICNXG4,[],"104.051218,30.690046",兴业银行24小时自助银行(成都金牛支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
广巍路二段19号附近,双流区,[],[],[],成都市,[],B0FFGFP8ID,[],"103.939842,30.597217",兴业银行ATM(广巍路二段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
万象南路与锦城大道交叉口东100米,武侯区,[],[],[],成都市,[],B0FFIIU3DK,[],"104.051120,30.575600",兴业银行24小时自助银行(天府世家社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
武侯立交旁大悦路751号,武侯区,[],[],[],成都市,[],B0FFGCEQZG,[],"104.005002,30.629406",兴业银行(置信丽都花园城社区支行)(装修中),[],[],四川省,[],[],2,[],金融保险服务;银行;兴业银行,160118
麓山大道二段18号麓镇西路5号,双流区,[],[],[],成都市,[],B0FFGAI3O8,[],"104.093009,30.482061",兴业银行(麓山国际社区支行)(装修中),[],[],四川省,[],[],2,028-64545015,金融保险服务;银行;兴业银行,160118
银杏路57号,新都区,[],[],[],成都市,[],B0FFFE3YH4,[],"104.147703,30.752356",兴业银行24小时自助银行(装修中),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;兴业银行ATM,160315
