address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
肖家村二巷67-81号,金牛区,[],[],[],成都市,[],B0FFF2EIHC,[],"104.075805,30.688316",中信银行(成都人民北路支行),[],[],四川省,[],[],2,028-62563378;028-62563363,金融保险服务;银行;中信银行,160111
大石西路259号(清水河大桥旁),武侯区,[],[],[],成都市,[],B001C7WFQI,[],"104.023700,30.651300",中信银行(成都双楠支行),[],[],四川省,[],[],2,028-87018275;028-85958772,金融保险服务;银行;中信银行,160111
沙湾东二路1号智业世纪加州A座,金牛区,[],[],202,成都市,[],B001C80J9B,[],"104.051411,30.689668",中信银行(成都金牛支行),B001C8W9WT,[],四川省,[],[],2,028-87670385;028-87670571;95558,金融保险服务;银行;中信银行,160111
福锦路一段598-600号,武侯区,[],[],[],成都市,[],B0FFFYKF3Q,[],"103.988001,30.619035",中信银行(万兴路支行),[],[],四川省,[],[],2,95558,金融保险服务;银行;中信银行,160111
光华大道瑞联路52号天合凯旋城,青羊区,[],[],[],成都市,[],B001C7WR6T,[],"104.002851,30.665925",中信银行(成都光华支行),[],[],四川省,[],[],2,028-85251981;028-85259336,金融保险服务;银行;银行,160100
领事馆路7号附2号-附5号,武侯区,[],[],202,成都市,[],B001C8VJO5,[],"104.069729,30.624776",中信银行(成都领事馆路支行),B0FFGDWML8,[],四川省,[],[],2,028-69085886;028-69085899;95558,金融保险服务;银行;中信银行,160111
迎宾大道299号,金牛区,[],[],[],成都市,[],B001C93JF9,[],"104.008334,30.709673",中信银行(成都迎宾大道支行),[],[],四川省,[],[],2,028-87509753,金融保险服务;银行;中信银行,160111
二环路东二段8号附5-12号,成华区,[],[],[],成都市,[],B001C8MGC9,[],"104.110661,30.668737",中信银行(成都建设路支行),[],[],四川省,[],[],2,028-61303611;028-61303137,金融保险服务;银行;中信银行,160111
天府二街266号富润国际广场1层,武侯区,[],[],202,成都市,[],B0FFFOD93T,[],"104.061278,30.551754",中信银行(天府支行),B001C8R92A,[],四川省,[],[],2,028-83167872,金融保险服务;银行;中信银行,160111
人民南路四段47号附2号,武侯区,[],[],[],成都市,[],B001C7VS4K,[],"104.067680,30.614830",中信银行(成都锦绣支行),[],[],四川省,[],[],2,028-85357876;028-85258805,金融保险服务;银行;中信银行,160111
[],武侯区,[],[],202,成都市,[],B001C80JFV,[],"104.064453,30.574678",中信银行(成都分行营业部),B001C8TY33,[],四川省,[],[],2,028-65338885,金融保险服务;银行;中信银行,160111
世纪城路208号假日酒店成都世纪城西楼1层,武侯区,[],[],[],成都市,[],B001C8086B,[],"104.074058,30.557518",中信银行(世纪城支行),[],[],四川省,[],[],2,028-85330615;028-85330616,金融保险服务;银行;中信银行,160111
火车南站街道长华路72号(安德鲁森旁),武侯区,[],[],[],成都市,[],B0FFGIFAJ6,[],"104.083635,30.611979",中信银行(长华路社区银行),[],[],四川省,[],[],2,028-69857532;95558,金融保险服务;银行;中信银行,160111
龙都南路113号,龙泉驿区,[],[],[],成都市,[],B001C8NQ2W,[],"104.262176,30.567213",中信银行(经济技术开发区支行),[],[],四川省,[],[],2,028-88490526;028-84825668,金融保险服务;银行;中信银行,160111
双成三路与双福二路交叉口东南100米,成华区,[],[],[],成都市,[],B0FFGCET75,[],"104.119009,30.644000",中信银行(成华支行),[],[],四川省,[],[],2,028-62127027,金融保险服务;银行;中信银行,160111
马超东路559号附14,新都区,[],[],[],成都市,[],B001C8O1WV,[],"104.188938,30.806781",中信银行(成都新都支行),[],[],四川省,[],[],2,028-67366810;028-67366812;95558,金融保险服务;银行;中信银行,160111
天顺路特拉克斯国际广场B座1层(近高新孵化园),武侯区,[],[],[],成都市,[],B001C8MZP6,[],"104.070591,30.591828",中信银行(成都高新支行),[],[],四川省,[],[],2,028-61550886;028-61550868;95558,金融保险服务;银行;中信银行,160111
望丛中路736号,郫都区,[],[],[],成都市,[],B0FFI94JDR,[],"103.889448,30.799458",中信银行(成都郫都支行),[],[],四川省,[],[],2,028-68494020,金融保险服务;银行;中信银行,160111
紫荆北路3号附1号,武侯区,[],[],[],成都市,[],B001C7WHFW,[],"104.053165,30.618927",中信银行(成都紫荆支行),[],[],四川省,[],[],2,028-85175095;028-85178173,金融保险服务;银行;中信银行,160111
二环路东二段8号附5-12号,成华区,[],[],3,成都市,[],B001C8OME6,[],"104.110654,30.668752",中信银行24小时自助银行(建设路支行),B001C8MGC9,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
东城根上街95成都证券大厦1层,青羊区,[],[],[],成都市,[],B001C06CMT,[],"104.060364,30.662308",中信银行(成都东城根街支行),[],[],四川省,[],[],2,028-86253888;028-86269498,金融保险服务;银行;银行,160100
武成大街2号附3-5,锦江区,[],[],[],成都市,[],B001C0AHW8,[],"104.090820,30.658139",中信银行(成都武成支行),[],[],四川省,[],[],2,028-86787599;028-86789398,金融保险服务;银行;中信银行,160111
人民南路四段12号,武侯区,[],[],[],成都市,[],B0G0HZGRO8,[],"104.066214,30.628036",中信银行(成都人民南路支行),[],[],四川省,[],[],2,028-85450406;028-85455161,金融保险服务;银行;中信银行,160111
青华路59号附1-5号,青羊区,[],[],3,成都市,[],B001C7YPOD,[],"104.022518,30.661943",中信银行24小时自助银行(草堂支行),B001C7YLBV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
