address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
玉林南街1号-附18附近,武侯区,[],[],[],成都市,[],B0GUK7FFGW,[],"104.062534,30.624081",中信银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
[],武侯区,[],[],[],成都市,[],B0G0Z5YS24,[],"104.066211,30.628152",中信银行24小时自助银行(人民南路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
西源大道(四川大学锦城学院),郫都区,[],[],[],成都市,[],B0FFL821DX,[],"103.948211,30.724671",中信银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
锦晖西一街8号,武侯区,[],[],[],成都市,[],B0FFL30K85,[],"104.067071,30.586475",中信银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
湖畔路北段317号,双流区,[],[],[],成都市,[],B0FFKZI4R6,[],"104.079598,30.403692",中信银行24小时自助银行(成都自贸区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
金阳路176号,青羊区,[],[],[],成都市,[],B0FFFSDYTV,[],"104.003773,30.680691",中信银行24小时自助银行(成都金沙支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
桂水路417号,新都区,[],[],[],成都市,[],B0FFGCIC45,[],"104.173782,30.813336",中信银行24小时自助银行(桂水路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
盛华北路276号,武侯区,[],[],[],成都市,[],B0FFFODRVN,[],"104.052950,30.555095",中信银行24小时自助银行(盛华北路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
天府二街266号四川富润国际广场1层,武侯区,[],[],202,成都市,[],B0FFFOD93R,[],"104.061259,30.551724",中信银行24小时自助银行(天府支行),B001C8R92A,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
天府大道北段1480号拉德方斯大厦,武侯区,[],[],202,成都市,[],B001C8VK0L,[],"104.064548,30.574751",中信银行24小时自助银行(成都分行营业部),B001C8TY33,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
电视塔路三段32号,双流区,[],[],[],成都市,[],B0FFFAAXTT,[],"103.912923,30.566451",中信银行24小时自助银行(电视塔路三段),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
望丛中路736号,郫都区,[],[],[],成都市,[],B0FFIIT9BM,[],"103.889493,30.799465",中信银行24小时自助银行(郫都支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
顺路111特拉克斯广场B座,武侯区,[],[],3,成都市,[],B001C8MR28,[],"104.070570,30.591840",中信银行24小时自助银行(成都高新支行),B001C8MZP6,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
马超东路559号附10-附15,新都区,[],[],3,成都市,[],B001C8O0UW,[],"104.189061,30.806782",中信银行24小时自助银行(成都新都支行),B001C8O1WV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
福锦路一段598-600号,武侯区,[],[],[],成都市,[],B0FFIIJ0FC,[],"103.988210,30.618889",中信银行24小时自助银行(万兴路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
世纪城路208号假日酒店成都世纪城西楼1层,武侯区,[],[],3,成都市,[],B001C8MQ1I,[],"104.073615,30.557260",中信银行24小时自助银行(成都世纪城支行),B001C8086B,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
绿茵街11号,金牛区,[],[],[],成都市,[],B001C90TC8,[],"103.977778,30.724131",中信银行24小时自助银行(西区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
天府二街1290号,武侯区,[],[],[],成都市,[],B0FFF905AY,[],"104.038915,30.551605",中信银行24小时自助银行(建发·鹭公馆西北),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
大石西路259号,武侯区,[],[],3,成都市,[],B001C7WFQJ,[],"104.023739,30.651383",中信银行24小时自助银行(成都双楠支行),B001C7WFQI,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
龙泉镇龙都南路113号,龙泉驿区,[],[],3,成都市,[],B001C8NOM7,[],"104.262330,30.567245",中信银行24小时自助银行(成都经济技术开发区支行),B001C8NQ2W,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
双成三路16号附52号,成华区,[],[],[],成都市,[],B0FFHBVV1Q,[],"104.119278,30.643868",中信银行24小时自助银行(成华支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
清江中路35西南财经大学光华校区四食堂门口右侧,青羊区,[],[],[],成都市,[],B001C80P8P,[],"104.011414,30.669113",中信银行24小时自助银行(光华馨地东),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
凤溪大道北段501-511号,温江区,[],[],3,成都市,[],B001C7U5JJ,[],"103.829221,30.698260",中信银行24小时自助银行(温江支行),B001C7U5JI,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
蜀汉路522号附2号,金牛区,[],[],3,成都市,[],B001C7WBWE,[],"104.014236,30.692289",中信银行24小时自助银行(成都蜀汉支行),B001C7WR6V,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
东城根上街95号,青羊区,[],[],3,成都市,[],B001C7UM4L,[],"104.060278,30.662100",中信银行24小时自助银行(东城根街支行),B001C06CMT,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
迎宾大道299号,金牛区,[],[],[],成都市,[],B001C93JFA,[],"104.008457,30.709408",中信银行24小时自助银行(迎宾大道支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
沙湾东二路1号智业世纪加州A座,金牛区,[],[],202,成都市,[],B001C7YPHU,[],"104.051550,30.689718",中信银行24小时自助银行(成都金牛支行),B001C8W9WT,[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
万和北路120号附近,新都区,[],[],[],成都市,[],B0FFFGNBBF,[],"104.188288,30.814694",中信银行24小时自助银行(旺府豪庭西北),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中信银行ATM,160308
