address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
瑞联西路83号,青羊区,[],[],[],成都市,[],B0FFGFTMC9,[],"103.960764,30.685152",招商银行(青羊工业园支行),[],[],四川省,[],[],2,028-64233317,金融保险服务;银行;招商银行,160109
科华南路9号,武侯区,[],[],[],成都市,[],B0FFIXLW8O,[],"104.078009,30.607883",招商银行(成都火车南站东路支行),[],[],四川省,[],[],2,028-85238811,金融保险服务;银行;招商银行,160109
益州大道中段555号星宸国际中心A座一楼,武侯区,[],[],[],成都市,[],B0G2RHIBRK,[],"104.057200,30.558536",招商银行(星宸国际支行),[],[],四川省,[],[],2,028-65474817;028-62070638,金融保险服务;银行;银行,160100
肖家村二巷和肖二南巷的交叉口附近,金牛区,[],[],[],成都市,[],B0FFF3VJI2,[],"104.074666,30.688361",招商银行(金牛万达广场支行),[],[],四川省,[],[],2,028-83216500,金融保险服务;银行;招商银行,160109
玉双路9号,成华区,[],[],[],成都市,[],B001C8OJPE,[],"104.092980,30.656624",招商银行(成都玉双路支行),[],[],四川省,[],[],2,028-84320870,金融保险服务;银行;招商银行,160109
天顺路116号,武侯区,[],[],[],成都市,[],B001C8MR1G,[],"104.071211,30.591155",招商银行(成都天顺路支行),[],[],四川省,[],[],2,028-85358599,金融保险服务;银行;招商银行,160109
光华南三路88号,青羊区,[],[],[],成都市,[],B0FFFZL2JT,[],"103.963533,30.668079",招商银行(光华南三路支行),[],[],四川省,[],[],2,028-81729836,金融保险服务;银行;招商银行,160109
龙华南路147号,武侯区,[],[],[],成都市,[],B001C7WQO1,[],"104.013382,30.644140",招商银行(成都鹭岛支行),[],[],四川省,[],[],2,028-87060769;028-87060750;028-87060760,金融保险服务;银行;银行,160100
升华路131号,武侯区,[],[],[],成都市,[],B001C8R9BC,[],"104.066255,30.546159",招商银行(成都天府大道支行),[],[],四川省,[],[],2,028-85323265,金融保险服务;银行;招商银行,160109
双福二路41号,成华区,[],[],[],成都市,[],B0FFL52ZDG,[],"104.119165,30.644541",招商银行(成都华润二十四城支行),[],[],四川省,[],[],2,028-84113970,金融保险服务;银行;招商银行,160109
蜀汉路520号附11-14号,金牛区,[],[],[],成都市,[],B0FFKPW260,[],"104.014767,30.691647",招商银行成都羊犀支行,[],[],四川省,[],[],2,028-87733613;95555,金融保险服务;银行;银行,160100
双楠路288号置信广场内(近人人乐),武侯区,[],[],[],成都市,[],B001C7VQL4,[],"104.027749,30.645423",招商银行(成都双楠支行),[],[],四川省,[],[],2,028-85078787;95555,金融保险服务;银行;招商银行,160109
芷泉段6号1号楼1层4号和2层4号(民政厅对面),锦江区,[],[],[],成都市,[],B0FFGXAA74,[],"104.086893,30.648052",招商银行(成都东大街支行),[],[],四川省,[],[],2,028-81132219;028-81132316,金融保险服务;银行;招商银行,160109
