address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
红照壁街27号百川大厦B座,锦江区,[],[],202,成都市,[],B001C0AECJ,[],"104.064680,30.652260",招商银行24小时自助银行(锦江支行),B0FFFZJGI5,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
顺城大街248号附1-5号,青羊区,[],[],3,成都市,[],B001C0AECG,[],"104.071597,30.663560",招商银行24小时自助银行(顺城大街支行),B001C0AECF,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
新希望路6号附2号时代阳光花园,武侯区,[],[],3,成都市,[],B001C7WQNX,[],"104.072334,30.615999",招商银行24小时自助银行(锦官城支行),B001C7WQNY,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
一环路北一段279号,金牛区,[],[],[],成都市,[],B0FFH9A3KY,[],"104.058228,30.685360",招商银行24小时自助银行(西体北路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
天顺路102-118,武侯区,[],[],3,成都市,[],B001C8MR1H,[],"104.071236,30.591115",招商银行24小时自助银行(天顺路支行),B001C8MR1G,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
北东街15附近,青羊区,[],[],[],成都市,[],B001C7UB08,[],"104.077303,30.671780",招商银行24小时自助银行(北东街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
府城大道中段88号九方购物中心L1层,武侯区,[],[],201,成都市,[],B0FFI4H370,[],"104.064880,30.590785",招商银行24小时自助银行(府城大道支行),B001C8OMLC,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
肖家村二巷41附近,金牛区,[],[],[],成都市,[],B0FFFDZ5JL,[],"104.074837,30.688327",招商银行24小时自助银行(万达广场支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
人民南路4段1号时代数码大厦B座,武侯区,[],[],202,成都市,[],B001C7WG88,[],"104.067643,30.633226",招商银行24小时自助银行(一环路南二段),B001C7WSDK,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
置信路27云影苑12栋56号,武侯区,[],[],202,成都市,[],B001C7TIFP,[],"104.017978,30.647619",招商银行24小时自助银行(置信路),B001C8UHU3,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
总府路2号百盛购物中心(四川时代店)F1层,锦江区,[],[],201,成都市,[],B0FFF5W23O,[],"104.080092,30.656252",招商银行ATM(百盛购物中心),B001C7UN1N,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
平福路151号附1号,金牛区,[],[],[],成都市,[],B001C05A5G,[],"104.090758,30.682873",招商银行24小时自助银行(三友路)(装修中),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
火车南站东路34号,武侯区,[],[],3,成都市,[],B001C8MQPS,[],"104.078095,30.607977",招商银行24小时自助银行(火车南站东路支行)(暂停营业),B001C7Y9QV,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
金凤路8号附76-79号,青羊区,[],[],3,成都市,[],B001C7WQNW,[],"104.007662,30.677534",招商银行24小时自助银行(金沙支行)(暂停营业),B001C7WQNV,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
紫竹北街94号,武侯区,[],[],3,成都市,[],B001C7WHEC,[],"104.057285,30.616562",招商银行24小时自助银行(成都高新支行)(装修中),B001C7WHEB,[],四川省,[],[],2,[],金融保险服务;自动提款机;招商银行ATM,160306
