address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
郫筒镇鹃兴路114号,郫都区,[],[],[],成都市,[],B001C8O343,[],"103.895983,30.815410",华夏银行(郫都区支行),[],[],四川省,[],[],2,028-61776916;028-81492635;028-61776979,金融保险服务;银行;华夏银行,160110
大石西路18号附15号,青羊区,[],[],[],成都市,[],B0FFHJR0M6,[],"104.035769,30.651049",华夏银行(青羊支行),[],[],四川省,[],[],2,028-87056123,金融保险服务;银行;华夏银行,160110
营门口街道营门口路251号民光商厦,金牛区,[],[],202,成都市,[],B0FFGYQVHU,[],"104.041137,30.686941",华夏银行(成都金牛支行),B001C7WMPD,[],四川省,[],[],2,028-87799176,金融保险服务;银行;华夏银行,160110
天府二街南华路1560号5栋1层,武侯区,[],[],[],成都市,[],B0FFKK3ZPZ,[],"104.037521,30.550599",华夏银行(成都高新支行),[],[],四川省,[],[],2,028-85182192;028-85182182,金融保险服务;银行;华夏银行,160110
永安路299号锦江之春B座1层,锦江区,[],[],202,成都市,[],B0FFH5X0AL,[],"104.084970,30.586377",华夏银行(成都分行),B0FFGAK3GU,[],四川省,[],[],2,028-86029222,金融保险服务;银行;华夏银行,160110
北泉路852号,龙泉驿区,[],[],[],成都市,[],B0FFGXA5E2,[],"104.243211,30.571023",华夏银行(龙泉驿支行),[],[],四川省,[],[],2,028-61432483;028-84828443;95577,金融保险服务;银行;华夏银行,160110
人民北路肖家村三巷35号,金牛区,[],[],[],成都市,[],B0FFI9MTTD,[],"104.074926,30.690092",华夏银行(万达社区支行),[],[],四川省,[],[],2,028-83517931,金融保险服务;银行;华夏银行,160110
府青路二段18号新1号沙河新城16栋1楼14号,成华区,[],[],[],成都市,[],B0FFFZBTHW,[],"104.100465,30.684198",华夏银行(成都成华支行),[],[],四川省,[],[],2,028-83136206;028-83130248;95577,金融保险服务;银行;华夏银行,160110
紫荆东路76号,武侯区,[],[],[],成都市,[],B0FFFZIGFE,[],"104.052771,30.614915",华夏银行(成都紫荆东路社区支行),[],[],四川省,[],[],2,95577,金融保险服务;银行;华夏银行,160110
桂湖东路214号,新都区,[],[],[],成都市,[],B0FFI7VUK9,[],"104.170686,30.823465",华夏银行(新都支行),[],[],四川省,[],[],2,028-83059421,金融保险服务;银行;华夏银行,160110
天府大道南段872号,双流区,[],[],[],成都市,[],B0FFFR5KB0,[],"104.069025,30.515013",华夏银行(成都天府新区支行),[],[],四川省,[],[],2,028-84267967;028-84267601,金融保险服务;银行;华夏银行,160110
蜀西路20号附8号,金牛区,[],[],[],成都市,[],B001C8RA2J,[],"104.003305,30.705223",华夏银行(成都蜀汉支行),[],[],四川省,[],[],2,028-62066325;028-62066367,金融保险服务;银行;华夏银行,160110
金府路833号鸿盛商务大厦1号楼,金牛区,[],[],[],成都市,[],B001C8P67C,[],"104.044408,30.717748",华夏银行(金府支行),[],[],四川省,[],[],2,028-61990577;028-61990706,金融保险服务;银行;华夏银行,160110
青白江大道2666号青龙国际建材城44栋1-2层,青白江区,[],[],202,成都市,[],B0FFFEN15Y,[],"104.291467,30.846961",华夏银行(青白江支行),B0FFK7OTBC,[],四川省,[],[],2,028-83690020,金融保险服务;银行;华夏银行,160110
西航港街道成都华丰食品城502幢,双流区,[],[],[],成都市,[],B0FFFT5C9N,[],"104.017232,30.560678",华夏银行(华丰食品城社区支行),[],[],四川省,[],[],2,028-85688440,金融保险服务;银行;华夏银行,160110
