address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
湖滨路268号,新都区,[],[],[],成都市,[],B001C92AE7,[],"104.159072,30.817700",中国工商银行24小时自助银行(湖滨路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
黄田坝高坎村三组310号,青羊区,[],[],[],成都市,[],B0FFGSRK37,[],"103.950105,30.707951",中国工商银行自助银行(成都草市川大华西卫校),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
二环路北一段85号附20-26号,金牛区,[],[],3,成都市,[],B001C80FA3,[],"104.044644,30.694021",中国工商银行24小时自助银行(成都二环路北一段支行),B001C80FA2,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
广场路北一段114-122,金牛区,[],[],3,成都市,[],B001C8R8FK,[],"103.950620,30.780970",中国工商银行24小时自助银行,B001C8R8FH,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
犀浦街道兴业街南段118号,郫都区,[],[],3,成都市,[],B001C0AFV8,[],"103.971172,30.749403",中国工商银行24小时自助银行(创业路支行),B001C0AFV7,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
中和大道中段99号卡斯摩广场19栋1楼,双流区,[],[],[],成都市,[],B0FFFEAYTL,[],"104.085877,30.548464",中国工商银行24小时自助银行(成都高新中和大道二段自助银行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
橡树林路90号,锦江区,[],[],[],成都市,[],B001C8P7N3,[],"104.093104,30.623857",中国工商银行24小时自助银行(橡树林路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
西南市街113号,彭州市,[],[],[],成都市,[],B0FFFGLQOR,[],"103.939113,30.982044",中国工商银行24小时自助银行(西南市街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
滨江路一段29号现代商住小区31-32号,金堂县,[],[],3,成都市,[],B001C80KKM,[],"104.428819,30.849178",中国工商银行24小时自助银行(滨江路支行),B001C0AFU8,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
鹭岛路15-19号,武侯区,[],[],3,成都市,[],B001C7XYTT,[],"104.012620,30.644930",中国工商银行24小时自助银行(鹭岛支行),B001C7VRB9,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
广场路,简阳市,[],[],[],成都市,[],B0340012GP,[],"104.541958,30.384473",中国工商银行24小时自助银行(阳晨分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
罗家碾街31号1幢,青羊区,[],[],[],成都市,[],B0FFGCBKIO,[],"104.029308,30.674691",中国工商银行24小时自助银行(大庆路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
建设北路三段289号附13-附19号,成华区,[],[],3,成都市,[],B001C7WQWH,[],"104.124163,30.680250",中国工商银行24小时自助银行(成都二仙桥支行),B0FFF3Z3FY,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
建设北路二段4号电子科技大学沙河校区内,成华区,[],[],[],成都市,[],B0FFG34VFA,[],"104.099779,30.677408",中国工商银行ATM(学生公寓13栋西南),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
五津西路133号,新津区,[],[],[],成都市,[],B001C8R8AX,[],"103.806237,30.415249",中国工商银行24小时自助银行(惠安路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
槐树街51号附6-8号,青羊区,[],[],3,成都市,[],B001C7YQ9V,[],"104.052261,30.670173",中国工商银行24小时自助银行(春熙支行),B001C7YQ9U,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
科园南路93临附近,武侯区,[],[],[],成都市,[],B0FFFPU0VX,[],"104.030479,30.616029",中国工商银行ATM(科园南路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
金福路140号附近,青羊区,[],[],[],成都市,[],B0FFFDXCTB,[],"103.974601,30.688980",中国工商银行24小时自助银行(清河分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
南三环路五段188号美洲花园101栋1层8号,武侯区,[],[],[],成都市,[],B001C94OZN,[],"104.038032,30.600823",中国工商银行24小时自助银行(美洲北路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
