address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
南大街与文庙巷交叉口东50米,郫都区,[],[],[],成都市,[],B0FFI79L1U,[],"103.886346,30.808650",中国工商银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
书院街214号,郫都区,[],[],[],成都市,[],B0FFGCFC2R,[],"103.887514,30.804135",中国工商银行24小时自助银行(书院街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
吉泰路598附近,武侯区,[],[],[],成都市,[],B0FFFODOGK,[],"104.064630,30.546617",中国工商银行24小时自助银行(天府三街支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
天乙街265-267号,都江堰市,[],[],[],成都市,[],B001C8QD81,[],"103.619629,30.989365",中国工商银行24小时自助银行(蒲阳路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
天府大道北段18号,武侯区,[],[],[],成都市,[],B001C8O8H1,[],"104.065264,30.592744",中国工商银行24小时自助银行(天府大道支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
都江堰大道132号附2-3,都江堰市,[],[],3,成都市,[],B001C7ZWO1,[],"103.638883,30.989325",中国工商银行24小时自助银行(都江堰东门支行),B001C7ZWO0,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
赞元街113-115号,温江区,[],[],[],成都市,[],B001C7Y42N,[],"103.839233,30.696685",中国工商银行ATM,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
郫筒镇南大街159号,郫都区,[],[],[],成都市,[],B001C0AFYG,[],"103.884069,30.807548",中国工商银行24小时自助银行(望丛分理处),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
二环路北三段388号,金牛区,[],[],202,成都市,[],B001C7WQWJ,[],"104.078764,30.693870",中国工商银行ATM,B001C03D32,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
成都航天医院第一住院楼,龙泉驿区,[],[],[],成都市,[],B0FFHN2B43,[],"104.263062,30.546877",中国工商银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
东街124号,大邑县,[],[],3,成都市,[],B001C8NQVV,[],"103.525678,30.586621",中国工商银行24小时自助银行(大邑支行),B001C8NQCX,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
华金大道二段269-273号,青白江区,[],[],3,成都市,[],B001C7VRAT,[],"104.262426,30.883567",中国工商银行24小时自助银行(华金大道支行),B001C0AFWG,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
大件路文星段168号西南民族大学双流校区,双流区,[],[],[],成都市,[],B0FFFA5LB0,[],"103.967327,30.563480",中国工商银行ATM(红杏大道),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
金彭西路361-363号1层,彭州市,[],[],[],成都市,[],B0FFIITL5N,[],"103.933163,30.987856",中国工商银行24小时自助银行(金彭西路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
航天路106附近,温江区,[],[],[],成都市,[],B0FFFACTOQ,[],"103.841320,30.692479",中国工商银行24小时自助银行(航天路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
机场路成都双流国际机场3F层,双流区,[],[],201,成都市,[],B0FFGF9I8K,[],"103.954672,30.567510",中国工商银行ATM(成都双流国际机场),B001C06GIA,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
花园街118号,简阳市,[],[],[],成都市,[],B0FFIAXDIQ,[],"104.546286,30.389525",中国工商银行24小时自助银行(成都简阳简城镇花园街),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
武阳中路35号附10,新津区,[],[],3,成都市,[],B001C7YQF5,[],"103.812829,30.411144",中国工商银行24小时自助银行(武阳路支行),B001C7YQF4,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
昭觉寺横路99号附7-9号,成华区,[],[],3,成都市,[],B001C7YQ16,[],"104.105408,30.701268",中国工商银行24小时自助银行(成都昭觉横街分理处),B001C7YQ15,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
二环路东五段5号,锦江区,[],[],3,成都市,[],B001C7WGP5,[],"104.098991,30.626603",中国工商银行24小时自助银行(龙舟路支行),B001C05HRY,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
蜀辉路1-7号,青羊区,[],[],[],成都市,[],B001C80DV6,[],"103.997188,30.677664",中国工商银行(蜀辉路分理处)(装修中),[],[],四川省,[],[],2,028-61967239;028-61967029,金融保险服务;银行;中国工商银行,160105
青龙街25号附1号,青羊区,[],[],3,成都市,[],B001C7WQVW,[],"104.064894,30.669714",中国工商银行24小时自助银行(青龙支行营业室)(装修中),B001C7WQVV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
长安大道522号附16-附20,邛崃市,[],[],3,成都市,[],B001C8O36O,[],"103.477581,30.402977",中国工商银行24小时自助银行(长安大道支行)(暂停营业),B001C8NZVQ,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
建设北路一段76号,成华区,[],[],3,成都市,[],B001C0AFZD,[],"104.090671,30.670328",中国工商银行24小时自助银行(成都游乐园支行)(暂停营业),B001C0AFZC,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
一环路西三段129号,金牛区,[],[],[],成都市,[],B001C929X8,[],"104.041947,30.677563",中国工商银行24小时自助银行(一环路西三段)(装修中),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
港通北三路1899号成都工贸职业技术学院,郫都区,[],[],[],成都市,[],B0FFGLE5ZQ,[],"103.959859,30.791798",中国工商银行24小时自助银行(广场路北三段)(暂停营业),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
桂湖西路32-34号,新都区,[],[],3,成都市,[],B001C0AFW7,[],"104.154666,30.822937",中国工商银行24小时自助银行(桂湖西路支行)(暂停营业),B001C0AFW6,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
锦里西路96号附1-附3,青羊区,[],[],3,成都市,[],B001C7WQW5,[],"104.046061,30.656431",中国工商银行24小时自助银行(西较场支行)(装修中),B001C7VR9U,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
三环路东二段华泰路33号,成华区,[],[],3,成都市,[],B001C8OE6U,[],"104.167223,30.692153",中国工商银行24小时自助银行(龙潭工业园区支行)(装修中),B001C8OFA3,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
赵镇十里大道一段339号,金堂县,[],[],[],成都市,[],B001C8R94A,[],"104.421718,30.856911",中国工商银行24小时自助银行(金堂支行营业部)(装修中),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
清江东路122号附2-5号,青羊区,[],[],3,成都市,[],B001C7YPKJ,[],"104.033851,30.668449",中国工商银行24小时自助银行(罗家碾支行)(装修中),B001C080T9,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
东明街2,双流区,[],[],3,成都市,[],B001C7YO3Z,[],"103.925316,30.573870",中国工商银行24小时自助银行(双流支行)(装修中),B001C7VR9W,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国工商银行ATM,160302
