address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
蒲阳路321-331号,都江堰市,[],[],[],成都市,[],B0FFFAB0F9,[],"103.630088,31.002086",中国邮政储蓄银行24小时自助银行(蒲阳路营业所),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
公园路一段146号,龙泉驿区,[],[],[],成都市,[],B0FFFABZFU,[],"104.278107,30.562792",中国邮政储蓄银行24小时自助银行(文明街营业所),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
双九路233号,双流区,[],[],[],成都市,[],B001C959GF,[],"103.914869,30.609122",中国邮政储蓄银行ATM(双九路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
大面惠王陵东路455号、457号、459号、461号,龙泉驿区,[],[],3,成都市,[],B001C7UUHW,[],"104.156009,30.615241",中国邮政储蓄银行24小时自助银行(洪河镇支行),B001C7UUHV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
北大街107-109号,彭州市,[],[],3,成都市,[],B0FFGIPVRD,[],"103.942032,30.986420",中国邮政储蓄银行24小时自助银行(北大街支行),B001C8078V,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
正源路100号,新津区,[],[],[],成都市,[],B001C8VEZ8,[],"103.884097,30.484937",中国邮政储蓄银行24小时自助银行(开元营业所),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
兴贤街99号,邛崃市,[],[],[],成都市,[],B001C8VJUS,[],"103.463298,30.406968",中国邮政储蓄银行24小时自助银行(邛崃市支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
解放路一段192号,金牛区,[],[],[],成都市,[],B0FFGYNCG7,[],"104.089590,30.692674",中国邮政储蓄银行24小时自助银行(解放路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
成白路98号,双流区,[],[],3,成都市,[],B001C8MQAT,[],"104.020254,30.564413",中国邮政储蓄银行24小时自助银行(成白路支行),B001C80VH2,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
黄河南路2段43,双流区,[],[],[],成都市,[],B0FFFODBHX,[],"104.010753,30.551111",中国邮政储蓄银行24小时自助银行(白家营业所),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
董家湾北街3号附16-18号,武侯区,[],[],3,成都市,[],B001C80RNI,[],"104.030024,30.631785",中国邮政储蓄银行24小时自助银行(董家湾支行),B001C8MQPP,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
机投镇草金南路24号,武侯区,[],[],3,成都市,[],B001C8O8TX,[],"103.979684,30.647466",中国邮政储蓄银行24小时自助银行(机投镇支行),B001C8O9KR,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
榕声路135号,锦江区,[],[],[],成都市,[],B001C90RMX,[],"104.096545,30.588985",中国邮政储蓄银行24小时自助银行(榕声路营业所),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336
