address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
天府大道9-15号,郫都区,[],[],[],成都市,[],B001C8VB1N,[],"103.973353,30.758060",中国邮政储蓄银行(犀浦街道支行),[],[],四川省,[],[],2,028-87855000;028-87855033;95580,金融保险服务;银行;中国邮政储蓄银行,160139
三河大道50-52号,新都区,[],[],[],成都市,[],B001C7VRYO,[],"104.133346,30.777857",中国邮政储蓄银行(三河支行),[],[],四川省,[],[],2,028-83909201,金融保险服务;银行;中国邮政储蓄银行,160139
石家碾中路121号-123号,青白江区,[],[],[],成都市,[],B0FFGM1VH2,[],"104.259136,30.887045",中国邮政储蓄银行(石家碾中路支行),[],[],四川省,[],[],2,028-83650556,金融保险服务;银行;中国邮政储蓄银行,160139
大邑大道97号,大邑县,[],[],[],成都市,[],B001C8NPQ8,[],"103.525599,30.573780",中国邮政储蓄银行(大邑支行),[],[],四川省,[],[],2,028-88295166;028-88290211,金融保险服务;银行;中国邮政储蓄银行,160139
城厢镇上北街99-105号,青白江区,[],[],[],成都市,[],B001C807UX,[],"104.319132,30.856778",中国邮政储蓄银行(城厢镇支行),[],[],四川省,[],[],2,028-83632384,金融保险服务;银行;中国邮政储蓄银行,160139
天府大道中段177号17栋1单元1层1号,武侯区,[],[],[],成都市,[],B0FFJTZL8O,[],"104.074046,30.551833",中国邮政储蓄银行(新会展支行),[],[],四川省,[],[],2,95580,金融保险服务;银行;中国邮政储蓄银行,160139
怡湖西路96-104号,青白江区,[],[],[],成都市,[],B001C7VEV7,[],"104.252893,30.881545",中国邮政储蓄银行(怡湖西路支行),[],[],四川省,[],[],2,028-83692608,金融保险服务;银行;中国邮政储蓄银行,160139
广场路13附2-4,郫都区,[],[],[],成都市,[],B001C8MG33,[],"103.942785,30.773670",中国邮政储蓄银行(西华大学邮政储蓄所),[],[],四川省,[],[],2,028-87987771;95580,金融保险服务;银行;中国邮政储蓄银行,160139
凤溪大道中段95号附1号,温江区,[],[],[],成都市,[],B001C8VB2K,[],"103.841951,30.689617",中国邮政储蓄银行(向阳路营业所),[],[],四川省,[],[],2,028-82763116;028-82762163,金融保险服务;银行;中国邮政储蓄银行,160139
北三路518号东坡生活广场,青羊区,[],[],202,成都市,[],B001C80EF0,[],"103.989595,30.665304",中国邮政储蓄银行(苏坡支行),B001C80DW2,[],四川省,[],[],2,028-81716052;95580,金融保险服务;银行;中国邮政储蓄银行,160139
十陵街道江华路4号,龙泉驿区,[],[],[],成都市,[],B001C80C1N,[],"104.185835,30.651692",中国邮政储蓄银行(成都大学营业所),[],[],四川省,[],[],2,028-84601052;95580,金融保险服务;银行;中国邮政储蓄银行,160139
沙湾路73号,金牛区,[],[],[],成都市,[],B0FFHUHYG8,[],"104.050776,30.692858",中国邮政储蓄银行(沙湾支行),[],[],四川省,[],[],2,028-87644800;028-87666582;95580,金融保险服务;银行;中国邮政储蓄银行,160139
杨柳东路附近,双流区,[],[],[],成都市,[],B001C8ML1E,[],"103.859396,30.641981",中国邮政储蓄银行(柑梓营业所),[],[],四川省,[],[],2,028-82688666;95580,金融保险服务;银行;中国邮政储蓄银行,160139
天府四街588号,武侯区,[],[],[],成都市,[],B0FFHCB9XG,[],"104.055467,30.542967",中国邮政储蓄银行(天府支行),[],[],四川省,[],[],2,028-88619988;95580,金融保险服务;银行;中国邮政储蓄银行,160139
文锦街165号,新都区,[],[],[],成都市,[],B0FFFFLHGF,[],"104.069758,30.818086",中国邮政储蓄银行(斑竹园支行),[],[],四川省,[],[],2,028-83988008;95580,金融保险服务;银行;中国邮政储蓄银行,160139
北泉路254-256号金上城1栋1层1号-2号1层,龙泉驿区,[],[],[],成都市,[],B001C8OMKD,[],"104.253990,30.567176",中国邮政储蓄银行(金上城支行),[],[],四川省,[],[],2,028-84859438;028-84884411,金融保险服务;银行;中国邮政储蓄银行,160139
董场镇钟音街20号,大邑县,[],[],[],成都市,[],B0FFHGPVEH,[],"103.692659,30.524412",中国邮政储蓄银行(大邑县董场镇支行),[],[],四川省,[],[],2,028-88324952;95580,金融保险服务;银行;中国邮政储蓄银行,160139
十里大道一段543-557号,金堂县,[],[],[],成都市,[],B001C7ZX1Y,[],"104.418062,30.858078",中国邮政储蓄银行(金堂县支行),[],[],四川省,[],[],2,028-84923938,金融保险服务;银行;中国邮政储蓄银行,160139
永陵路18号附2号,金牛区,[],[],[],成都市,[],B0FFFFQ9LO,[],"104.045477,30.674224",中国邮政储蓄银行(永陵路支行),[],[],四川省,[],[],2,028-87530137;028-87530259,金融保险服务;银行;中国邮政储蓄银行,160139
草堂北路2号附2-3号,青羊区,[],[],[],成都市,[],B0FFFAB200,[],"104.029119,30.662850",中国邮政储蓄银行(草堂寺支行),[],[],四川省,[],[],2,028-81475237;95580,金融保险服务;银行;中国邮政储蓄银行,160139
天乡路一段2451号,温江区,[],[],[],成都市,[],B001C8N0G3,[],"103.836434,30.724147",中国邮政储蓄银行(万春营业所),[],[],四川省,[],[],2,028-67234106;95580,金融保险服务;银行;中国邮政储蓄银行,160139
