address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,parking_type,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
天府路润扬双铁广场一楼兴业银行与阿迪达斯之间,郫都区,[],[],[],成都市,[],B0FFL50AA7,[],"103.976171,30.757824",天才计划DIY陶艺手工馆(犀浦润扬双铁广场店),[],,[],四川省,[],[],0,19181723840,购物服务;专卖店;专营店,061200
天府三街69号新希望国际B座招商银行内,武侯区,[],[],202,成都市,[],B0FFJX8ST8,[],"104.066978,30.546118",招商证券升华路咨询点,B0FFF006BK,,[],四川省,[],[],2,13608026756,金融保险服务;金融保险服务机构;金融保险机构,160000
天府新区华阳街道华府大道一段932号农业银行旁边,双流区,[],[],[],成都市,[],B0FFHG09X9,[],"104.049838,30.526811",TZ雅轩美容美发会所(华府店),[],,[],四川省,[],[],0,028-62753958,生活服务;美容美发店;美容美发店,071100
天府新区华府大道一段898号8栋建设银行楼上3楼,双流区,[],[],[],成都市,[],B0FFFOD89K,[],"104.052110,30.526956",美之露美容养生SPA会所(华阳店),[],,[],四川省,[],[],0,028-62580961;18982053531;028-69911886,生活服务;美容美发店;美容美发店|购物服务;购物相关场所;购物相关场所,071100|060000
天府新区白沙镇白沙街农商银行对面白沙村一组147号,双流区,[],[],[],成都市,[],B0FFHI186U,[],"104.155275,30.468648",成都市诚品文化传播有限公司,[],,[],四川省,[],[],0,[],科教文化服务;科教文化场所;科教文化场所,140000
华金大道406号齐盛艺品2层(和谐广场正对面·天府银行2层),青白江区,[],[],[],成都市,[],B0FFF2EAC6,[],"104.256863,30.883344",望子成龙学校(青白江分校),[],,[],四川省,[],[],0,028-83694211,科教文化服务;培训机构;培训机构,141400
华府大道一段518号蜀郡A区77栋附近,双流区,[],[],305,成都市,[],B0FFIMFXQK,[],"104.059993,30.527048",中国银行停车场,B0FFFPA22X,其它,[],四川省,[],[],2,[],交通设施服务;停车场;公共停车场,150904
天府新区万安路西段201号,双流区,[],[],[],成都市,[],B0H6BZDMNW,[],"104.106072,30.486838",人社服务合作网点(成都农商银行万安支行),[],,[],四川省,[],[],2,[],政府机构及社会团体;政府机关;政府机关相关,130100
兴隆湖科学城天府菁蓉中心A区1-1033号,双流区,[],[],202,成都市,[],B0FFHD65CK,[],"104.078479,30.402438",中国农业银行24小时自助银行(成都自贸区支行),B0FFL1D46W,,[],四川省,[],[],2,[],金融保险服务;金融保险服务机构;金融保险机构,160000
天府大道北段20号,武侯区,[],[],305,成都市,[],B001C8YCBD,[],"104.066934,30.591185",中国农业银行-专用停车场,B001C8P6XZ,,[],四川省,[],[],2,[],交通设施服务;停车场;公共停车场,150904
天府新区兴隆街道湖畔路西段113号(工商银行旁),双流区,[],diner,202,成都市,[],B0FFKQ4IUR,[],"104.074392,30.395593",GANSO元祖食品(兴隆湖店),B0FFIZ9VLU,,[],四川省,[],[],0,028-62485808;13668115334,餐饮服务;糕饼店;糕饼店|购物服务;购物相关场所;购物相关场所,050800|060000
天府三街69号新希望国际B座广场2楼(招商银行楼上),武侯区,[],diner,202,成都市,[],B0FFK808OJ,[],"104.066429,30.546213",牛水煮·麻辣水煮牛肉(天府三街旗舰店),B0FFF006BK,,[],四川省,[],[],0,17723305201,餐饮服务;中餐厅;中餐厅,050100
