address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
崇阳街道崇阳镇蜀州北路120号,崇州市,[],[],[],成都市,[],B0FFGI6WJ6,[],"103.67022,30.63544",中国农业银行(崇州市支行),[],[],四川省,[],[],2,95599,金融保险服务;银行;中国农业银行,160107
敖平街道凤楼中街121号,彭州市,[],[],[],成都市,[],B001C06XQ1,[],"103.988269,31.092247",中国农业银行(敖平分理处),[],[],四川省,[],[],2,028-83861016,金融保险服务;银行;中国农业银行,160107
天久北巷139号附9号,武侯区,[],[],[],成都市,[],B001C8O9L1,[],"104.075317,30.592738",中国农业银行(天府长城支行),[],[],四川省,[],[],2,028-84715907;028-61554386,金融保险服务;银行;中国农业银行,160107
劳动街2-4,新津区,[],[],[],成都市,[],B001C7VRJ5,[],"103.788794,30.414936",中国农业银行(新津太平分理处),[],[],四川省,[],[],2,028-82589831,金融保险服务;银行;中国农业银行,160107
金彭西路体育场西街2号,彭州市,[],[],[],成都市,[],B001C05ZJ9,[],"103.931918,30.988262",中国农业银行(彭州支行营业部),[],[],四川省,[],[],2,028-83872151;028-95599,金融保险服务;银行;中国农业银行,160107
成汉南路138号(天府新谷、仁和春天国际花园、誉峰、市一医院),武侯区,[],[],[],成都市,[],B0FFFEY2Y3,[],"104.054169,30.585723",中国农业银行(天府大道支行),[],[],四川省,[],[],2,028-69760778,金融保险服务;银行;中国农业银行,160107
紫瑞北街86-90号,武侯区,[],[],[],成都市,[],B001C80ODO,[],"104.044674,30.615245",中国农业银行(成都神仙树支行),[],[],四川省,[],[],2,028-85161359,金融保险服务;银行;中国农业银行,160107
籍田街道回江社区新华路一段82-90号,双流区,[],[],[],成都市,[],B001C7X59S,[],"104.025862,30.308681",中国农业银行(成都籍田分理处),[],[],四川省,[],[],2,028-85691205,金融保险服务;银行;中国农业银行,160107
高新区天府大道北段20号高新国际广场B座1层,武侯区,[],[],[],成都市,[],B001C8P6XZ,[],"104.066731,30.591616",中国农业银行(高新技术产业开发区支行),[],[],四川省,[],[],2,028-85319286,金融保险服务;银行;中国农业银行,160107
洞子口路333号附1-2号,金牛区,[],[],[],成都市,[],B001C8P767,[],"104.060921,30.721670",中国农业银行(成都洞子口支行),[],[],四川省,[],[],2,028-83113505,金融保险服务;银行;中国农业银行,160107
江源中路488-494号,崇州市,[],[],[],成都市,[],B001C8R81M,[],"103.691441,30.631859",中国农业银行(唐人街分理处),[],[],四川省,[],[],2,028-82221153,金融保险服务;银行;中国农业银行,160107
天府新区兴隆湖成都科学城天府菁蓉中心A区1-1033号,双流区,[],[],202,成都市,[],B0FFK0N0W6,[],"104.078466,30.402461",中国农业银行(自贸区支行),B0FFL1D46W,[],四川省,[],[],2,028-64974625,金融保险服务;银行;中国农业银行,160107
