address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
光电大道1号中国科学院成都光电技术研究所院内,双流区,[],[],[],成都市,[],B001C8VKZP,[],"104.006893,30.533123",中国银行(双流光电所支行),[],[],四川省,[],[],2,028-85865070;95566,金融保险服务;银行;中国银行,160104
五津东路153号附2,新津区,[],[],[],成都市,[],B0FFF006HH,[],"103.817258,30.414743",中国银行(瑞通路支行),[],[],四川省,[],[],2,028-82523640;95566,金融保险服务;银行;中国银行,160104
博海路83号(海伦国际广场旁),新都区,[],[],[],成都市,[],B0FFI5HKP8,[],"104.158256,30.813303",中国银行(新都博海路支行),[],[],四川省,[],[],2,028-83968350;95566,金融保险服务;银行;中国银行,160104
公兴镇黄龙大道二段333号,双流区,[],[],[],成都市,[],B001C8OKZX,[],"103.996167,30.492773",中国银行(双流公兴支行),[],[],四川省,[],[],2,028-85681736;95566,金融保险服务;银行;中国银行,160104
人民南路四段9号中国科学院成都分院院内43栋,武侯区,[],[],[],成都市,[],B0FFF9VJ45,[],"104.071913,30.629702",中国银行(成都中科支行),[],[],四川省,[],[],2,028-85239061;95566;028-85229461,金融保险服务;银行;中国银行,160104
五津西路105号,新津区,[],[],[],成都市,[],B001C01036,[],"103.807525,30.415691",中国银行(新津支行),[],[],四川省,[],[],2,028-82523193;95566,金融保险服务;银行;中国银行,160104
华阳街道华府大道2号,双流区,[],[],[],成都市,[],B001C8RGFM,[],"104.068617,30.527591",中国银行(华府支行),[],[],四川省,[],[],2,028-62580213,金融保险服务;银行;中国银行,160104
东升镇棠湖东路一段15号,双流区,[],[],[],成都市,[],B001C013B6,[],"103.921909,30.571724",中国银行(双流分行),[],[],四川省,[],[],2,028-85823856;028-85824281;95566,金融保险服务;银行;中国银行,160104
小天北街18号小天丽苑1层,武侯区,[],[],[],成都市,[],B001C7WHKN,[],"104.058156,30.635826",中国银行(小天北街支行),[],[],四川省,[],[],2,028-85568873;028-85568872;95566,金融保险服务;银行;中国银行,160104
万春路184-194号,温江区,[],[],[],成都市,[],B001C92GLY,[],"103.839081,30.704869",中国银行(万春路支行),[],[],四川省,[],[],2,028-61707933;95566,金融保险服务;银行;中国银行,160104
前锋街2号1层,成华区,[],[],[],成都市,[],B001C7TLGE,[],"104.091742,30.678940",中国银行(成都府青路支行),[],[],四川省,[],[],2,028-83369068;028-83369058;95566,金融保险服务;银行;中国银行,160104
蜀跃路2号附9-11号,金牛区,[],[],[],成都市,[],B001C0AHHN,[],"104.006096,30.705611",中国银行(成都蜀跃路支行),[],[],四川省,[],[],2,028-87596011;028-87594328;95566,金融保险服务;银行;中国银行,160104
一环路南三段45号,武侯区,[],[],[],成都市,[],B001C060N7,[],"104.056615,30.633585",中国银行(武侯支行营业部),[],[],四川省,[],[],2,028-85565107;028-85541955;95566,金融保险服务;银行;中国银行,160104
西航港街道办事处五朵莲花社区邻里中心1期2栋,双流区,[],[],202,成都市,[],B001C8MQWL,[],"103.972502,30.535705",中国银行(双流工业新城支行),B0FFF8TBZ8,[],四川省,[],[],2,028-61405608;95566,金融保险服务;银行;中国银行,160104
华阳街道正东上街87-99号,双流区,[],[],[],成都市,[],B001C8MPAR,[],"104.057507,30.504383",中国银行(华阳支行),[],[],四川省,[],[],2,028-85647899;028-95566,金融保险服务;银行;中国银行,160104
晋原街道大东街52-56号,大邑县,[],[],[],成都市,[],B001C7UHWD,[],"103.522962,30.586068",中国银行(大邑县支行),[],[],四川省,[],[],2,028-88293350,金融保险服务;银行;中国银行,160104
川大路二段301-303,双流区,[],[],[],成都市,[],B001C8MQXI,[],"104.001564,30.552636",中国银行(双流四川大学支行),[],[],四川省,[],[],2,028-85990533;95566,金融保险服务;银行;中国银行,160104
庆丰街146-148号,温江区,[],[],[],成都市,[],B001C7U5J6,[],"103.830044,30.698325",中国银行(庆丰街支行),[],[],四川省,[],[],2,028-82726327;95566,金融保险服务;银行;中国银行,160104
高升桥南街8号附32-35号,武侯区,[],[],[],成都市,[],B001C0AHGH,[],"104.038816,30.637194",中国银行(成都罗浮支行),[],[],四川省,[],[],2,028-85089487;95566,金融保险服务;银行;中国银行,160104
金彭西路368-380号,彭州市,[],[],[],成都市,[],B0FFFPA4GQ,[],"103.932582,30.988234",中国银行(延秀街支行),[],[],四川省,[],[],2,028-83872501;95566,金融保险服务;银行;中国银行,160104
丽都路3号附4号,武侯区,[],[],[],成都市,[],B001C0AHGD,[],"104.032942,30.624565",中国银行(成都丽都支行),[],[],四川省,[],[],2,95566,金融保险服务;银行;中国银行,160104
锦城大道1024-1030号,武侯区,[],[],[],成都市,[],B0FFG9WPOQ,[],"104.051919,30.575575",中国银行(成都锦城大道支行),[],[],四川省,[],[],2,028-81706573;028-85141501,金融保险服务;银行;中国银行,160104
汇泉南路1号,锦江区,[],[],[],成都市,[],B0FFFAAW4F,[],"104.103372,30.624916",中国银行(锦江支行),[],[],四川省,[],[],2,[],金融保险服务;银行;中国银行,160104
群星路92-94号,金牛区,[],[],[],成都市,[],B001C0AHHT,[],"104.051787,30.701997",中国银行(西南交大分理处),[],[],四川省,[],[],2,028-87634332;028-87634331,金融保险服务;银行;中国银行,160104
瑞升望江橡树林一期184号橡树林路链家网店,锦江区,[],[],[],成都市,[],B0FFJ7E2SL,[],"104.093157,30.621558",中国银行(成都橡树林支行),[],[],四川省,[],[],2,028-85054740;95566,金融保险服务;银行;中国银行,160104
圣谕亭巷319号,新都区,[],[],[],成都市,[],B001C0298F,[],"104.164429,30.823595",中国银行(新都支行),[],[],四川省,[],[],2,028-83972336;95566,金融保险服务;银行;中国银行,160104
晋康北路229-237号,崇州市,[],[],[],成都市,[],B001C8N672,[],"103.684383,30.638891",中国银行(九龙路支行),[],[],四川省,[],[],2,028-82276562;95566,金融保险服务;银行;中国银行,160104
区高新区中和大道一段11号,双流区,[],[],[],成都市,[],B001C80OH0,[],"104.077231,30.548095",中国银行(成都中和支行),[],[],四川省,[],[],2,028-61900589;95566,金融保险服务;银行;中国银行,160104
东升街32-40号,简阳市,[],[],[],成都市,[],B0FFFZYMPI,[],"104.544989,30.406959",中国银行(简阳东升路支行),[],[],四川省,[],[],2,028-27359228;95566,金融保险服务;银行;中国银行,160104
青华路42号附1-3号,青羊区,[],[],[],成都市,[],B001C7WG2S,[],"104.023474,30.662477",中国银行(成都青华路支行),[],[],四川省,[],[],2,028-87371175;028-87372613;95566,金融保险服务;银行;中国银行,160104
