address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
东城根中街138附2-7,青羊区,[],[],[],成都市,[],B001C7WQXI,[],"104.060809,30.666492",中国建设银行(成都第一支行),[],[],四川省,[],[],2,028-86272817;028-86255539;95533,金融保险服务;银行;中国建设银行,160106
蜀汉路353号远洋大厦,金牛区,[],[],[],成都市,[],B0FFJ672QN,[],"104.012700,30.695057",中国建设银行(成都蜀汉路远洋大厦支行),[],[],四川省,[],[],2,95533,金融保险服务;银行;中国建设银行,160106
西南航空港经济开发区西航港大道二段12号,双流区,[],[],[],成都市,[],B001C8MRA2,[],"103.973131,30.533892",中国建设银行(双流西航港支行),[],[],四川省,[],[],2,028-62142256,金融保险服务;银行;中国建设银行,160106
繁江北路4号,新都区,[],[],[],成都市,[],B0FFFQ1XWD,[],"104.018853,30.874439",中国建设银行(新都新繁支行),[],[],四川省,[],[],2,028-83080310,金融保险服务;银行;中国建设银行,160106
帘官公所街2号附1号,青羊区,[],[],[],成都市,[],B001C7Y4U4,[],"104.081369,30.666697",中国建设银行(成都第二支行),[],[],四川省,[],[],2,028-86917696,金融保险服务;银行;中国建设银行,160106
麓镇西路21号附2号,双流区,[],[],[],成都市,[],B0FFGA4D03,[],"104.093454,30.481491",中国建设银行(麓山国际支行),[],[],四川省,[],[],2,028-85612324,金融保险服务;银行;中国建设银行,160106
三河场厚诚路8号海峡茶城,新都区,[],[],[],成都市,[],B0FFFE2E2A,[],"104.146288,30.780570",中国建设银行(新都三河支行),[],[],四川省,[],[],2,028-89397220,金融保险服务;银行;中国建设银行,160106
创意产业商务区三色路38号博瑞·创意成都1层,锦江区,[],[],202,成都市,[],B001C8O8EP,[],"104.085349,30.587114",中国建设银行(锦江工业园支行),B001C8P6NH,[],四川省,[],[],2,028-85917612,金融保险服务;银行;中国建设银行,160106
金泽路155-161号2层,青羊区,[],[],[],成都市,[],B0FFFAATLY,[],"104.002537,30.685197",中国建设银行(西贵金沙支行),[],[],四川省,[],[],2,[],金融保险服务;银行;中国建设银行,160106
光华北五路78-80号、光华西二路50-56号,青羊区,[],[],[],成都市,[],B0FFHO14FS,[],"103.956936,30.674415",中国建设银行(成都颐城支行),[],[],四川省,[],[],2,028-87606548;028-87502485,金融保险服务;银行;中国建设银行,160106
桂湖东路56-64号,新都区,[],[],202,成都市,[],B001C0AG9R,[],"104.163720,30.823033",中国建设银行(新都支行营业部),B001C8NSDX,[],四川省,[],[],2,028-83972967;028-83992382;95533,金融保险服务;银行;中国建设银行,160106
天久北巷114-116号,武侯区,[],[],[],成都市,[],B001C93K7G,[],"104.076116,30.593138",中国建设银行(天府长城支行),[],[],四川省,[],[],2,028-85356645;028-85180263,金融保险服务;银行;中国建设银行,160106
