address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,parking_type,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
[],成华区,[],[],[],成都市,[],B0HGPZSOJY,[],"104.170288,30.703278",成都农商银行,[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
城祥路,青白江区,[],[],[],成都市,[],B0HG6UDPOZ,[],"104.283390,30.829415",成都农商银行,[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
[],崇州市,[],[],[],成都市,[],B0G27SCMV8,[],"103.779345,30.588260",成都农商银行,[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
长柏路264号附近,龙泉驿区,[],[],[],成都市,[],B0G116C2R9,[],"104.266512,30.551638",成都农商银行,[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
桂蕊路,新都区,[],[],[],成都市,[],B0FFLAWPOY,[],"104.063140,30.773511",成都农商银行,[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
天科广场南,双流区,[],[],[],成都市,[],B0FFL08UWY,[],"104.175466,30.522698",成都农商银行,[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
晋原街道围城南路西段3-7,大邑县,[],[],[],成都市,[],B001C7ZYOS,[],"103.522219,30.582014",成都农商银行(晋原支行),[],,[],四川省,[],[],2,028-88292554,金融保险服务;银行;农村商业银行,160121
经天路2号附1附9号,锦江区,[],[],[],成都市,[],B001C80OBS,[],"104.098817,30.602759",成都农商银行(锦江支行),[],,[],四川省,[],[],2,028-85915193;028-85912300,金融保险服务;银行;农村商业银行,160121
潘家街四段517号,大邑县,[],[],202,成都市,[],B0FFHGNLMT,[],"103.516452,30.569509",成都农商银行(大邑支行),B001C95CM7,,[],四川省,[],[],2,028-88281992;028-88282286,金融保险服务;银行;农村商业银行,160121
福锦路二段222-226号,武侯区,[],[],[],成都市,[],B001C8O7Z6,[],"103.997357,30.60765",成都农商银行(簇桥支行),[],,[],四川省,[],[],2,028-85013851,金融保险服务;银行;农村商业银行,160121
棠湖西路一段13吉丰百货1层,双流区,[],[],[],成都市,[],B001C7YO3I,[],"103.919170,30.572444",成都农商银行(双流支行),[],,[],四川省,[],[],2,028-85812212;028-85812213,金融保险服务;银行;农村商业银行,160121
弥牟镇弥牟中街35号,青白江区,[],[],[],成都市,[],B001C80KZB,[],"104.202323,30.881943",成都农商银行(弥牟支行),[],,[],四川省,[],[],2,028-83672332,金融保险服务;银行;农村商业银行,160121
科华中路88号附1号成都市农商银行大厦,武侯区,[],[],202,成都市,[],B001C80OUW,[],"104.076805,30.614706",成都农商银行(总行营业部),B001C80SKW,,[],四川省,[],[],2,028-85351200;028-85357369,金融保险服务;银行;农村商业银行,160121
成汉南路11号,武侯区,[],[],[],成都市,[],B001C80TFU,[],"104.054742,30.587845",成都农商银行(高新支行),[],,[],四川省,[],[],2,028-85316665;028-85316663,金融保险服务;银行;农村商业银行,160121
清江路与火盆路交叉口东北50米,金堂县,[],[],[],成都市,[],B0FFGD60G1,[],"104.384016,30.912765",成都农商银行(清江分理处),[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
聚龙路1082号、1084号、1086号,武侯区,[],[],[],成都市,[],B0FFGU7XBI,[],"103.996336,30.623046",成都农商银行(簇锦支行),[],,[],四川省,[],[],2,95392,金融保险服务;银行;农村商业银行,160121
一环路西三段184号,金牛区,[],[],[],成都市,[],B001C7UFFK,[],"104.043346,30.679006",成都农商银行(金牛支行营业部),[],,[],四川省,[],[],2,028-87779520;028-87769721,金融保险服务;银行;农村商业银行,160121
马超东路289号金融服务中心1楼,新都区,[],[],[],成都市,[],B0FFFGUNJJ,[],"104.180825,30.808724",成都农商银行(新都支行),[],,[],四川省,[],[],2,028-83013228,金融保险服务;银行;农村商业银行,160121
二环路西一段2号(近天邑国际酒店),武侯区,[],[],[],成都市,[],B001C92ECE,[],"104.031130,30.636923",成都农商银行(永丰支行),[],,[],四川省,[],[],2,028-87070225,金融保险服务;银行;农村商业银行,160121
长安路3号附3-6号,温江区,[],[],[],成都市,[],B001C0A0TD,[],"103.847935,30.700931",成都农商银行(温江支行),[],,[],四川省,[],[],2,028-82721563,金融保险服务;银行;农村商业银行,160121
蜀西路35号,金牛区,[],[],[],成都市,[],B001C09IC6,[],"103.999523,30.707121",成都农商银行(金泉支行),[],,[],四川省,[],[],2,028-87508702;028-87510229,金融保险服务;银行;农村商业银行,160121
二环路南一段16号,武侯区,[],[],[],成都市,[],B001C7WPD7,[],"104.080509,30.619754",成都农商银行(武侯支行),[],,[],四川省,[],[],2,028-85230711;028-85357169,金融保险服务;银行;农村商业银行,160121
双林路102-116号,成华区,[],[],[],成都市,[],B001C7Y8DZ,[],"104.109429,30.653037",成都农商银行(成华支行),[],,[],四川省,[],[],2,028-84330523;028-84330295,金融保险服务;银行;农村商业银行,160121
金彭西路243-245,彭州市,[],[],[],成都市,[],B001C8NUP6,[],"103.936133,30.988103",成都农商银行(彭州支行),[],,[],四川省,[],[],2,028-83871545,金融保险服务;银行;农村商业银行,160121
新下街1号,双流区,[],[],[],成都市,[],B0FFHGCJR5,[],"104.089705,30.555987",成都农商银行(中和支行),[],,[],四川省,[],[],2,028-85651383;028-85651109,金融保险服务;银行;农村商业银行|金融保险服务;银行相关;银行相关,160121|160200
黄龙大道二段661,双流区,[],[],[],成都市,[],B0FFGFUHLP,[],"103.991937,30.484830",成都农商银行(公兴支行),[],,[],四川省,[],[],2,028-85680888,金融保险服务;银行;农村商业银行,160121
九江镇泉湖路632号,双流区,[],[],[],成都市,[],B0FFFW55O4,[],"103.918029,30.622443",成都农商银行(九江支行),[],,[],四川省,[],[],2,028-85753204,金融保险服务;银行;农村商业银行,160121
正兴街道广东街264号,双流区,[],[],[],成都市,[],B001C8UB2Y,[],"104.042813,30.434711",成都农商银行(正兴支行),[],,[],四川省,[],[],2,028-85672375,金融保险服务;银行;农村商业银行,160121
成灌路西段2-8,郫都区,[],[],[],成都市,[],B001C80RSX,[],"103.940375,30.774655",成都农商银行(红光支行),[],,[],四川省,[],[],2,028-87985348;028-87985797,金融保险服务;银行;农村商业银行,160121
沙湾路274-276号,金牛区,[],[],202,成都市,[],B001C7WMST,[],"104.049717,30.693552",成都农商银行(沙湾支行),B001C05060,,[],四川省,[],[],2,028-87650463,金融保险服务;银行;农村商业银行,160121
犀浦街道浦兴街252号,郫都区,[],[],[],成都市,[],B001C7SQCU,[],"103.964787,30.751926",成都农商银行(犀浦支行),[],,[],四川省,[],[],2,028-61772997,金融保险服务;银行;农村商业银行,160121
南街78号,新都区,[],[],[],成都市,[],B001C7U47W,[],"104.025057,30.818076",成都农商银行(龙桥分理处),[],,[],四川省,[],[],2,028-83079013,金融保险服务;银行;农村商业银行,160121
敖平街道凤楼南街127-137号,彭州市,[],[],[],成都市,[],B001C7YJW6,[],"103.987732,31.087595",成都农商银行(敖平支行),[],,[],四川省,[],[],2,028-83861230,金融保险服务;银行;农村商业银行,160121
新南街153号,郫都区,[],[],[],成都市,[],B0FFIPOVIE,[],"103.880034,30.809055",成都农商银行(郫都区支行),[],,[],四川省,[],[],2,028-87928794,金融保险服务;银行;农村商业银行,160121
金桥镇双崇路27号,双流区,[],[],[],成都市,[],B001C8OEYX,[],"103.831177,30.576833",成都农商银行(金桥分理处),[],,[],四川省,[],[],2,028-85851036,金融保险服务;银行;农村商业银行,160121
十里大道一段469号,金堂县,[],[],[],成都市,[],B001C096H8,[],"104.420075,30.857479",成都农商银行(金堂支行),[],,[],四川省,[],[],2,028-84935939;028-84932842,金融保险服务;银行;农村商业银行,160121
武兴五路28号,武侯区,[],[],202,成都市,[],B0FFFF4QU0,[],"103.971965,30.628318",成都农商银行(金花支行营业部),B0FFLH36BA,,[],四川省,[],[],2,028-85370367,金融保险服务;银行;农村商业银行,160121
简城东城新区雄州新城1号花园5号楼1-52-6号东升路,简阳市,[],[],202,成都市,[],B0FFH1KSFC,[],"104.544458,30.406380",成都农商银行(简阳支行),B0FFKCSG06,,[],四川省,[],[],2,028-26135888,金融保险服务;银行;农村商业银行,160121
三江镇崇新路三段26号,崇州市,[],[],[],成都市,[],B0FFFADG12,[],"103.779851,30.538803",成都农商银行(崇州三江分理处),[],,[],四川省,[],[],2,028-82242109,金融保险服务;银行;农村商业银行,160121
二环路西二段39号附5-10号,青羊区,[],[],[],成都市,[],B001C80IXO,[],"104.021161,30.664883",成都农商银行(青羊支行),[],,[],四川省,[],[],2,028-87339338;028-87380585,金融保险服务;银行;农村商业银行,160121
青华路28号,青羊区,[],[],[],成都市,[],B0FFG8KF5E,[],"104.028435,30.662674",成都农商银行(草堂分理处),[],,[],四川省,[],[],2,028-81402350,金融保险服务;银行;农村商业银行|金融保险服务;银行相关;银行相关,160121|160200
科教路162、164、166、168号,双流区,[],[],[],成都市,[],B0FFIA0CNX,[],"104.108709,30.421957",成都农商银行(兴隆支行),[],,[],四川省,[],[],2,028-85615459,金融保险服务;银行;农村商业银行,160121
新民镇福新街27、29、31、33号,新都区,[],[],[],成都市,[],B0FFF4Z83C,[],"104.097904,30.894936",成都农商银行(新民分理处),[],,[],四川省,[],[],2,028-83075035,金融保险服务;银行;农村商业银行,160121
双林路1号附7-11号,成华区,[],[],202,成都市,[],B001C8OJQ5,[],"104.114432,30.651312",成都农商银行(保和支行),B0FFGDWXKB,,[],四川省,[],[],2,028-84361451;028-84333021,金融保险服务;银行;农村商业银行,160121
花源镇利民街47号,新津区,[],[],[],成都市,[],B001C8MSYE,[],"103.882951,30.485569",成都农商银行(花源支行),[],,[],四川省,[],[],2,028-82481636,金融保险服务;银行;农村商业银行,160121
南大街94-106号,彭州市,[],[],[],成都市,[],B001C09J81,[],"103.942508,30.981693",成都农商银行(致和支行),[],,[],四川省,[],[],2,028-83703143,金融保险服务;银行;农村商业银行,160121
同兴街196号,新都区,[],[],[],成都市,[],B001C060Q2,[],"104.210952,30.737283",成都农商银行(新都木兰分理处),[],,[],四川省,[],[],2,028-83038225,金融保险服务;银行;农村商业银行,160121
龙泉街道公园路一段146号文明街,龙泉驿区,[],[],[],成都市,[],B0GUNRIR4F,[],"104.278830,30.563411",成都农商银行(龙泉驿支行),[],,[],四川省,[],[],2,028-84859987;028-84862723,金融保险服务;银行相关;银行相关,160200
东大街59号附1、61,温江区,[],[],[],成都市,[],B001C7YO7B,[],"103.839432,30.698891",成都农商银行(温江柳城支行),[],,[],四川省,[],[],2,028-82723297;028-82725006,金融保险服务;银行;农村商业银行,160121
沙渠镇大桥路168号,大邑县,[],[],[],成都市,[],B001C05H6C,[],"103.739394,30.531265",成都农商银行(沙渠园区支行),[],,[],四川省,[],[],2,028-88326176,金融保险服务;银行;农村商业银行,160121
庄园街2-4,大邑县,[],[],[],成都市,[],B001C05BFL,[],"103.622596,30.508999",成都农商银行(庄园街分理处),[],,[],四川省,[],[],2,028-88318038,金融保险服务;银行;农村商业银行,160121
九仙路中段27,蒲江县,[],[],[],成都市,[],B0HGOSW72O,[],"103.420551,30.241109",成都农商银行(大兴分理处),[],,[],四川省,[],[],2,028-88630152,金融保险服务;银行;农村商业银行,160121
正东中街127-131,双流区,[],[],[],成都市,[],B0HG47RQXQ,[],"104.061883,30.501976",成都农商银行(华阳南阳分理处),[],,[],四川省,[],[],2,028-85898517,金融保险服务;银行;农村商业银行,160121
龙岗路36号,崇州市,[],[],[],成都市,[],B0GRAH4G38,[],"103.696359,30.710149",成都农商银行(廖家分理处),[],,[],四川省,[],[],2,028-82290125,金融保险服务;银行;农村商业银行,160121
西河镇大石大湾村,龙泉驿区,[],[],[],成都市,[],B0G3A498YW,[],"104.248972,30.645559",成都农商银行(中街分理处),[],,[],四川省,[],[],2,028-84618778,金融保险服务;银行;农村商业银行,160121
石鼓路110号附近,双流区,[],[],[],成都市,[],B0FFKW5TBN,[],"103.950787,30.635201",成都农商银行(双流通江分理处),[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
晋原街道锦屏大道95号,大邑县,[],[],[],成都市,[],B0FFIMU9JS,[],"103.546457,30.601149",成都农商银行(凤凰分理处),[],,[],四川省,[],[],2,[],金融保险服务;银行;农村商业银行,160121
世纪街229-233,双流区,[],[],[],成都市,[],B0FFGDD226,[],"104.152744,30.352849",成都农商银行(永兴分理处),[],,[],四川省,[],[],2,028-85666020,金融保险服务;银行;农村商业银行,160121
三峨街199号,龙泉驿区,[],[],[],成都市,[],B0FFGBI8XY,[],"104.322737,30.637273",成都农商银行(龙泉驿洛带支行),[],,[],四川省,[],[],2,028-84893681,金融保险服务;银行;农村商业银行,160121
蔡场街,大邑县,[],[],[],成都市,[],B0FFFEF4EM,[],"103.699495,30.496327",成都农商银行(大邑蔡场分理处),[],,[],四川省,[],[],2,028-88384995,金融保险服务;银行;农村商业银行,160121
桂湖西路172-178号,新都区,[],[],[],成都市,[],B0FFFAAVX7,[],"104.152075,30.823713",成都农商银行(状元街分理处),[],,[],四川省,[],[],2,028-83972343,金融保险服务;银行;农村商业银行,160121
净居寺西街14-16号,锦江区,[],[],[],成都市,[],B0FFF5STG1,[],"104.103954,30.622623",成都农商银行(成龙分理处),[],,[],四川省,[],[],2,028-84593251,金融保险服务;银行;农村商业银行,160121
临港路三段25号1栋1层4号,双流区,[],[],[],成都市,[],B001C95CS7,[],"103.978144,30.565630",成都农商银行(常乐分理处),[],,[],四川省,[],[],2,028-85693665,金融保险服务;银行;农村商业银行,160121
云桥街65附近,金堂县,[],[],[],成都市,[],B001C8X7DB,[],"104.756425,30.509600",成都农商银行(金堂云合分理处),[],,[],四川省,[],[],2,028-84972346,金融保险服务;银行;银行,160100
下街360附近,郫都区,[],[],[],成都市,[],B001C8VJJG,[],"103.973345,30.752182",成都农商银行(中街分理处),[],,[],四川省,[],[],2,028-87853181,金融保险服务;银行;农村商业银行,160121
济兴南街12号附3号,新都区,[],[],[],成都市,[],B001C8VEZ4,[],"103.989030,30.915086",成都农商银行(新都利济分理处),[],,[],四川省,[],[],2,028-83004545,金融保险服务;银行;农村商业银行,160121
