address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
蜀汉路289号(一品天下站地铁2号线D出口旁),金牛区,[],[],[],成都市,[],B001C7YQI1,[],"104.019062,30.689643",中国光大银行(蜀汉路支行),[],[],四川省,[],[],2,028-87521289;95595,金融保险服务;银行;中国光大银行,160113
天府新谷8号2-1F楼2单元,武侯区,[],[],[],成都市,[],B0FFFO5DB0,[],"104.054828,30.586083",中国光大银行(高新支行),[],[],四川省,[],[],2,028-61682880;95595,金融保险服务;银行;中国光大银行,160113
紫荆西路6号附8-附18,武侯区,[],[],[],成都市,[],B001C8VK8G,[],"104.045094,30.617851",中国光大银行(成都神仙树支行),[],[],四川省,[],[],2,028-85316573;95595,金融保险服务;银行;中国光大银行,160113
二环路北三段21号附9号-10-13,金牛区,[],[],[],成都市,[],B001C8P61A,[],"104.087928,30.693067",中国光大银行(成都高笋塘支行),[],[],四川省,[],[],2,028-83312706;028-83317386,金融保险服务;银行;中国光大银行,160113
郫都区高新区天目路129-131号,郫都区,[],[],[],成都市,[],B0FFGM76FW,[],"103.977518,30.733161",中国光大银行(百草路社区支行),[],[],四川省,[],[],2,028-87813867;028-87816951,金融保险服务;银行;中国光大银行,160113
瑞联路39号附1号,青羊区,[],[],[],成都市,[],B001C7WB9I,[],"104.002017,30.665336",中国光大银行(成都光华支行),[],[],四川省,[],[],2,028-87088006;028-87088016,金融保险服务;银行;中国光大银行,160113
[],金牛区,[],[],202,成都市,[],B0FFFDQD9Q,[],"103.981094,30.720076",中国光大银行(中海国际社区支行),B001C8QJKD,[],四川省,[],[],2,028-83175530,金融保险服务;银行;中国光大银行,160113
香城大道马超西路段259-261号,新都区,[],[],[],成都市,[],B0FFFGUPOP,[],"104.166622,30.812296",中国光大银行(成都新都支行),[],[],四川省,[],[],2,028-83979817;95595,金融保险服务;银行;中国光大银行,160113
新鸿路398号,成华区,[],[],[],成都市,[],B0H6GH025A,[],"104.107077,30.661519",中国光大银行(成都玉双路支行),[],[],四川省,[],[],2,028-84446666,金融保险服务;银行;银行,160100
高升桥路16号,武侯区,[],[],[],成都市,[],B0FFF9VCDR,[],"104.036798,30.640128",中国光大银行(成都武侯支行),[],[],四川省,[],[],2,028-85558661;95595,金融保险服务;银行;中国光大银行,160113
东华一路47号中国铁建广场1栋,成华区,[],[],202,成都市,[],B0FFIXM9TU,[],"104.142449,30.679902",中国光大银行(铁建支行),B0FFG9VIV1,[],四川省,[],[],2,028-84740257;028-84724535;95595,金融保险服务;银行;中国光大银行,160113
天久南巷165号(近天环路),武侯区,[],[],[],成都市,[],B0FFFEVG33,[],"104.074136,30.592110",中国光大银行(成都天府长城小微支行),[],[],四川省,[],[],2,028-85156783;95595,金融保险服务;银行;中国光大银行,160113
槐树街1号,青羊区,[],[],[],成都市,[],B0FFLO1BGZ,[],"104.056018,30.668433",中国光大银行(成都三洞桥支行),[],[],四川省,[],[],2,028-87464745;028-86270999,金融保险服务;银行;中国光大银行,160113
逸都路66号,武侯区,[],[],[],成都市,[],B0FFFCVK0Q,[],"104.016764,30.645125",中国光大银行(逸都社区支行),[],[],四川省,[],[],2,028-85233786;028-83177337;95595,金融保险服务;银行;中国光大银行,160113
荆竹中路225号,成华区,[],[],[],成都市,[],B0FFFCVLNB,[],"104.106711,30.713105",中国光大银行(上东社区支行),[],[],四川省,[],[],2,028-83115335;95595,金融保险服务;银行;中国光大银行,160113
佳宏北路56号,锦江区,[],[],[],成都市,[],B0FFGAUG3Q,[],"104.128826,30.617418",中国光大银行(比华利国际社区支行),[],[],四川省,[],[],2,028-85910495,金融保险服务;银行;中国光大银行,160113
天府大道中段279号成达大厦,武侯区,[],[],202,成都市,[],B001C80T7V,[],"104.070320,30.551768",中国光大银行(成都世纪城支行),B0FFFZUSTB,[],四川省,[],[],2,028-85330121;95595,金融保险服务;银行;中国光大银行,160113
人民中路三段33号附5号,青羊区,[],[],3,成都市,[],B001C8MIUK,[],"104.070342,30.675235",中国光大银行24小时自助银行(人民中路支行),B001C8MIUJ,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
洗面桥街30号附2号,武侯区,[],[],[],成都市,[],B001C03BBF,[],"104.056630,30.640810",中国光大银行(成都天府支行),[],[],四川省,[],[],2,028-85558070;028-85598650,金融保险服务;银行;中国光大银行,160113
建业路82号,成华区,[],[],[],成都市,[],B001C939EQ,[],"104.113059,30.671751",中国光大银行(成都龙湖社区支行),[],[],四川省,[],[],2,028-83119775,金融保险服务;银行;中国光大银行|金融保险服务;自动提款机;中国光大银行ATM,160113|160310
顺城大街312号附1-3号,青羊区,[],[],202,成都市,[],B001C068QT,[],"104.071051,30.668892",中国光大银行(冠城支行),B0FFH0JQLM,[],四川省,[],[],2,028-86528391;028-86528385;95595,金融保险服务;银行;中国光大银行,160113
小天竺街7号,武侯区,[],[],[],成都市,[],B001C05BFQ,[],"104.067509,30.642820",中国光大银行(小天竺支行),[],[],四川省,[],[],2,028-85446033;028-85457484,金融保险服务;银行;中国光大银行,160113
大慈寺路79号,锦江区,[],[],[],成都市,[],B0FFF9ZXDD,[],"104.082586,30.655826",中国光大银行(成都分行),[],[],四川省,[],[],2,028-86716845;028-86665566,金融保险服务;银行;中国光大银行,160113
北泉路936号,龙泉驿区,[],[],[],成都市,[],B0G2M1ZJOH,[],"104.241044,30.571507",中国光大银行,[],[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
柏合街道东山国际新城h区华信大道66号,龙泉驿区,[],[],[],成都市,[],B0FFIP41P5,[],"104.257243,30.535162",中国光大银行(东山国际小微支行),[],[],四川省,[],[],2,028-84606996;95595,金融保险服务;银行;中国光大银行,160113
新光路1号附8号,武侯区,[],[],[],成都市,[],B001C80SIW,[],"104.057811,30.617182",中国光大银行(紫荆支行),[],[],四川省,[],[],2,028-85972580;028-85972581;95595,金融保险服务;银行;中国光大银行,160113
阳光新业1栋9楼,锦江区,[],[],202,成都市,[],B0FFL0JVUG,[],"104.091023,30.643470",中国光大银行(成都分行)信用卡业务,B0FFH29MSE,[],四川省,[],[],2,[],金融保险服务;银行;中国光大银行,160113
八宝街88附7-8号,青羊区,[],[],[],成都市,[],B001C7U91Z,[],"104.060598,30.671074",中国光大银行(八宝街支行),[],[],四川省,[],[],2,028-86258919;028-86263381,金融保险服务;银行;中国光大银行,160113
东城根下街30号,青羊区,[],[],3,成都市,[],B001C05HFH,[],"104.060541,30.670965",中国光大银行24小时自助银行(八宝街支行),B001C7U91Z,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
锦东路668号新视界广场,锦江区,[],[],202,成都市,[],B001C80SIV,[],"104.106096,30.638619",中国光大银行(成都牛市口支行),B001C7WGRO,[],四川省,[],[],2,028-81455018;028-81455015,金融保险服务;银行;中国光大银行,160113
人民中路三段33号附5号,青羊区,[],[],[],成都市,[],B001C8MIUJ,[],"104.070231,30.675120",中国光大银行(成都人民中路支行),[],[],四川省,[],[],2,028-85377055,金融保险服务;银行;中国光大银行,160113
浣花北路20号(四川省医学科学院四川省人民医院西南),青羊区,[],[],202,成都市,[],B0FFHORVNT,[],"104.039732,30.663188",中国光大银行ATM,B0FFFABYSW,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
科盛二路1042-1044号附近,温江区,[],[],[],成都市,[],B0FFFZVHG9,[],"103.780654,30.649640",中国光大银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
马超西路299附12号,新都区,[],[],[],成都市,[],B0FFFGUOFT,[],"104.166476,30.812336",中国光大银行24小时自助银行(新都支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
华信大道66号,龙泉驿区,[],[],[],成都市,[],B0FFFACPHW,[],"104.257264,30.535178",中国光大银行24小时自助银行(东山国际小微支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
[],双流区,[],[],[],成都市,[],B0G31CY5BH,[],"104.079340,30.404148",中国光大银行24小时自助银行(兴隆湖支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
长顺中街与槐树街交叉路口西南侧(娇子大厦),青羊区,[],[],[],成都市,[],B0FFMAICZQ,[],"104.055695,30.668582",中国光大银行24小时自助银行(三洞桥支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
大同路二段,双流区,[],[],[],成都市,[],B0FFLHMVD6,[],"104.019638,30.565601",中国光大银行24小时自助银行,[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
中国铁建广场华林三路6号附318-319号,成华区,[],[],202,成都市,[],B0FFKKTDSK,[],"104.142562,30.679818",中国光大银行24小时自助银行(铁建支行),B0FFG9VIV1,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
四川省成都市成华区新鸿路398号,成华区,[],[],[],成都市,[],B0H6YM7KAT,[],"104.106767,30.661544",中国光大银行24小时自助银行(玉双路支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
成汉南路77,武侯区,[],[],[],成都市,[],B0FFFE93J1,[],"104.054603,30.586103",中国光大银行24小时自助银行(高新支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
佳宏北路56号,锦江区,[],[],[],成都市,[],B0FFGC3NX6,[],"104.128770,30.617351",中国光大银行24小时自助银行(比华利国际社区银行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
二环路北三段21号附9号-10-13,金牛区,[],[],3,成都市,[],B001C8P6IY,[],"104.087944,30.693288",中国光大银行24小时自助银行(成都高笋塘支行),B001C8P61A,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
天府大道中段279号成达大厦,武侯区,[],[],202,成都市,[],B001C80T7U,[],"104.070449,30.551826",中国光大银行24小时自助银行(成都世纪城支行),B0FFFZUSTB,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
蜀汉路289号附4号,金牛区,[],[],3,成都市,[],B001C7YQI0,[],"104.019240,30.689551",中国光大银行24小时自助银行(蜀汉路支行),B001C7YQI1,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
瑞联路39号附1号,青羊区,[],[],3,成都市,[],B001C7WB9J,[],"104.001979,30.665302",中国光大银行24小时自助银行(成都光华支行),B001C7WB9I,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
天目路196号9栋1-6西80米,郫都区,[],[],[],成都市,[],B0FFFGYPB4,[],"103.977495,30.733110",中国光大银行24小时自助银行(天目路),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
汇川街190号,金牛区,[],[],[],成都市,[],B0FFFDS68G,[],"103.981110,30.720067",中国光大银行24小时自助银行(中海社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
双楠商圈逸都路66号,武侯区,[],[],[],成都市,[],B0FFF5PXQU,[],"104.016824,30.645150",中国光大银行24小时自助银行(成都逸都社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
紫荆西路6号附7号,武侯区,[],[],3,成都市,[],B001C80SJ0,[],"104.057808,30.617118",中国光大银行24小时自助银行(成都紫荆支行),B001C80SIW,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
紫荆西路6号附7号,武侯区,[],[],[],成都市,[],B0FFF2WQE4,[],"104.045082,30.617857",中国光大银行24小时自助银行(神仙树支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
荆竹中路225号,成华区,[],[],[],成都市,[],B0FFHFXEM9,[],"104.106711,30.713105",中国光大银行24小时自助银行(上东社区支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
高升桥路16号附1号,武侯区,[],[],[],成都市,[],B0FFF9VFD3,[],"104.036826,30.639984",中国光大银行24小时自助银行(成都武侯支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
锦东路680、684、688-690,锦江区,[],[],3,成都市,[],B001C80SIZ,[],"104.106110,30.638678",中国光大银行24小时自助银行(牛市口支行),B001C80SIV,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
天久南巷163-165,武侯区,[],[],[],成都市,[],B0FFFFKP51,[],"104.074039,30.592098",中国光大银行24小时自助银行(天府长城小微支行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
小天竺街7号,武侯区,[],[],3,成都市,[],B0FFGFL5B9,[],"104.067516,30.642955",中国光大银行24小时自助银行(成都小天竺支行),B001C05BFQ,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
建业路82号,成华区,[],[],[],成都市,[],B0FFFORHWS,[],"104.113019,30.671692",中国光大银行24小时自助银行(龙湖社区自助银行),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
顺城大街312号附1-3号,青羊区,[],[],3,成都市,[],B001C7WQX4,[],"104.071029,30.668797",中国光大银行24小时自助银行(冠城支行),B001C068QT,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
洗面桥街30号附2号,武侯区,[],[],3,成都市,[],B001C0AG7U,[],"104.056583,30.640744",中国光大银行24小时自助银行服务(成都天府支行),B001C03BBF,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
一环路南一段24号四川大学望江校区,武侯区,[],[],[],成都市,[],B001C05KFS,[],"104.083142,30.630081",中国光大银行24小时自助银行(望江医院西南),[],[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
大慈寺路79号,锦江区,[],[],3,成都市,[],B001C0AG7T,[],"104.082787,30.655724",中国光大银行24小时自助银行(成都分行),B001C03BBE,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国光大银行ATM,160310
