address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
蜀金路84号,青羊区,[],[],[],成都市,[],B0FFFFRWT2,[],"104.004419,30.682076",平安银行(成都蜀金路社区支行),[],[],四川省,[],[],2,028-69982692,金融保险服务;银行;平安银行,160117
马超西路299号1栋1楼1-3号,新都区,[],[],[],成都市,[],B0FFFGUPNV,[],"104.165907,30.812475",平安银行(成都新都支行),[],[],四川省,[],[],2,028-83979295,金融保险服务;银行;平安银行,160117
街西延线蜀汉路289号,金牛区,[],[],[],成都市,[],B0FFH6QV4Z,[],"104.020871,30.689332",平安银行(成都蜀汉路支行),[],[],四川省,[],[],2,028-83190738,金融保险服务;银行;平安银行,160117
东升街道办花园社区金河路1887号,双流区,[],[],[],成都市,[],B0FFF3K7LC,[],"103.908354,30.575132",平安银行(成都双流支行),[],[],四川省,[],[],2,028-85713912,金融保险服务;银行;平安银行,160117
人民北路一段九号,金牛区,[],[],[],成都市,[],B001C7VGLD,[],"104.072573,30.680125",平安银行(成都万福支行),[],[],四川省,[],[],2,028-83230246,金融保险服务;银行;平安银行,160117
双荆路2号附135、137、139、141号,成华区,[],[],[],成都市,[],B0FFGZOQZO,[],"104.096921,30.709136",平安银行(成都北城支行),[],[],四川省,[],[],2,028-69983909,金融保险服务;银行;平安银行,160117
锦绣路1号保利中心A座1层,武侯区,[],[],202,成都市,[],B001C9290U,[],"104.074133,30.624775",平安银行(成都棕南支行),B001C9290O,[],四川省,[],[],2,028-85276790,金融保险服务;银行;平安银行,160117
高升桥16号,武侯区,[],[],[],成都市,[],B0FFFOX4D0,[],"104.036575,30.639964",平安银行(成都高升桥支行),[],[],四川省,[],[],2,028-61960820,金融保险服务;银行;平安银行,160117
人民南路四段11号,武侯区,[],[],[],成都市,[],B001C8ULPL,[],"104.067126,30.628985",平安银行(成都人民南路支行),[],[],四川省,[],[],2,028-85229333,金融保险服务;银行;平安银行,160117
龙腾西路一号,武侯区,[],[],[],成都市,[],B0FFIJ4B8V,[],"104.012635,30.651846",平安银行(成都双楠支行),[],[],四川省,[],[],2,028-69992219,金融保险服务;银行;平安银行,160117
紫荆东路51号,武侯区,[],[],[],成都市,[],B001C8OLIT,[],"104.054549,30.613396",平安银行(成都高新支行),[],[],四川省,[],[],2,028-85185321,金融保险服务;银行;平安银行,160117
天府大道中段1268号天府软件园E区,武侯区,[],[],[],成都市,[],B001C8ULPK,[],"104.068611,30.539244",平安银行(成都天府软件园支行),[],[],四川省,[],[],2,028-61557901,金融保险服务;银行;平安银行,160117
成飞大道1号青羊工业总部基地A9栋,青羊区,[],[],[],成都市,[],B001C8MVE0,[],"103.960938,30.680441",平安银行(成都青羊支行),[],[],四川省,[],[],2,028-87300391,金融保险服务;银行;平安银行,160117
顺城大街206号,青羊区,[],[],[],成都市,[],B001C7WA5O,[],"104.071151,30.660556",平安银行(成都顺城支行),[],[],四川省,[],[],2,028-60160891,金融保险服务;银行;平安银行,160117
