address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,parking_type,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
[],武侯区,[],[],[],成都市,[],B0G1HDKK73,[],"103.983132,30.614302",四川天府银行,[],,[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
团三路与学院街交叉口北150米,郫都区,[],[],202,成都市,[],B0FFK7SEDQ,[],"103.981378,30.820876",四川天府银行,B0FFGLCV40,,[],四川省,[],[],2,[],金融保险服务;金融保险服务机构;金融保险机构,160000
东大街下东大街段258号,锦江区,[],[],[],成都市,[],B0FFHPFCKU,[],"104.084116,30.649275",四川天府银行(成都锦江支行),[],,[],四川省,[],[],2,028-86660303;028-86661515,金融保险服务;银行;银行,160100
双福二路39号附10号,成华区,[],[],[],成都市,[],B0FFK8GYPR,[],"104.118431,30.644987",四川天府银行(成都万年场支行),[],,[],四川省,[],[],2,028-63857673,金融保险服务;银行;银行,160100
天府二街138号-16,武侯区,[],[],[],成都市,[],B0FFF006BE,[],"104.066750,30.551788",四川天府银行(世纪城支行),[],,[],四川省,[],[],2,028-65178181;028-65193380;028-65187070,金融保险服务;银行;银行,160100
人民南路四段27号商鼎国际1栋1号,武侯区,[],[],202,成都市,[],B0FFHPFDLQ,[],"104.067727,30.618225",四川天府银行(成都高新支行),B0FFF2C17H,,[],四川省,[],[],2,028-85293388,金融保险服务;银行;银行,160100
武侯大道铁佛段289号亿臣国际1楼,武侯区,[],[],[],成都市,[],B0FFIKMNEJ,[],"103.988020,30.602680",四川天府银行(簇桥支行),[],,[],四川省,[],[],2,028-85373355,金融保险服务;银行;银行,160100
洗面桥街35-附2-3号附近,武侯区,[],[],[],成都市,[],B0FFI9C7Z2,[],"104.055946,30.640800",四川天府银行(武侯支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;中国邮政储蓄银行ATM|金融保险服务;银行;银行,160336|160100
白河路四段1-11号,双流区,[],[],[],成都市,[],B0FFIITGAD,[],"103.910152,30.567728",四川天府银行(双流支行),[],,[],四川省,[],[],2,028-61913315,金融保险服务;银行;银行,160100
永和路20-24号,温江区,[],[],[],成都市,[],B0FFIDWZIV,[],"103.854551,30.683435",四川天府银行(成都温江支行),[],,[],四川省,[],[],2,028-82725050,金融保险服务;银行;银行,160100
天久南巷205号附169号,武侯区,[],[],[],成都市,[],B0FFIQXZ36,[],"104.073340,30.592131",四川天府银行(成都天府长城社区支行),[],,[],四川省,[],[],2,028-85328468,金融保险服务;银行;银行,160100
北站东一路万达广场A组团肖家村三巷65号,金牛区,[],[],[],成都市,[],B0FFI6OITW,[],"104.075764,30.690101",四川天府银行(成都金牛支行),[],,[],四川省,[],[],2,028-65027337;028-65027351,金融保险服务;银行;银行,160100
锦华路一段79号汇丽汀香1层,锦江区,[],[],[],成都市,[],B0FFI89KBE,[],"104.098783,30.620993",四川天府银行(锦华支行),[],,[],四川省,[],[],2,028-86951101,金融保险服务;银行;银行,160100
人民中路三段4号附5-10,青羊区,[],[],[],成都市,[],B0FFHPFDLJ,[],"104.068405,30.673473",四川天府银行(成都江汉支行),[],,[],四川省,[],[],2,028-86267788,金融保险服务;银行;银行,160100
晋阳街道晋吉南路36号晶楠天地一楼,武侯区,[],[],[],成都市,[],B0FFJ8PACE,[],"104.007625,30.639217",四川天府银行(双楠支行),[],,[],四川省,[],[],2,028-85544520,金融保险服务;银行;银行,160100
金府路799号金府国际大厦1层,金牛区,[],[],[],成都市,[],B0FFIQZSCA,[],"104.042984,30.717820",四川天府银行(金府支行),[],,[],四川省,[],[],2,028-65350101,金融保险服务;银行;银行,160100
华金大道二段406号1栋附4号,青白江区,[],[],[],成都市,[],B0FFF4X57L,[],"104.256721,30.883349",四川天府银行(青白江支行),[],,[],四川省,[],[],2,028-83686060;028-83692200,金融保险服务;银行;银行,160100
万东路413号,双流区,[],[],[],成都市,[],B0G0OZTKBM,[],"104.090490,30.490513",四川天府银行(成都万东路支行),[],,[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
猛追湾街118号,成华区,[],[],[],成都市,[],B0FFIQYDPY,[],"104.096360,30.662936",四川天府银行(成都成华支行),[],,[],四川省,[],[],2,028-62313537;028-62313720,金融保险服务;银行;银行,160100
惠丰路106号,新津区,[],[],[],成都市,[],B0FFHPFDC0,[],"103.806971,30.414793",四川天府银行(新津支行),[],,[],四川省,[],[],2,028-82530008,金融保险服务;银行;银行,160100
蜀信东路5号龙湖·弗莱明戈二期,郫都区,[],[],[],成都市,[],B0FFHPFDMO,[],"103.894643,30.795528",四川天府银行(成都郫都支行),[],,[],四川省,[],[],2,028-65105533,金融保险服务;银行;银行,160100
金沙路与金荣巷交叉口北50米,金牛区,[],[],[],成都市,[],B0FFICI7ZX,[],"104.044431,30.687942",四川天府银行(成都金沙路社区支行),[],,[],四川省,[],[],2,028-87624131,金融保险服务;银行;银行,160100
瑞祥路140号,双流区,[],[],[],成都市,[],B0FFMHTCQ1,[],"104.036727,30.481545",四川天府银行(成都祥瑞路支行),[],,[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
北泉路930-932号,龙泉驿区,[],[],[],成都市,[],B0GDUS610R,[],"104.241340,30.571427",四川天府银行(龙泉驿支行),[],,[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
赵家寺路60号附6-7号,新都区,[],[],[],成都市,[],B0FFIPDN9V,[],"104.067315,30.763831",四川天府银行(大丰小微支行),[],,[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
马超西路1号(新城花园旁),新都区,[],[],[],成都市,[],B0FFIL36LW,[],"104.172415,30.810851",四川天府银行(成都新都支行),[],,[],四川省,[],[],2,028-83977225,金融保险服务;银行;银行,160100
青羊大道217号附202-203、219号附2,青羊区,[],[],[],成都市,[],B0G19S9BB4,[],"104.012095,30.677367",四川天府银行(成都分行营业部),[],,[],四川省,[],[],2,028-66666601,金融保险服务;银行;银行,160100
羊子山西路19号附6-2号,成华区,[],[],[],成都市,[],B0FFHPFD99,[],"104.097564,30.706360",四川天府银行(洪家坡社区支行),[],,[],四川省,[],[],2,028-86113929,金融保险服务;银行;银行,160100
都江堰大道277-279号,都江堰市,[],[],[],成都市,[],B0FFHPFDMH,[],"103.649849,30.987934",四川天府银行(都江堰支行),[],,[],四川省,[],[],2,028-89738806,金融保险服务;银行;银行,160100
光华东三路412号,青羊区,[],[],[],成都市,[],B0FFI6RN71,[],"103.964122,30.672123",四川天府银行(成都光华支行),[],,[],四川省,[],[],2,028-86648083;028-86648038,金融保险服务;银行;银行,160100
新怡路47号,成华区,[],[],[],成都市,[],B0FFILV69Z,[],"104.105457,30.685659",四川天府银行(浅水半岛社区支行),[],,[],四川省,[],[],2,028-83242163,金融保险服务;银行;银行,160100
悦和二街163-169号(龙湖九里晴川南门),双流区,[],[],[],成都市,[],B0FFKLWHCO,[],"104.076729,30.506618",四川天府银行(成都自贸区支行),[],,[],四川省,[],[],2,028-60633015;028-60633017,金融保险服务;金融保险服务机构;金融保险机构,160000
郫筒镇蜀信东路5号,郫都区,[],[],[],成都市,[],B0FFIQZSLL,[],"103.894556,30.795491",四川天府银行24小时自助银行(郫都支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
肖家村三巷63-67,金牛区,[],[],[],成都市,[],B0FFIQZSCB,[],"104.075793,30.690096",四川天府银行24小时自助银行(金牛支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
天久南巷205号附169号,武侯区,[],[],[],成都市,[],B0FFIQXNXI,[],"104.073000,30.592138",四川天府银行24小时自助银行(成都天府长城社区支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
晋吉南路82号附近,武侯区,[],[],[],成都市,[],B0FFK24DD9,[],"104.007635,30.639104",四川天府银行24小时自助银行(双楠支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
武侯大道铁佛段金履国际c座1层,武侯区,[],[],[],成都市,[],B0G2FS0DBG,[],"103.988036,30.602751",四川天府银行24小时自助银行(簇桥支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
智达二路1185号,武侯区,[],[],[],成都市,[],B0GR4CHPCJ,[],"103.983082,30.614386",四川天府银行西派城小微支行,[],,[],四川省,[],[],2,[],金融保险服务;银行;银行,160100
天府二街138号蜀都中心2号楼1层,武侯区,[],[],202,成都市,[],B0FFHPFDMF,[],"104.066955,30.551917",四川天府银行24小时自助银行(成都世纪城支行),B0FFFODH9Z,,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
人民南路四段27商鼎国际1栋1号,武侯区,[],[],202,成都市,[],B0FFIQZSLK,[],"104.067714,30.618466",四川天府银行24小时自助银行(成都高新支行),B0FFF2C17H,,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
人民中路三段4号附4-6,青羊区,[],[],[],成都市,[],B0FFIQXNVR,[],"104.068426,30.673493",四川天府银行24小时自助银行(江汉支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
金府路799号,金牛区,[],[],[],成都市,[],B0FFHPFDLL,[],"104.042924,30.717851",四川天府银行24小时自助银行(金府支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
光华东三路412号,青羊区,[],[],[],成都市,[],B0FFIAVWCG,[],"103.964093,30.672137",四川天府银行24小时自助银行(成都光华支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
都江堰大道277-279号,都江堰市,[],[],[],成都市,[],B0FFHPFDMI,[],"103.649832,30.987906",四川天府银行24小时自助银行(都江堰支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
学院街13附近,郫都区,[],[],[],成都市,[],B0FFKWYNE1,[],"103.981361,30.820939",四川天府银行24小时自助银行(团结镇小微支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
汇川街172号,金牛区,[],[],[],成都市,[],B0FFIP1WXO,[],"103.981350,30.719868",四川天府银行24小时自助银行(中海国际社区支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
金沙路与金荣巷交叉口西北50米,金牛区,[],[],[],成都市,[],B0FFIAYKTY,[],"104.044445,30.687956",四川天府银行24小时自助银行(金沙路社区支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
猛追湾街118号,成华区,[],[],[],成都市,[],B0FFHPFDMA,[],"104.096385,30.662966",四川天府银行24小时自助银行(成都成华支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
华金大道二段410-1号附近,青白江区,[],[],[],成都市,[],B0FFHPFCEY,[],"104.256636,30.883514",四川天府银行24小时自助银行(成都青白江支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
永和路20-24号,温江区,[],[],[],成都市,[],B001C9535A,[],"103.854558,30.683463",四川天府银行24小时自助银行(成都温江区支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
东升镇白河路四段1-11号,双流区,[],[],[],成都市,[],B0FFHPFDMX,[],"103.910036,30.567857",四川天府银行24小时自助银行(双流支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
[],双流区,[],[],[],成都市,[],B0G31CXPKE,[],"104.036768,30.481597",四川天府银行24小时自助银行,[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
武侯大道铁佛段237号附近,武侯区,[],[],202,成都市,[],B0FFIL7DT9,[],"103.988011,30.602623",四川天府银行24小时自助银行,B001C8ZIIH,,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
青羊大道217号附202-203、219号附2,青羊区,[],[],[],成都市,[],B0FFIQZSKV,[],"104.012093,30.677399",四川天府银行24小时自助银行(成都分行营业部),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
北泉路930号,龙泉驿区,[],[],[],成都市,[],B0GUZLFN70,[],"104.241330,30.571328",四川天府银行24小时自助银行(龙泉驿支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
欣然一街47号,成华区,[],[],[],成都市,[],B0FFHPFCQP,[],"104.105614,30.685797",四川天府银行24小时自助银行(成都浅水半岛社区支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
为民路与光荣北路交叉口东50米,金牛区,[],[],[],成都市,[],B0FFIQXOJ1,[],"104.047827,30.687244",四川天府银行24小时自助银行(一环路北一段),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
天府大道中段天府三街19号新希望国际C座2楼,武侯区,[],[],202,成都市,[],B0FFHOCD7I,[],"104.068172,30.545835",四川新网银行(天府大道中段辅路),B001C8NW03,,[],四川省,[],[],2,028-88615000,金融保险服务;银行;银行,160100
洗面桥街35号附2-3号,武侯区,[],[],[],成都市,[],B0FFHPFDM5,[],"104.055919,30.640685",四川天府银行24小时自助银行服务(武侯支行),[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
锦华路一段79号汇丽汀香1层,锦江区,[],[],[],成都市,[],B0FFIQXNVQ,[],"104.098749,30.621029",四川天府银行24小时自助银行服务,[],,[],四川省,[],[],2,[],金融保险服务;自动提款机;自动提款机,160300
东大街下东大街段258号,锦江区,[],[],[],成都市,[],B0FFMDSYMO,[],"104.084058,30.649129",四川天府银行大厦,[],,[],四川省,[],[],0,[],商务住宅;楼宇;商务写字楼,120201
天府四街588号,武侯区,[],[],[],成都市,[],B0FFHCB9XG,[],"104.055467,30.542967",中国邮政储蓄银行(天府支行),[],,[],四川省,[],[],2,028-88619988;95580,金融保险服务;银行;中国邮政储蓄银行,160139
