address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
[],金堂县,[],[],[],成都市,[],B0G3US1Y03,[],"104.582474,30.688993",成都德裕兴工业园区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],金牛区,[],[],308,成都市,[],B0G3US19CH,[],"104.101091,30.769444",中铁产业园A区5号楼,B0FFGB4YWZ,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
华金大道一段555号,青白江区,[],[],[],成都市,[],B0G3U92X8O,[],"104.216508,30.891545",顺邦物流园区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
花石路,郫都区,[],[],[],成都市,[],B0G3SXYJ7S,[],"103.973862,30.823262",星光传媒网红孵化基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],邛崃市,[],[],[],成都市,[],B0G3SCXQBV,[],"103.714007,30.381452",浩旺智能设备配套园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],308,成都市,[],B0G3OXDFR5,[],"104.070342,30.539072",天府软件园C区3幢,B0FFFOM6NH,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],都江堰市,[],[],[],成都市,[],B0G3ORC9N6,[],"103.596286,30.847162",都江堰大观创新创业中心B区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],双流区,[],[],[],成都市,[],B0G3OC9FAK,[],"104.084812,30.508704",5G科创中心,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
柏合镇车城东六路379号对面,龙泉驿区,[],[],[],成都市,[],B0G3O5AOBV,[],"104.225912,30.528655",聚力汽配产业港,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
涌泉街道花土路936号中国西部文化城27栋,温江区,[],[],[],成都市,[],B0G3MX3MET,[],"103.879393,30.669264",腾讯创新游戏孵化基地,[],[],四川省,[],[],0,028-62347376,商务住宅;产业园区;产业园区,120100
大丰镇诺特路99号大丰工业园,新都区,[],[],[],成都市,[],B0G3MO4XR1,[],"104.060575,30.756773",大丰工业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
永康大道辅路,邛崃市,[],[],[],成都市,[],B0G3MHX4ZR,[],"103.698687,30.397226",融捷新能源汽车电池邛崃产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
车城西一路与经开区南三路交叉路口东南侧,龙泉驿区,[],[],[],成都市,[],B0G3M93D13,[],"104.188614,30.548541",英川汽配工业港,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
香岛大道1533号,青白江区,[],[],308,成都市,[],B0G3LCJK48,[],"104.295097,30.841615",成都国际铁路港综合保税区,B0HGFU5IBO,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],新都区,[],[],[],成都市,[],B0G3KYOHQI,[],"104.120077,30.822242",新都智慧物流产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],[],成都市,[],B0G3FZGUSZ,[],"104.067478,30.535775",成都创孵社区CIIC,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区|生活服务;生活服务场所;生活服务场所,120100|070000
[],武侯区,[],[],[],成都市,[],B0G3FHIX81,[],"104.060575,30.591335",企业孵化大市场,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],武侯区,[],[],[],成都市,[],B0G3F7MKGV,[],"104.063106,30.538178",中国成都留学人员创业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
香岛大道1509号附近,青白江区,[],[],[],成都市,[],B0G3F7MDBM,[],"104.300206,30.840775",(四川)自由贸易试验区青白江铁路港片区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],新津区,[],[],[],成都市,[],B0G3DS1RQ8,[],"103.907620,30.373533",普洛斯新津物流园B-3号楼,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
元兴路(建工精品石材园2期),青白江区,[],[],[],成都市,[],B0G3DL4ROX,[],"104.257491,30.833418",升裕加工区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],郫都区,[],[],[],成都市,[],B0G3DD26J6,[],"103.938137,30.768485",成都电子信息产业功能区(高新西区),[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],郫都区,[],[],[],成都市,[],B0G3DC1UBX,[],"103.914108,30.802303",成都电子信息产业功能区(高新西区),[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
抚琴西路181号5楼503号,金牛区,[],[],[],成都市,[],B0G3CK5UEE,[],"104.032768,30.680836",侠客岛里办公空间(抚琴岛),[],[],四川省,[],[],0,028-85197396,商务住宅;产业园区;产业园区,120100
宝峰西路与清云北路交汇处,新津区,[],[],[],成都市,[],B0G3C19FM9,[],"103.898485,30.375753",成都亿达天府智慧交通科技城,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
双楠大道下段,双流区,[],[],[],成都市,[],B0G3AB8L1T,[],"103.913651,30.603487",成都蛟龙港,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],崇州市,[],[],[],成都市,[],B0G3A7I0X6,[],"103.750465,30.659314",学生创业基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
皇花园路与南丰大道交叉路口往西南约50米,新都区,[],[],[],成都市,[],B0G3A7HSRI,[],"104.058937,30.751543",中大网新创业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],金牛区,[],[],308,成都市,[],B0G35SWHEO,[],"104.097532,30.770511",中铁产业园A区B2号楼,B0FFGB4YWZ,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],彭州市,[],[],[],成都市,[],B0G35HVV4U,[],"104.099737,30.994279",蜀国蔬香生态蔬菜产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
天龙大道1333号,金牛区,[],[],[],成都市,[],B0G33YV92F,[],"104.094924,30.771648",西部北斗产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
四号路,郫都区,[],[],[],成都市,[],B0G336T05A,[],"103.912334,30.815308",广银科技园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
成渝环线高速(嘉民新都北工业园西北侧约250米),新都区,[],[],[],成都市,[],B0G336S2HD,[],"104.219189,30.860086",成都绿色循环科技产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],龙泉驿区,[],[],[],成都市,[],B0G31SW4E9,[],"104.194776,30.561598",经开孵化园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
新街(天开桥加油站东侧约150米),大邑县,[],[],[],成都市,[],B0G31HX7BQ,[],"103.684971,30.525086",大邑县现代农业青年(大学生)创新创业孵化中心,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
求实路,双流区,[],[],[],成都市,[],B0G316WNT1,[],"104.011763,30.469271",上品恒达建筑工程有限公司电子科大国家大学科技园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
兴隆街道天明大桥,双流区,[],[],[],成都市,[],B0G30PHV90,[],"104.120651,30.415608",鹿溪智谷,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
京昆线辅路,双流区,[],[],[],成都市,[],B0G2ZRIE63,[],"103.920872,30.540271",老兵创业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
四川工商职业技术学院,都江堰市,[],[],[],成都市,[],B0G2YHRWMM,[],"103.694413,30.913145",四川工商职业技术学院创新创业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
[],简阳市,[],[],[],成都市,[],B0G2X1PRQS,[],"104.381512,30.444066",升达家居木门简阳生产基地,[],[],四川省,[],[],0,028-62616546,商务住宅;产业园区;产业园区,120100
空港四路与牧华路二段交叉路口往西南约100米,双流区,[],[],[],成都市,[],B0G2V7M44G,[],"103.976367,30.494138",中汉太阳能聚光光伏产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
中集大道,新都区,[],[],[],成都市,[],B0G2UP20OZ,[],"104.114362,30.788517",新都智慧物流产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
西芯大道30号附近,郫都区,[],[],[],成都市,[],B0G2U95NVE,[],"103.948993,30.747517",成都电子信息产业功能区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
石板滩街道跃飞路468号,新都区,[],[],[],成都市,[],B0G2U95AGA,[],"104.250352,30.730917",成都产业集团香创智造园区标准化厂房,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
万顺一路与西三环路三段交叉路口往东约200米,武侯区,[],[],[],成都市,[],B0G2U60T1G,[],"103.986906,30.655931",锦西影视创新基地,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
东升街道西航港大道北段151号,双流区,[],[],[],成都市,[],B0G2U606TP,[],"103.940974,30.608468",四川·成都电商直播产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
红豆树街,锦江区,[],[],[],成都市,[],B0G2OOHB5Y,[],"104.135563,30.602934",锦江区新兴传媒功能区(枫树园区),[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
成简快速路,简阳市,[],[],[],成都市,[],B0G2ND2YRJ,[],"104.505822,30.428054",简阳市返乡创业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
佳灵路9号,武侯区,[],[],[],成都市,[],B0G2M4Y39Z,[],"104.027380,30.630185",三国创意园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
临波路165号,金堂县,[],[],[],成都市,[],B0G2KX1Q4K,[],"104.543084,30.700895",成都大爱感恩环保科技园区,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
