address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
祥福镇大港建材城民盛路9号,青白江区,[],[],[],成都市,[],B0FFHCRNHP,[],"104.242601,30.814644",宇培成都青白江物流园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
护贤西二路138号-48附近,彭州市,[],[],[],成都市,[],B0FFHC84N6,[],"103.948039,30.945242",川纺电商产业园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
安靖银都饭店北50米(土地街北),郫都区,[],[],[],成都市,[],B0FFH9B9RM,[],"104.035258,30.755252",土地村物流园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
经开区南六路99号,龙泉驿区,[],[],[],成都市,[],B0FFH8F8AC,[],"104.192510,30.523242",平安成都龙泉驿物流园1期,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
惠通路,大邑县,[],[],[],成都市,[],B0FFH836ND,[],"103.492624,30.528979",中国大邑绿色食品产业园,[],[],四川省,[],[],0,028-61377750,商务住宅;产业园区;产业园区,120100
郫都区高新西区合作路89号龙湖时代天街19栋1616,郫都区,[],[],[],成都市,[],B0FFH49N6N,[],"103.921376,30.752288",智汇青年创业孵化园,[],[],四川省,[],[],1,[],商务住宅;产业园区;产业园区,120100
二仙桥北路28号,成华区,[],[],[],成都市,[],B0FFH45P2C,[],"104.130720,30.683840",四川省社会组织孵化园,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
湖畔路北段,双流区,[],[],[],成都市,[],B0FFH2QT8M,[],"104.081173,30.402767",成都科学城,[],[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
昭忠祠街与红星路一段交叉口东南50米,锦江区,[],[],[],成都市,[],B0FFH2KMBO,[],"104.088321,30.667037",成都国家广告产业园,[],[],四川省,[],[],0,028-86930328,商务住宅;产业园区;产业园区,120100
益州大道北段1599号,武侯区,[],[],308,成都市,[],B0FFH2E2C2,[],"104.060033,30.573135",成都高新科技孵化园9号园区E座,B0FFF07GGH,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
太平园中三路333号,武侯区,[],[],308,成都市,[],B0FFGXK8RI,[],"104.009383,30.624065",星狮地产大合仓,B001C8MOML,[],四川省,[],[],0,[],商务住宅;产业园区;产业园区,120100
海峡科技产业园锦绣大道南段99号,温江区,[],[],[],成都市,[],B0FFGSH0ED,[],"103.813549,30.670396",成都SBI创业街,[],[],四川省,[],[],1,[],商务住宅;产业园区;产业园区|购物服务;特色商业街;特色商业街,120100|061000
