address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
锦城大道666号,武侯区,[],[],308,成都市,[],B0FFHOJC0S,[],"104.061225,30.576407",奥克斯广场西区,B001C8NYYI,[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
光华东二路98号9栋(光华北三路西),青羊区,[],[],308,成都市,[],B0FFHLKUY9,[],"103.963179,30.673088",中铁西城·新天地9栋,B001C94YUD,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
鹤山北路7附1,蒲江县,[],[],[],成都市,[],B0FFHFVL42,[],"103.510654,30.194227",奥特莱斯(蒲江店),[],[],四川省,[],[],0,[],购物服务;服装鞋帽皮具店;品牌服装店,061101
鹤山南路18号,蒲江县,[],[],[],成都市,[],B0FFHF6T0R,[],"103.514289,30.190258",中节能世纪广场,[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
崇阳街道世纪大道1396号,崇州市,[],[],[],成都市,[],B0FFG21AD0,[],"103.694949,30.6148",崇州综合商贸城,[],[],四川省,[],[],0,028-82390303,购物服务;综合市场;综合市场,060700
郫都区高新西区团结镇学院路67号四川传媒学院花篱校区,郫都区,[],[],[],成都市,[],B0FFHNFCLU,[],"103.985728,30.824508",星光广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
天府大道1199号成都银泰中心in99B1,武侯区,[],[],202,成都市,[],B0HAJ17GJJ,[],"104.070174,30.585159",成都银泰中心in99-POP MART,B0FFJUGAZ9,[],四川省,[],[],0,[],购物服务;购物相关场所;购物相关场所,060000
天府大道南段255号,双流区,[],[],308,成都市,[],B0H6DZ664F,[],"104.071099,30.530445",远大购物中心-A馆,B0FFHGAIU7,[],四川省,[],[],0,[],购物服务;商场;商场,060100
东御街18号附近,锦江区,[],[],[],成都市,[],B0H6BDEX0Q,[],"104.066429,30.656188",天府红购物中心,[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
东大街下东大街169号,锦江区,[],[],308,成都市,[],B0H6774D0P,[],"104.082913,30.650614",晶融汇购物中心2期,B0FFG4XGTA,[],四川省,[],[],0,[],购物服务;商场;商场,060100
航空港珠江路600号,双流区,[],[],[],成都市,[],B0GUXOBISE,[],"104.007334,30.571809",蓝光C.C.可可摩A馆,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
磨房街28号附近,锦江区,[],[],[],成都市,[],B0GUO74CNP,[],"104.083529,30.648298",西部国际金融中心-商场,[],[],四川省,[],[],0,[],购物服务;购物相关场所;购物相关场所,060000
道回龙大道99号,简阳市,[],[],[],成都市,[],B0GKUSH01K,[],"104.518950,30.435374",亿联智慧商贸城2期,[],[],四川省,[],[],0,028-27277777,购物服务;商场;普通商场,060102
[],新都区,[],[],308,成都市,[],B0GKCZRC1J,[],"104.144453,30.790944",传化商业广场1栋,B0FFLCBPHL,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
[],武侯区,[],[],308,成都市,[],B0GKAS0YVD,[],"104.043003,30.636923",罗马假日广场2号楼,B001C7XFWD,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
万东路,双流区,[],[],[],成都市,[],B0G3VGCDC2,[],"104.082412,30.490536",和悦里购物中心,[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
北星大道东200米,金牛区,[],[],[],成都市,[],B0G3US12DA,[],"104.078671,30.793788",成都国际商贸城2区,[],[],四川省,[],[],0,[],购物服务;综合市场;综合市场,060700
[],双流区,[],[],[],成都市,[],B0G3L4EJOB,[],"104.053441,30.506520",种海购物中心,[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
[],大邑县,[],[],308,成都市,[],B0G3DU30M5,[],"103.521020,30.575786",润驰国际广场D区,B001C8NPND,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
同心中路119附近,青白江区,[],[],[],成都市,[],B0G3CN6HQV,[],"104.280115,30.822386",国凤商场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
[],成华区,[],[],308,成都市,[],B0G39UPPZH,[],"104.143042,30.679982",中国铁建广场6街,B0FFG9VIV1,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
人民北路一段与一环路北二段交叉路口往西南约150米,金牛区,[],[],308,成都市,[],B0G33YT49R,[],"104.071438,30.684662",龙湖·上城天街-下沉广场,B0FFITSORY,[],四川省,[],[],0,[],购物服务;商场;商场,060100
[],金堂县,[],[],[],成都市,[],B0G2ZSFI5Y,[],"104.460130,30.850677",万千购物中心1号楼,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
[],金堂县,[],[],[],成都市,[],B0G2ZSEO7E,[],"104.459881,30.850547",万千购物中心2号楼,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
[],锦江区,[],[],[],成都市,[],B0G2ZRGVDH,[],"104.137150,30.598859",MANGO中心,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
至善南路,龙泉驿区,[],[],[],成都市,[],B0G2SCLDU2,[],"104.208535,30.580168",海亮·彩悦时光,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
新建路133号,金堂县,[],[],[],成都市,[],B0G2HUQPO6,[],"104.429739,30.854191",夔城,[],[],四川省,[],[],0,028-84908888,购物服务;商场;商场,060100
解放路一段,金牛区,[],[],202,成都市,[],B0G2BZA2VL,[],"104.090049,30.692363",成都国际商贸城功能区,B001C90TJ7,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
一环路,金牛区,[],[],[],成都市,[],B0G2AZ5G25,[],"104.062343,30.685734",成都国际商贸城功能区,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
交子大道,武侯区,[],[],[],成都市,[],B0G2A63FQ6,[],"104.057597,30.583051",合景悠方,[],[],四川省,[],[],0,[],购物服务;商场;商场,060100
白衣上街二段297,双流区,[],[],308,成都市,[],B0G29HNB0H,[],"103.912884,30.597047",优品道广场B馆,B0FFG1OEDK,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
雄州大道沱江四桥前行500米处,简阳市,[],[],[],成都市,[],B0G27XGVUP,[],"104.519927,30.43498",简阳亿联国际商贸城,[],[],四川省,[],[],0,028-27277777,购物服务;商场;普通商场,060102
顺城街26号,双流区,[],[],[],成都市,[],B0G26YKOV5,[],"103.921612,30.573730",弘名商业广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
都江堰大道一段,都江堰市,[],[],[],成都市,[],B0G2165KZN,[],"103.624863,30.994679",成都百货大楼(都江堰店),[],[],四川省,[],[],0,[],购物服务;商场;商场,060100
红石东街173号,双流区,[],[],[],成都市,[],B0G1ZP2NE8,[],"103.855591,30.547732",世纪又好多购物中心,[],[],四川省,[],[],0,[],购物服务;超级市场;超市,060400
驷马桥街与洪山路交叉路口西南侧,成华区,[],[],[],成都市,[],B0G1RO3HOR,[],"104.096525,30.703274",东立国际(购物)广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
武阳中路149号,新津区,[],[],[],成都市,[],B0G10SF99D,[],"103.815433,30.410552",新津商业城,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
X058(金乐路),金堂县,[],[],[],成都市,[],B0G10HDTXC,[],"104.731588,30.629284",百货大楼,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
斑竹园兴城大道1689号,新都区,[],[],[],成都市,[],B0G10DENXD,[],"104.108277,30.808541",润茂酒店用品文博园一期,[],[],四川省,[],[],0,[],购物服务;商场;商场,060100
顺城大街280号附近,青羊区,[],[],[],成都市,[],B0G107HD7T,[],"104.070994,30.665611",成都地一大道,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
黄河路549号,新都区,[],[],[],成都市,[],B0G0XSZNHB,[],"104.191306,30.815033",享买乐购物中心(新都店),[],[],四川省,[],[],0,15882353012,购物服务;购物相关场所;购物相关场所,060000
[],武侯区,[],[],[],成都市,[],B0G0PSDUJY,[],"104.052401,30.591485",leporc南城都汇,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
斑竹园镇竹园大道155、157、159、161号,新都区,[],[],[],成都市,[],B0G0NBWUAW,[],"104.068050,30.819364",世纪惠联,[],[],四川省,[],[],0,18358811781,购物服务;超级市场;超市,060400
杉板桥路669号,成华区,[],[],[],成都市,[],B0G0KCU1MZ,[],"104.134132,30.671773",招商花园城购物中心,[],[],四川省,[],[],0,028-62184988,购物服务;商场;商场,060100
红星路三段与红星路二段交叉路口西南侧,锦江区,[],[],[],成都市,[],B0G0D59K8T,[],"104.080719,30.656281",百盛购物中心-收银台,[],[],四川省,[],[],0,[],购物服务;购物相关场所;购物相关场所,060000
银润北二路227号,郫都区,[],[],[],成都市,[],B0G07L4XEZ,[],"103.942014,30.768272",嘉峰七彩生活广场,[],[],四川省,[],[],0,028-87806696,购物服务;商场;普通商场,060102
图腾国际商业街五栋二百货大楼,新津区,[],[],[],成都市,[],B0G0719QG3,[],"103.811606,30.412274",二百货大楼,[],[],四川省,[],[],0,[],购物服务;购物相关场所;购物相关场所,060000
聚荟街与千龙路交叉路口往西北约100米(万达广场),武侯区,[],[],202,成都市,[],B0FFMEOW7O,[],"103.999291,30.620761",万达广场B区,B0FFGWUOC3,[],四川省,[],[],0,[],购物服务;商场;商场,060100
昭觉寺南路,成华区,[],[],202,成都市,[],B0FFMCRPUS,[],"104.095900,30.702767",东立国际广场A区,B001C806IL,[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
交子大道500号,武侯区,[],[],[],成都市,[],B0FFMCB7QM,[],"104.053551,30.583040",成都摩方购物中心,[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
