address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
洗面桥街20号,武侯区,[],[],[],成都市,[],B0FFJGP7GJ,[],"104.055675,30.638463",国贸时尚汇,[],[],四川省,[],[],1,028-85033418,购物服务;商场;商场,060100
天府大道中段1388号,武侯区,[],[],[],成都市,[],B0FFIQFWOG,[],"104.065947,30.535510",成都红唐,[],[],四川省,[],[],0,028-60109555;028-62319098,购物服务;商场;普通商场,060102
天府二街999,武侯区,[],[],[],成都市,[],B001C8O160,[],"104.044068,30.550442",伊藤洋华堂,[],[],四川省,[],[],0,028-68611111,购物服务;商场;购物中心,060101
玉林南路15号,武侯区,[],[],[],成都市,[],B001C0ACZL,[],"104.058036,30.620563",玉林生活广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
光华大道三段1599号,温江区,[],[],202,成都市,[],B0FFF09XEV,[],"103.859751,30.683161",新光天地,B0FFM9Y4QR,[],四川省,[],[],1,18108183669,购物服务;商场;商场,060100
海峡两岸科技园新华大道199号,温江区,[],[],[],成都市,[],B0FFHMGE3M,[],"103.812694,30.649698",温江·奥特莱斯,[],[],四川省,[],[],0,028-82669885,购物服务;商场;普通商场,060102
西大街1号新城市广场1-5层,青羊区,[],[],[],成都市,[],B001C7RPK8,[],"104.057541,30.673998",百盛(西大街店),[],[],四川省,[],[],0,028-86780126;18200316926,购物服务;商场;购物中心,060101
猛追湾街94号,成华区,[],[],[],成都市,[],B0FFH04WH7,[],"104.094729,30.662087",成都339,[],[],四川省,[],[],0,028-84350339,购物服务;商场;购物中心,060101
光华大道三段1588号合生汇B1,温江区,[],[],202,成都市,[],B0FFHJDDU0,[],"103.86337,30.685464",伊藤洋华堂,B0G2HHPMPI,[],四川省,[],[],0,028-61712111,购物服务;商场;普通商场,060102
一环路西北段188号,郫都区,[],[],[],成都市,[],B0FFGMM5IB,[],"103.887814,30.811162",百伦广场(郫都店),[],[],四川省,[],[],1,028-64142898,购物服务;商场;购物中心,060101
五块石西路1号,金牛区,[],[],[],成都市,[],B0FFF5TSH1,[],"104.065541,30.709961",龙湖成都北城天街,[],[],四川省,[],[],0,028-83116677,购物服务;商场;购物中心,060101
益州大道南端滨河路二段169号(假日酒店旁),双流区,[],[],308,成都市,[],B0FFF3LLL0,[],"104.053717,30.522644",戛纳湾·印像,B0FFJDO2OW,[],四川省,[],[],0,[],购物服务;商场;商场,060100
红星路3段99号,锦江区,[],[],[],成都市,[],B001C8X4RV,[],"104.079683,30.653141",银石广场,[],[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
东大街上东大街段133号,锦江区,[],[],[],成都市,[],B001C7UMZ4,[],"104.073853,30.654982",壹购潮流广场,[],[],四川省,[],[],1,028-86660999,购物服务;商场;购物中心,060101
红星路3段10号附5号,锦江区,[],[],[],成都市,[],B0FFGNM1BX,[],"104.079552,30.655588",第一城,[],[],四川省,[],[],0,[],购物服务;商场;商场,060100
海椒市街4号,锦江区,[],[],308,成都市,[],B001C8QJJS,[],"104.102613,30.640588",东方新城生活广场,B001C8MQEK,[],四川省,[],[],0,[],购物服务;商场;购物中心,060101
东紫路618号,成华区,[],[],[],成都市,[],B0FFGCDYPI,[],"104.110373,30.714181",东林生活广场,[],[],四川省,[],[],0,17681826494,购物服务;商场;购物中心,060101
犀团路1801号,郫都区,[],[],[],成都市,[],B0FFGLC9YQ,[],"103.967636,30.795241",和润生活广场,[],[],四川省,[],[],0,[],购物服务;商场;普通商场,060102
日月大道一段978号万达广场中庭处1-2层,青羊区,[],[],201,成都市,[],B0FFHJ33OI,[],"103.973448,30.675483",苏宁易购(青羊万达广场店),B0FFFZPMAL,[],四川省,[],[],1,18919560911,购物服务;家电电子卖场;苏宁,060304
解放路二段凤凰大厦南侧(近北门大桥),金牛区,[],[],[],成都市,[],B0FFGY9212,[],"104.078398,30.679878",城隍庙电子市场,[],[],四川省,[],[],0,028-83334296,购物服务;家电电子卖场;综合家电商场|购物服务;家电电子卖场;数码电子,060301|060306
东街139号,大邑县,[],[],[],成都市,[],B0FFF0070T,[],"103.52345,30.586642",百伦新宸百货(大邑店),[],[],四川省,[],[],0,028-88287986;13438311532;028-88212380,购物服务;商场;普通商场,060102
五块石东一路与五块石路交汇处南50米,金牛区,[],[],[],成都市,[],B001C7WCY0,[],"104.066988,30.706535",五块石电器市场,[],[],四川省,[],[],0,028-83155517;13550155517,购物服务;家电电子卖场;综合家电商场,060301
龙泉街道建设路61号,龙泉驿区,[],[],[],成都市,[],B001C7UWND,[],"104.272302,30.560689",摩尔华盛购物中心,[],[],四川省,[],[],0,028-84848508,购物服务;商场;普通商场,060102
天泰路338号成都高新豪生大酒店4楼,武侯区,[],diner,202,成都市,[],B0FFFA7OJH,[],"104.069001,30.590493",银座,B001C8O7UW,[],四川省,[],[],0,028-82829999;028-82820289,餐饮服务;餐饮相关场所;餐饮相关,050000
