address,adname,biz_ext,biz_type,childtype,cityname,distance,id,importance,location,name,parent,photos,pname,poiweight,shopid,shopinfo,tel,type,typecode
草市街2号光大国际商城1-3层,青羊区,[],[],[],成都市,[],B001C8MX1D,[],"104.074158,30.670223",人人乐(新华店),[],[],四川省,[],[],0,15828373278;028-68505678;028-68505668,购物服务;超级市场;超市,060400
蜀汉路,金牛区,[],[],[],成都市,[],B001C8MJ9N,[],"104.014539,30.694106",家乐福(羊西店),[],[],四川省,[],[],0,028-87560830,购物服务;超级市场;家乐福,060401
汇川路288号中海国际购物公园B1-1层,金牛区,[],[],202,成都市,[],B001C8MVL4,[],"103.98018,30.721856",沃尔玛(蜀西店),B0FFGILHPD,[],四川省,[],[],0,028-62019555;028-62019501,购物服务;超级市场;沃尔玛,060402
成宏路83号附7号,成华区,[],[],[],成都市,[],B0FFFROM4D,[],"104.177669,30.694285",红旗超市(龙潭经济城便利店),[],[],四川省,[],[],0,028-61371422,购物服务;超级市场;超市,060400
同安镇锦绣路101阳光花苑A1楼12-15号,龙泉驿区,[],[],[],成都市,[],B001C8MNZ7,[],"104.304114,30.598267",舞东风(龙泉锦绣路分店),[],[],四川省,[],[],0,18382359514;15719467094,购物服务;便民商店/便利店;便民商店/便利店,060200
锦华路二段96号1-2层,锦江区,[],[],[],成都市,[],B001C7WGGN,[],"104.098211,30.606829",人人乐(康郡店),[],[],四川省,[],[],0,028-68505790;028-68505798,购物服务;超级市场;超市,060400
净居寺西街140.142号15栋1楼26号,锦江区,[],[],[],成都市,[],B001C7YD0C,[],"104.101580,30.620320",买多多超市,[],[],四川省,[],[],0,18628221010;028-86666249,购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,060400|060200
犀浦两河村学林雅苑,郫都区,[],[],[],成都市,[],B001C8019Q,[],"103.982593,30.737517",红旗超市(学林雅苑分场),[],[],四川省,[],[],0,028-68209110,购物服务;超级市场;超市,060400
永康路17号正成广场负一楼家乐福,武侯区,[],[],202,成都市,[],B0FFG7CQ5U,[],"103.980865,30.645170",家乐福(永康店),B001C8QJIX,[],四川省,[],[],0,028-65273208;028-65273232;028-65273231,购物服务;超级市场;家乐福,060401
东升镇白衣上街177号优品道广场1层,双流区,[],[],202,成都市,[],B0FFF65IKU,[],"103.914130,30.594885",苏宁易购(城南优品道广场店),B0FFG1OEDK,[],四川省,[],[],1,028-82848800;15928562354,购物服务;家电电子卖场;苏宁,060304
枫树街2号卓锦曼购中心B1-B2层,锦江区,[],[],202,成都市,[],B0FFI97OND,[],"104.135700,30.595489",沃尔玛(卓锦曼购物中心店),B0FFGX1LOR,[],四川省,[],[],0,4008301366;028-62677008,购物服务;超级市场;沃尔玛,060402
二环路北三段西南建材中心C大楼1楼,金牛区,[],[],[],成都市,[],B001C7WJMN,[],"104.084611,30.694126",舞东风超市(北三店),[],[],四川省,[],[],0,15719461066,购物服务;便民商店/便利店;便民商店/便利店,060200
宝林镇桥南街87-89号,邛崃市,[],[],[],成都市,[],B001C8006J,[],"103.503872,30.381716",富恒超市,[],[],四川省,[],[],0,028-88809502;028-88729303,购物服务;便民商店/便利店;便民商店/便利店,060200
怡和新城E区20栋1-3号,龙泉驿区,[],[],[],成都市,[],B001C8OLN8,[],"104.261565,30.577807",红旗超市,[],[],四川省,[],[],0,028-88454173,购物服务;超级市场;超市,060400
益州大道1999号银泰城购物中心B1层,武侯区,[],[],201,成都市,[],B0FFFV312Y,[],"104.058084,30.541173",永辉超市BRAVO YH(银泰城店),B001C95DSR,[],四川省,[],[],0,028-69060520,购物服务;超级市场;超市,060400
琉璃路566号(近翡翠城),锦江区,[],[],[],成都市,[],B001C92CPD,[],"104.093814,30.613279",华润万家(锦江翡翠城店),[],[],四川省,[],[],0,028-86931806;028-83120630,购物服务;超级市场;华润,060403
红岩镇会元街114号,彭州市,[],[],[],成都市,[],B001C80KM7,[],"104.007136,31.144588",华亿超市(红岩店),[],[],四川省,[],[],0,18728088856,购物服务;超级市场;超市,060400
天和路307号附12号,武侯区,[],[],[],成都市,[],B001C7WGD7,[],"104.072919,30.602061",舞东风(天仁路分店),[],[],四川省,[],[],0,15719461163,购物服务;便民商店/便利店;便民商店/便利店,060200
新鸿南路86号48栋,成华区,[],[],[],成都市,[],B001C7Y3J0,[],"104.104236,30.661144",佳佳便民超市(新鸿路店),[],[],四川省,[],[],0,[],购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,060400|060200
华阳街道南湖西路2-10号,双流区,[],[],[],成都市,[],B001C95DS1,[],"104.041387,30.498709",红旗超市(南湖国际便利店),[],[],四川省,[],[],0,028-85639486,购物服务;便民商店/便利店;便民商店/便利店,060200
翔凤大道196号(金沙鸟巢),都江堰市,[],[],[],成都市,[],B001C7ZWJ8,[],"103.632886,30.980155",物美超市(翔凤路),[],[],四川省,[],[],0,15828237531;13683484378,购物服务;便民商店/便利店;便民商店/便利店,060200
兴园三路与牧山大道交汇处融信时代广场B1层,新津区,[],[],202,成都市,[],B0FFGRNQEL,[],"103.818232,30.425533",永辉超市BRAVO YH(新津时代广场店),B0FFGR35TW,[],四川省,[],[],0,028-60160607;028-60160600,购物服务;超级市场;超市,060400
东华二路14-16号,成华区,[],[],[],成都市,[],B0FFHK1097,[],"104.140125,30.683480",红旗超市(东华二路店),[],[],四川省,[],[],0,028-84368491,购物服务;便民商店/便利店;便民商店/便利店,060200
文荟路366-372号,都江堰市,[],[],[],成都市,[],B001C8NUH7,[],"103.647762,30.997995",红旗超市(都江堰儒城春天分场店),[],[],四川省,[],[],0,028-87175165,购物服务;超级市场;超市,060400
东坡路17栋1层417号、419号,青羊区,[],[],[],成都市,[],B001C80CTV,[],"103.994005,30.661066",舞东风(0255东坡路分店),[],[],四川省,[],[],0,028-81720933;15719461255,购物服务;便民商店/便利店;便民商店/便利店,060200
互助路8号附1号,金牛区,[],[],[],成都市,[],B001C7WKKI,[],"104.082303,30.684779",红旗超市(互助路店),[],[],四川省,[],[],0,028-83378664,购物服务;超级市场;超市,060400
高新区天环街410、418、430号,武侯区,[],[],[],成都市,[],B0FFGSE2SC,[],"104.072669,30.592803",红旗超市(中洲南熙里分场),[],[],四川省,[],[],0,028-84128052;028-86028828,购物服务;超级市场;超市,060400
榆钱街297、299号,锦江区,[],[],[],成都市,[],B001C95BGS,[],"104.151072,30.603394",红旗超市(榆钱街),[],[],四川省,[],[],0,18982108329;028-64658357,购物服务;超级市场;超市,060400
星辰路78号,金牛区,[],[],[],成都市,[],B001C09ML4,[],"104.045595,30.706539",人人乐(九里店),[],[],四川省,[],[],0,028-68505499;028-68505500,购物服务;超级市场;超市,060400
闻笛路26-28号1层,青羊区,[],[],[],成都市,[],B0FFF00B2I,[],"103.961801,30.685972",红旗超市(闻笛路便利店),[],[],四川省,[],[],0,028-61312329,购物服务;便民商店/便利店;便民商店/便利店,060200
外双楠鹭岛路33号鹭岛国际社区三期4号1层,武侯区,[],[],[],成都市,[],B001C8O54C,[],"104.013422,30.645441",7-ELEVEn(鹭岛步行街店),[],[],四川省,[],[],0,028-62547608;18200328762,购物服务;便民商店/便利店;7-ELEVEn便利店,060201
建兴路58号1层,成华区,[],[],[],成都市,[],B001C8OJV0,[],"104.113997,30.670827",乐多便利店(建兴路店),[],[],四川省,[],[],0,028-83551088,购物服务;便民商店/便利店;便民商店/便利店,060200
蜀汉路98号,金牛区,[],[],[],成都市,[],B001C09IOW,[],"104.02746,30.682787",欧尚超市(金牛店),[],[],四川省,[],[],1,028-82831799;4001012211,购物服务;超级市场;超市,060400
花牌坊南薰巷17号附14号,金牛区,[],[],[],成都市,[],B001C8N3KQ,[],"104.048949,30.679382",红旗超市(南薰巷便利店),[],[],四川省,[],[],0,028-62010299,购物服务;便民商店/便利店;便民商店/便利店,060200
武侯祠横街西南民族大学游泳池1-2号,武侯区,[],[],[],成都市,[],B0FFG4EOK1,[],"104.051171,30.638833",民大超市(武侯二店),[],[],四川省,[],[],0,18227673194,购物服务;超级市场;超市,060400
碧林街99号国际社区橙郡3期9幢1层110号,金牛区,[],[],202,成都市,[],B001C8N4D8,[],"103.977953,30.716835",红旗超市(橙郡便利店),B0FFFPE4LY,[],四川省,[],[],0,028-87572187,购物服务;便民商店/便利店;便民商店/便利店,060200
雅和南一路附近,双流区,[],[],[],成都市,[],B001C8NPLC,[],"104.074077,30.509682",红旗便利店,[],[],四川省,[],[],0,028-81504406,购物服务;便民商店/便利店;便民商店/便利店,060200
南湖路91-99号,双流区,[],[],[],成都市,[],B001C8MO52,[],"104.060503,30.497695",红旗超市(华阳南阳锦城店),[],[],四川省,[],[],0,028-81444077,购物服务;超级市场;超市,060400
