重庆润栎建筑劳务有限公司	106.559674,29.534276
重庆时达享泰商贸有限公司	106.486320,29.563320
华勋净宇（重庆）科技有限公司	106.571724,29.603693
重庆洛杰清洁服务有限公司	106.413458,29.800958
重庆睿尼尔装饰工程有限公司	106.543570,29.580177
重庆途成建筑劳务有限公司	106.377613,29.585986
重庆谷瑟文化传播有限公司	106.614343,29.665802
重庆市巨恒物业服务有限公司	106.254348,29.266798
重庆吉浩农副产品有限公司	106.289741,29.431784
重庆新自然环保工程有限公司	106.308390,29.599267
重庆莱锲尔生物科技有限公司	106.388540,29.800460
重庆市陌耕生态农业科技有限公司	106.391469,29.802721
重庆九州星科技有限公司	106.412053,29.551250
重庆铭尼工程管理中心	106.398914,29.819861
重庆神盾宇宙环保科技有限公司	106.636945,29.497970
重庆聚梦家装饰工程有限公司	106.277130,29.424281
重庆虹燃旅游有限公司	106.765990,29.348238
重庆锦隆歆商贸有限公司	106.530450,29.584921
重庆深岚装饰工程有限公司	107.376060,29.561340
重庆中景裕隆园林有限公司	106.532903,29.583416
重庆宸骅建筑工程有限公司	106.446754,29.826389
重庆婧雯雅劳务有限公司	106.545092,29.395868
重庆领丰商业管理有限公司	106.570960,29.552990
四和食品（重庆）有限公司生态食品生活馆	106.455101,29.541791
重庆慢辉农业发展有限公司	106.797842,29.538381
重庆玉坪实业有限公司	106.665665,29.655310
重庆光洲建筑工程有限公司	106.634464,29.502929
重庆莱诚建筑劳务有限公司	106.639151,29.492007
重庆南润茶业有限公司	106.707390,29.297162
重庆青茁园林绿化有限公司	106.539840,29.573540
重庆全为君科技有限公司	106.631187,29.718143
重庆铝航劳务有限公司	106.565449,29.555070
重庆忆薇庭园林景观设计有限公司	106.560787,29.514998
重庆乐居陶装饰设计工程有限公司	106.543080,29.409271
重庆有邻到家生活服务有限公司	106.456878,29.541145
重庆金尚城农业发展有限公司	106.651699,29.304052
重庆洪飞建材有限公司	106.544452,29.399161
重庆权臻照明科技有限公司	106.623588,29.447187
重庆源生盈商贸有限公司	106.619748,29.721813
重庆欣晋废旧物资回收有限公司	106.672906,29.557523
重庆德陆千科技有限公司	106.567056,29.526094
重庆在鹏建筑劳务有限公司	108.376675,30.811596
重庆垦欣农业科技开发有限公司	106.386632,29.719686
重庆睿优享装饰工程有限公司	106.523824,29.582979
重庆桎皓装饰设计有限公司	106.498348,29.571049
重庆市云涧农业股份合作社	106.280690,29.563039
重庆中岩建筑设计咨询工作室	106.625719,29.322778
重庆舟川建筑工程有限责任公司	106.516458,29.385522
重庆乾禄元搬运有限公司	106.570111,29.497529
重庆杰初科技有限公司	106.496912,29.568355
重庆航智广告有限公司	106.613928,29.719281
